MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	71,000977	s	28.01.2015 10:33:47
Datum	27.02.2015
Prüfer:	Kh
Probebezeichnung	Wolf 8.2 Probe 2
Protokoll Seite	146
Durchmesser [mm]:	100
Höhe [mm]:	98,6
Masse [g]:	5328
Bediener Information Ende

Datenerfassung						Zeit:	172,12207	s	28.01.2015 10:35:28
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,00083744526	0,09403564
-6,6933961	-354,12192

Datenerfassung						Zeit:	172,12988	s	28.01.2015 10:35:28
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
42032	0,44002584	81,230469	-1,750293	-1,4235973	-0,0027924776
42032	0,44002813	81,430664	-2,5310547	-2,3105497	-0,0092983246
42032	0,44003046	81,630859	-3,3118165	-2,7156584	-0,018170476
42032	0,44003278	81,831055	-4,0925784	-3,2979007	-0,04144311
42032	0,4400351	82,03125	-4,8733401	-4,725337	-0,06172359
42032	0,4400374	82,231445	-5,6541018	-5,5518003	-0,070002675
42032	0,44003972	82,431641	-6,4348636	-5,9860816	-0,074088573
42032	0,44004205	82,631836	-7,2156253	-6,5599756	-0,077617168
42032	0,44004437	82,832031	-7,996387	-7,7525024	-0,083857775
42032	0,44004667	83,032227	-8,7771482	-8,9842367	-0,090792775
42032	0,44004899	83,232422	-9,55791	-9,7147408	-0,094103813
42032	0,44005132	83,432617	-10,338672	-10,40236	-0,09779036
42032	0,44005364	83,632813	-11,119433	-11,151703	-0,10116994
42032	0,44005594	83,833008	-11,900195	-11,868201	-0,10396838
42032	0,44005826	84,033203	-12,680957	-12,69414	-0,10835528
42032	0,44006059	84,233398	-13,46172	-13,457734	-0,11120737
42032	0,44006291	84,433594	-14,242481	-14,378579	-0,11492968
42032	0,44006521	84,633789	-15,023243	-15,163157	-0,11895299
42032	0,44006753	84,833984	-15,804005	-15,965547	-0,12114942
42032	0,44006985	85,03418	-16,584766	-16,733406	-0,12353957
42032	0,44007218	85,234375	-17,365528	-17,629906	-0,12737215
42032	0,44007447	85,43457	-18,14629	-18,394543	-0,13017356
42032	0,4400768	85,634766	-18,927052	-19,149857	-0,13305545
