MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	10,407227	s	26.03.2024 09:18:43
Datum	26.03.2024
Prüfer: 	Azubi
Probe	20240220_7188_M03_28d_W6
Protokoll Seite	-
Breite [mm]:	150
Höhe [mm]:	150
Länge Einfüllseite [mm]:	149,9
Masse [g]:	7741
Bediener Information Ende

Datenerfassung						Zeit:	141,34473	s	26.03.2024 09:20:54
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
4,9003658	1,6999631
-1,1853896	-1172,6746

Datenerfassung						Zeit:	141,34961	s	26.03.2024 09:20:54
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Prüfkraft
d	d	s	mm	kN
45377	0,36976144	35,389648	-0,0028689322	-17,184278
45377	0,36976376	35,589844	-0,005490208	-18,803738
45377	0,36976609	35,790039	-0,0090170698	-21,145008
45377	0,36976838	35,990234	-0,013010898	-22,946856
45377	0,36977071	36,19043	-0,018116195	-25,087109
45377	0,36977303	36,390625	-0,020967225	-27,089973
45377	0,36977535	36,59082	-0,023388585	-29,167942
45377	0,36977765	36,791016	-0,029605351	-31,188986
45377	0,36977997	36,991211	-0,033464909	-33,34906
45377	0,3697823	37,191406	-0,036120497	-35,621185
45377	0,36978462	37,391602	-0,040090453	-37,571301
45377	0,36978692	37,591797	-0,043241356	-39,704254
45377	0,36978924	37,791992	-0,046192344	-41,63604
45377	0,36979157	37,992188	-0,049038898	-44,013519
45377	0,36979389	38,192383	-0,051630333	-46,321114
45377	0,36979619	38,392578	-0,055971775	-48,69949
45377	0,36979851	38,592773	-0,0592659	-50,87014
45377	0,36980084	38,792969	-0,060645912	-52,886864
45377	0,36980316	38,993164	-0,065070905	-55,336319
45377	0,36980546	39,193359	-0,06728936	-57,542881
45377	0,36980778	39,393555	-0,070951991	-59,773586
45377	0,3698101	39,59375	-0,072608002	-61,990582
45377	0,36981243	39,793945	-0,075939424	-64,349136
45377	0,36981472	39,994141	-0,079970554	-66,891129
45377	0,36981705	40,194336	-0,081662372	-68,950165
45377	0,36981937	40,394531	-0,085120603	-71,640869
45377	0,3698217	40,594727	-0,087567329	-73,657143
45377	0,36982399	40,794922	-0,090375088	-75,604279
45377	0,36982632	40,995117	-0,093801998	-78,289322
45377	0,36982864	41,195313	-0,096693307	-80,827141
45377	0,36983097	41,395508	-0,098423913	-83,08168
45377	0,36983326	41,595703	-0,10235956	-85,488075
45377	0,36983559	41,795898	-0,10507632	-87,831726
45377	0,36983791	41,996094	-0,10791094	-90,032631
45377	0,36984023	42,196289	-0,10947147	-91,908836
45377	0,36984253	42,396484	-0,11244483	-94,15593
45377	0,36984485	42,59668	-0,11354586	-96,363388
45377	0,36984718	42,796875	-0,11631782	-98,351799
45377	0,3698495	42,99707	-0,11874216	-100,42783
45377	0,3698518	43,197266	-0,12176476	-102,93569
45377	0,36985412	43,397461	-0,12341779	-105,21214
45377	0,36985645	43,597656	-0,12646575	-107,74951
45377	0,36985877	43,797852	-0,12795766	-110,49803
45377	0,36986107	43,998047	-0,13046256	-112,85331
45377	0,36986339	44,198242	-0,13271534	-115,29933
45377	0,36986572	44,398438	-0,13550073	-117,63733
45377	0,36986804	44,598633	-0,13664202	-119,96384
45377	0,36987033	44,798828	-0,13945128	-122,55218
45377	0,36987266	44,999023	-0,14077012	-125,0146
45377	0,36987498	45,199219	-0,14348838	-127,0796
45377	0,36987731	45,399414	-0,14503698	-129,5228
45377	0,3698796	45,599609	-0,14632897	-131,55338
45377	0,36988193	45,799805	-0,14942318	-134,08597
45377	0,36988425	46	-0,15044214	-136,30565
45377	0,36988658	46,200195	-0,1527188	-138,63724
45377	0,36988887	46,400391	-0,15373328	-140,90579
45377	0,3698912	46,600586	-0,15541466	-143,1812
45377	0,36989352	46,800781	-0,15746155	-145,25246
45377	0,36989585	47,000977	-0,15923841	-147,41745
45377	0,36989814	47,201172	-0,16055875	-149,78091
45377	0,36990047	47,401367	-0,16147031	-152,1581
45377	0,36990279	47,601563	-0,16365594	-154,32593
45377	0,36990511	47,801758	-0,16560884	-156,45903
45377	0,36990741	48,001953	-0,16695455	-158,76752
45377	0,36990973	48,202148	-0,16785267	-161,17628
45377	0,36991206	48,402344	-0,17068878	-163,08945
45377	0,36991438	48,602539	-0,17138252	-165,25845
45377	0,36991668	48,802734	-0,17281325	-167,47426
45377	0,369919	49,00293	-0,17497353	-169,29102
