MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	3,703125	s	02.04.2024 07:39:35
Datum	2.4.2024
Prüfer: 	Mac
Probe	20240305_7188_M05_W04
Protokoll Seite	-
Breite [mm]:	150
Höhe [mm]:	150
Länge Einfüllseite [mm]:	148
Masse [g]:	7748
Bediener Information Ende

Datenerfassung						Zeit:	156,1084	s	02.04.2024 07:42:07
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
4,903451	3,1130402
-1,0689673	-1434,1769

Datenerfassung						Zeit:	156,11328	s	02.04.2024 07:42:07
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Prüfkraft
d	d	s	mm	kN
45384	0,25909722	26,999023	-0,002230397	-17,238071
45384	0,25909951	27,199219	-0,0058527407	-19,195786
45384	0,25910184	27,399414	-0,0075758905	-21,592489
45384	0,25910416	27,599609	-0,011295208	-24,119577
45384	0,25910649	27,799805	-0,014365547	-26,14822
45384	0,25910878	28	-0,01740008	-28,298161
45384	0,25911111	28,200195	-0,020203369	-30,703506
45384	0,25911343	28,400391	-0,021762408	-32,826176
45384	0,25911576	28,600586	-0,025260925	-35,05241
45384	0,25911805	28,800781	-0,028387956	-37,191917
45384	0,25912037	29,000977	-0,030409487	-39,651505
45384	0,2591227	29,201172	-0,033802077	-41,603558
45384	0,25912502	29,401367	-0,035273094	-43,697617
45384	0,25912732	29,601563	-0,037184224	-46,11697
45384	0,25912964	29,801758	-0,04053206	-48,023273
45384	0,25913197	30,001953	-0,042128395	-50,224174
45384	0,25913429	30,202148	-0,044052951	-52,556507
45384	0,25913659	30,402344	-0,047370948	-54,881981
45384	0,25913891	30,602539	-0,049520783	-57,064854
45384	0,25914124	30,802734	-0,051554248	-59,619061
45384	0,25914356	31,00293	-0,053548925	-61,57439
45384	0,25914586	31,203125	-0,056881838	-63,880943
45384	0,25914818	31,40332	-0,058860105	-66,385681
45384	0,25915051	31,603516	-0,061688755	-68,403145
45384	0,25915283	31,803711	-0,064084753	-70,864075
45384	0,25915512	32,003906	-0,066674702	-73,154236
45384	0,25915745	32,204102	-0,069254205	-75,174232
45384	0,25915977	32,404297	-0,071939632	-77,532196
45384	0,2591621	32,604492	-0,073395729	-79,754402
45384	0,25916439	32,804688	-0,075186014	-81,947113
45384	0,25916672	33,004883	-0,077722251	-84,029396
45384	0,25916904	33,205078	-0,079822853	-86,457245
45384	0,25917137	33,405273	-0,081696682	-88,558159
45384	0,25917366	33,605469	-0,084274694	-90,851295
45384	0,25917599	33,805664	-0,086221628	-93,268562
45384	0,25917831	34,005859	-0,089284509	-95,315987
45384	0,25918064	34,206055	-0,091504462	-97,629837
45384	0,25918293	34,40625	-0,092383198	-99,936386
45384	0,25918525	34,606445	-0,094628513	-102,19913
45384	0,25918758	34,806641	-0,097859979	-104,6228
45384	0,2591899	35,006836	-0,099550307	-107,0806
45384	0,2591922	35,207031	-0,10197315	-109,37121
45384	0,25919452	35,407227	-0,1038276	-111,31491
45384	0,25919685	35,607422	-0,10498531	-113,86227
45384	0,25919917	35,807617	-0,10723212	-116,07703
45384	0,25920147	36,007813	-0,10923276	-118,17481
45384	0,25920379	36,208008	-0,11065604	-120,393
45384	0,25920612	36,408203	-0,11208677	-122,73695
45384	0,25920844	36,608398	-0,11492736	-124,70509
45384	0,25921074	36,808594	-0,11627455	-126,8595
45384	0,25921306	37,008789	-0,11754864	-128,90216
45384	0,25921538	37,208984	-0,12118441	-130,96419
45384	0,25921771	37,40918	-0,12145146	-133,04111
45384	0,25922	37,609375	-0,12380121	-135,68935
45384	0,25922233	37,80957	-0,12611665	-137,58238
45384	0,25922465	38,009766	-0,12753843	-139,93036
45384	0,25922698	38,209961	-0,12843357	-141,96616
45384	0,25922927	38,410156	-0,12975241	-144,17644
45384	0,2592316	38,610352	-0,13282275	-146,34143
45384	0,25923392	38,810547	-0,1339581	-148,63681
45384	0,25923625	39,010742	-0,13517548	-150,44135
45384	0,25923854	39,210938	-0,13674796	-152,5956
45384	0,25924087	39,411133	-0,13833684	-154,82497
45384	0,25924319	39,611328	-0,14020172	-156,95226
45384	0,25924551	39,811523	-0,14251715	-158,95288
45384	0,25924781	40,011719	-0,1437062	-160,95471
45384	0,25925013	40,211914	-0,1447013	-163,21581
45384	0,25925246	40,412109	-0,14685412	-165,36351
45384	0,25925478	40,612305	-0,14812522	-167,73622
45384	0,25925708	40,8125	-0,15042424	-170,02609
45384	0,2592594	41,012695	-0,15095685	-172,20389
45384	0,25926173	41,212891	-0,15294258	-174,4696
45384	0,25926405	41,413086	-0,15504019	-176,96913
45384	0,25926635	41,613281	-0,15529084	-179,41486
45384	0,25926867	41,813477	-0,15759881	-181,82065
45384	0,259271	42,013672	-0,15869835	-184,0977
45384	0,25927332	42,213867	-0,16068855	-186,41528
45384	0,25927562	42,414063	-0,16168216	-188,68472
45384	0,25927794	42,614258	-0,16321434	-190,64125
