MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	16,4375	s	12.03.2024 10:07:04
Datum	12.03.2024
Prüfer: 	Be, Mac
Probe	20240305_7188_M06_W03
Protokoll Seite	-
Breite [mm]:	150
Höhe [mm]:	150
Länge Einfüllseite [mm]:	148
Masse [g]:	7750
Bediener Information Ende

Datenerfassung						Zeit:	138,82324	s	12.03.2024 10:09:06
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
4,9051371	3,058949
-0,94990444	-1099,9265

Datenerfassung						Zeit:	138,82813	s	12.03.2024 10:09:06
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Prüfkraft
d	d	s	mm	kN
45363	0,40365115	39,459961	-0,00037297609	-16,60224
45363	0,40365347	39,660156	-0,0043682959	-18,976889
45363	0,4036558	39,860352	-0,0072566229	-20,666382
45363	0,40365812	40,060547	-0,0099271322	-22,560171
45363	0,40366042	40,260742	-0,012964649	-24,873426
45363	0,40366274	40,460938	-0,01472808	-27,008762
45363	0,40366507	40,661133	-0,018863639	-28,823725
45363	0,40366739	40,861328	-0,019606607	-30,739418
45363	0,40366969	41,061523	-0,022384534	-33,273064
45363	0,40367201	41,261719	-0,026215743	-35,518368
45363	0,40367433	41,461914	-0,028751981	-37,577709
45363	0,40367666	41,662109	-0,031207656	-39,656124
45363	0,40367895	41,862305	-0,033451479	-42,024811
45363	0,40368128	42,0625	-0,03561474	-44,306179
45363	0,4036836	42,262695	-0,0390133	-46,502312
45363	0,40368593	42,462891	-0,041200433	-48,563442
45363	0,40368822	42,663086	-0,043151841	-50,824245
45363	0,40369055	42,863281	-0,04468552	-53,38501
45363	0,40369287	43,063477	-0,047863275	-55,528095
45363	0,4036952	43,263672	-0,049474534	-57,370922
45363	0,40369749	43,463867	-0,052899946	-59,803238
45363	0,40369982	43,664063	-0,055063207	-62,337925
45363	0,40370214	43,864258	-0,057682991	-64,579361
45363	0,40370446	44,064453	-0,059556823	-66,505928
45363	0,40370676	44,264648	-0,062209427	-68,852859
45363	0,40370908	44,464844	-0,064829215	-71,489029
45363	0,40371141	44,665039	-0,068096481	-73,659683
45363	0,4037137	44,865234	-0,06875889	-75,553322
45363	0,40371603	45,06543	-0,072536394	-78,054184
45363	0,40371835	45,265625	-0,074821986	-80,790627
45363	0,40372068	45,46582	-0,077038959	-83,114464
45363	0,40372297	45,666016	-0,080276392	-85,000504
45363	0,4037253	45,866211	-0,080547914	-87,481697
45363	0,40372762	46,066406	-0,084352277	-90,033226
45363	0,40372995	46,266602	-0,086193286	-92,198662
45363	0,40373224	46,466797	-0,087855265	-94,088875
45363	0,40373456	46,666992	-0,090024494	-96,380966
45363	0,40373689	46,867188	-0,092951611	-99,267174
45363	0,40373921	47,067383	-0,095532604	-101,60502
45363	0,40374151	47,267578	-0,0958101	-103,4781
45363	0,40374383	47,467773	-0,097096123	-106,06493
45363	0,40374616	47,667969	-0,10091539	-108,95547
45363	0,40374848	47,868164	-0,10325769	-111,15369
45363	0,40375078	48,068359	-0,10401557	-113,14895
45363	0,4037531	48,268555	-0,10538514	-115,79241
45363	0,40375543	48,46875	-0,10908805	-118,22964
45363	0,40375775	48,668945	-0,11066052	-120,35664
45363	0,40376005	48,869141	-0,11093204	-122,39616
45363	0,40376237	49,069336	-0,11143034	-125,02934
45363	0,40376469	49,269531	-0,11398149	-127,57626
45363	0,40376702	49,469727	-0,11599855	-129,75003
45363	0,40376931	49,669922	-0,11773513	-131,75737
45363	0,40377164	49,870117	-0,11858252	-134,01027
45363	0,40377396	50,070313	-0,11970145	-136,72333
45363	0,40377629	50,270508	-0,12214221	-138,97415
45363	0,40377858	50,470703	-0,12472917	-140,82144
45363	0,40378091	50,670898	-0,12449942	-143,2256
45363	0,40378323	50,871094	-0,12650156	-145,64659
45363	0,40378556	51,071289	-0,12929142	-147,86359
45363	0,40378785	51,271484	-0,13146363	-149,63026
45363	0,40379018	51,47168	-0,13119508	-151,59201
45363	0,4037925	51,671875	-0,13328077	-154,28435
45363	0,40379483	51,87207	-0,13354932	-156,73767
45363	0,40379712	52,072266	-0,13552758	-158,69644
45363	0,40379944	52,272461	-0,13638094	-160,87527
45363	0,40380177	52,472656	-0,13929315	-163,26408
45363	0,40380409	52,672852	-0,13985112	-165,80399
45363	0,40380639	52,873047	-0,1413848	-167,20663
45363	0,40380871	53,073242	-0,14283194	-169,21591
45363	0,40381104	53,273438	-0,14443424	-171,802
45363	0,40381336	53,473633	-0,14524883	-174,08084
45363	0,40381566	53,673828	-0,14669895	-175,77541
45363	0,40381798	53,874023	-0,14723605	-178,19818
45363	0,40382031	54,074219	-0,14966486	-181,01733
45363	0,40382263	54,274414	-0,15016316	-183,23761
45363	0,40382493	54,474609	-0,15258303	-184,82979
45363	0,40382725	54,674805	-0,15313205	-187,02802
45363	0,40382957	54,875	-0,15547433	-189,57089
45363	0,4038319	55,075195	-0,15635158	-191,61057
45363	0,40383419	55,275391	-0,15690358	-193,05806
45363	0,40383652	55,475586	-0,15944579	-195,21202
45363	0,40383884	55,675781	-0,16085415	-197,74895
45363	0,40384117	55,875977	-0,16144793	-199,81201
45363	0,40384346	56,076172	-0,16117042	-201,2081
45363	0,40384579	56,276367	-0,16396925	-203,86885
45363	0,40384811	56,476563	-0,1647868	-206,57356
45363	0,40385044	56,676758	-0,16545518	-208,38048
45363	0,40385273	56,876953	-0,16700974	-210,04643
45363	0,40385506	57,077148	-0,16901785	-212,73222
45363	0,40385738	57,277344	-0,1700771	-215,20551
45363	0,4038597	57,477539	-0,17175996	-217,22789
45363	0,403862	57,677734	-0,17180473	-218,81308
45363	0,40386432	57,87793	-0,17379493	-221,28847
45363	0,40386665	58,078125	-0,17424548	-223,81198
45363	0,40386897	58,27832	-0,17647439	-225,77505
45363	0,40387127	58,478516	-0,17657584	-227,77762
45363	0,40387359	58,678711	-0,17830943	-230,14348
45363	0,40387592	58,878906	-0,18082179	-233,15381
45363	0,40387824	59,079102	-0,18040705	-234,72215
45363	0,40388054	59,279297	-0,1809113	-236,87151
45363	0,40388286	59,479492	-0,18252555	-239,62494
45363	0,40388519	59,679688	-0,18373698	-242,21477
45363	0,40388751	59,879883	-0,18527961	-244,11168
45363	0,40388981	60,080078	-0,18595394	-245,84439
45363	0,40389213	60,280273	-0,18688788	-248,32751
45363	0,40389445	60,480469	-0,18789044	-251,1033
45363	0,40389678	60,680664	-0,19018798	-253,14059
45363	0,40389907	60,880859	-0,19038489	-255,13512
45363	0,4039014	61,081055	-0,19257502	-257,8714
45363	0,40390372	61,28125	-0,19332097	-260,52664
45363	0,40390605	61,481445	-0,1956543	-262,31256
45363	0,40390834	61,681641	-0,19623615	-264,38113
45363	0,40391067	61,881836	-0,19620332	-267,2374
45363	0,40391299	62,082031	-0,19883206	-269,64853
45363	0,40391532	62,282227	-0,1997481	-271,04776
45363	0,40391761	62,482422	-0,20063429	-273,36908
45363	0,40391994	62,682617	-0,20150556	-276,74387
45363	0,40392226	62,882813	-0,20416711	-278,90262
45363	0,40392458	63,083008	-0,20433421	-280,73233
45363	0,40392688	63,283203	-0,20421486	-283,31754
45363	0,4039292	63,483398	-0,20775066	-286,17035
45363	0,40393153	63,683594	-0,20750003	-288,21509
45363	0,40393385	63,883789	-0,207506	-290,36279
45363	0,40393615	64,083984	-0,20969014	-292,74371
45363	0,40393847	64,28418	-0,21109551	-295,41071
45363	0,4039408	64,484375	-0,21213984	-297,72113
45363	0,40394312	64,68457	-0,21277541	-299,64786
45363	0,40394542	64,884766	-0,21365862	-302,11935
45363	0,40394774	65,084961	-0,21518631	-304,96667
45363	0,40395007	65,285156	-0,21583381	-306,89697
45363	0,40395239	65,485352	-0,21755546	-308,80386
45363	0,40395468	65,685547	-0,21860875	-311,58817
45363	0,40395701	65,885742	-0,22171788	-314,03268
45363	0,40395933	66,085938	-0,22116587	-315,76898
45363	0,40396166	66,286133	-0,22122256	-317,80136
45363	0,40396395	66,486328	-0,22346938	-320,84418
45363	0,40396628	66,686523	-0,22461218	-322,81992
45363	0,4039686	66,886719	-0,22559683	-324,56961
45363	0,40397093	67,086914	-0,22619955	-327,04468
45363	0,40397322	67,287109	-0,2283479	-329,63586
45363	0,40397555	67,487305	-0,22923408	-331,30551
45363	0,40397787	67,6875	-0,22924602	-333,30884
45363	0,4039802	67,887695	-0,23165993	-336,16418
45363	0,40398249	68,087891	-0,2321254	-338,43155
45363	0,40398481	68,288086	-0,23306531	-340,24445
45363	0,40398714	68,488281	-0,23407383	-342,32062
45363	0,40398946	68,688477	-0,23474221	-344,67261
45363	0,40399176	68,888672	-0,23634152	-346,72809
45363	0,40399408	69,088867	-0,23626991	-348,21893
45363	0,40399641	69,289063	-0,23784238	-350,91843
45363	0,40399873	69,489258	-0,24044724	-353,50214
45363	0,40400103	69,689453	-0,24020854	-355,76877
45363	0,40400335	69,889648	-0,24165867	-357,66895
45363	0,40400568	70,089844	-0,24272986	-360,10068
45363	0,404008	70,290039	-0,24488118	-362,32706
45363	0,4040103	70,490234	-0,24498861	-364,00748
45363	0,40401262	70,69043	-0,24615228	-366,08514
45363	0,40401495	70,890625	-0,24762031	-368,48453
45363	0,40401727	71,09082	-0,24828273	-370,48828
45363	0,40401956	71,291016	-0,2490615	-371,98212
45363	0,40402189	71,491211	-0,25048777	-374,61337
45363	0,40402421	71,691406	-0,25166637	-377,1871
45363	0,40402651	71,891602	-0,25281215	-378,84888
45363	0,40402883	72,091797	-0,25373712	-380,75027
45363	0,40403116	72,291992	-0,25583476	-383,19077
45363	0,40403348	72,492188	-0,25672689	-385,87372
45363	0,40403578	72,692383	-0,25822181	-387,48068
45363	0,4040381	72,892578	-0,25775036	-389,40753
45363	0,40404043	73,092773	-0,2595138	-392,04669
45363	0,40404275	73,292969	-0,26082963	-394,52682
45363	0,40404505	73,493164	-0,26066256	-396,28128
45363	0,40404737	73,693359	-0,26317194	-398,48056
45363	0,40404969	73,893555	-0,26309437	-401,35291
45363	0,40405202	74,09375	-0,26545456	-403,50867
45363	0,40405431	74,293945	-0,26579469	-405,52106
45363	0,40405664	74,494141	-0,2663497	-407,35748
45363	0,40405896	74,694336	-0,26881731	-410,52084
45363	0,40406129	74,894531	-0,27028236	-412,43192
45363	0,40406358	75,094727	-0,26940811	-414,30618
45363	0,40406591	75,294922	-0,27084926	-416,93311
45363	0,40406823	75,495117	-0,27244562	-419,62396
45363	0,40407056	75,695313	-0,27403897	-421,88297
45363	0,40407285	75,895508	-0,27560547	-423,52628
45363	0,40407518	76,095703	-0,27549803	-426,51828
45363	0,4040775	76,295898	-0,27707052	-428,83585
45363	0,40407982	76,496094	-0,27878919	-430,4054
45363	0,40408212	76,696289	-0,2787683	-432,48755
45363	0,40408444	76,896484	-0,27980071	-435,3526
45363	0,40408677	77,09668	-0,28065109	-438,0062
45363	0,40408909	77,296875	-0,28177896	-439,84006
45363	0,40409139	77,49707	-0,28285313	-442,21249
45363	0,40409371	77,697266	-0,28440174	-445,20105
45363	0,40409604	77,897461	-0,28682458	-447,62994
45363	0,40409836	78,097656	-0,28549081	-449,41855
45363	0,40410066	78,297852	-0,28794053	-451,93921
45363	0,40410298	78,498047	-0,28893712	-454,46735
45363	0,40410531	78,698242	-0,29007992	-456,90472
45363	0,40410763	78,898438	-0,29089153	-458,78214
45363	0,40410993	79,098633	-0,29042307	-461,44437
45363	0,40411225	79,298828	-0,29248488	-464,31702
45363	0,40411457	79,499023	-0,29486895	-466,20291
45363	0,4041169	79,699219	-0,29565367	-468,01147
45363	0,40411919	79,899414	-0,29515836	-470,38342
45363	0,40412152	80,099609	-0,29739323	-473,14117
45363	0,40412384	80,299805	-0,30006075	-475,64249
45363	0,40412617	80,5	-0,29962215	-477,44434
45363	0,40412846	80,700195	-0,30180329	-479,70618
45363	0,40413079	80,900391	-0,30126324	-482,44324
45363	0,40413311	81,100586	-0,30325344	-484,77228
45363	0,40413544	81,300781	-0,30555096	-486,41513
45363	0,40413773	81,500977	-0,30486768	-488,59235
45363	0,40414006	81,701172	-0,30710852	-491,30615
45363	0,40414238	81,901367	-0,30758592	-493,63028
45363	0,4041447	82,101563	-0,30935532	-495,57773
45363	0,404147	82,301758	-0,30945379	-497,64182
45363	0,40414932	82,501953	-0,31115457	-500,11185
45363	0,40415165	82,702148	-0,31164986	-502,40781
45363	0,40415397	82,902344	-0,311441	-504,23053
45363	0,40415627	83,102539	-0,31356248	-506,13251
45363	0,40415859	83,302734	-0,31502455	-508,67853
