MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	12,948242	s	13.03.2024 10:04:57
Datum	13.03.2024
Prüfer: 	Azubi
Probe	20240306_7188_M07_W03
Protokoll Seite	-
Breite [mm]:	150
Höhe [mm]:	150
Länge Einfüllseite [mm]:	149,5
Masse [g]:	7873
Bediener Information Ende

Datenerfassung						Zeit:	141,99023	s	13.03.2024 10:07:06
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
4,9020514	2,9860823
-1,0543437	-1154,876

Datenerfassung						Zeit:	141,99512	s	13.03.2024 10:07:06
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Prüfkraft
d	d	s	mm	kN
45364	0,40218544	37,821289	-0,0024467232	-15,498659
45364	0,40218773	38,021484	-0,0054096454	-17,647108
45364	0,40219006	38,22168	-0,0079279803	-19,800625
45364	0,40219238	38,421875	-0,01075663	-22,099575
45364	0,40219471	38,62207	-0,013701649	-24,225971
45364	0,402197	38,822266	-0,015906684	-26,424339
45364	0,40219933	39,022461	-0,020155627	-28,526596
45364	0,40220165	39,222656	-0,022330824	-30,997208
45364	0,40220398	39,422852	-0,024840208	-33,470501
45364	0,40220627	39,623047	-0,027704664	-35,5966
45364	0,4022086	39,823242	-0,030285658	-38,024597
45364	0,40221092	40,023438	-0,033639461	-40,880104
45364	0,40221325	40,223633	-0,035859413	-42,908005
45364	0,40221554	40,423828	-0,039383292	-45,307835
45364	0,40221786	40,624023	-0,040764794	-47,683678
45364	0,40222019	40,824219	-0,043304015	-50,139389
45364	0,40222251	41,024414	-0,045518003	-52,257439
45364	0,40222481	41,224609	-0,048495844	-54,875275
45364	0,40222713	41,424805	-0,05193916	-57,1632
45364	0,40222946	41,625	-0,053950246	-59,596111
45364	0,40223178	41,825195	-0,057480093	-61,793884
45364	0,40223408	42,025391	-0,060872681	-63,989571
45364	0,4022364	42,225586	-0,064163826	-65,840149
45364	0,40223873	42,425781	-0,067028277	-68,189758
45364	0,40224105	42,625977	-0,071912773	-70,365479
45364	0,40224335	42,826172	-0,075174078	-72,665024
45364	0,40224567	43,026367	-0,077957973	-74,754471
45364	0,402248	43,226563	-0,081953295	-77,19558
45364	0,40225032	43,426758	-0,084883392	-79,652779
45364	0,40225261	43,626953	-0,088478878	-81,639847
45364	0,40225494	43,827148	-0,0920505	-83,94014
45364	0,40225726	44,027344	-0,094858266	-86,315681
45364	0,40225959	44,227539	-0,09794949	-88,239723
45364	0,40226188	44,427734	-0,10199255	-90,416481
45364	0,40226421	44,62793	-0,10440049	-92,854912
45364	0,40226653	44,828125	-0,10768864	-95,030182
45364	0,40226886	45,02832	-0,10916264	-97,043922
