MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	78,896484	s	13.03.2024 09:49:03
Datum	13.03.2024
Prüfer: 	Azubi
Probe	20240306_7188_M11_W01
Protokoll Seite	-
Breite [mm]:	150
Höhe [mm]:	150
Länge Einfüllseite [mm]:	148
Masse [g]:	7796
Bediener Information Ende

Datenerfassung						Zeit:	170,25488	s	13.03.2024 09:50:34
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
4,8823557	2,9647737
-2,1974857	-721,20068

Datenerfassung						Zeit:	170,26074	s	13.03.2024 09:50:34
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Prüfkraft
d	d	s	mm	kN
45364	0,39115617	104,89258	-0,00035507325	-19,6686
45364	0,39115849	105,09277	-0,0044906321	-21,405479
45364	0,39116079	105,29297	-0,0068060677	-23,212692
45364	0,39116311	105,49316	-0,0095213335	-24,816206
45364	0,39116544	105,69336	-0,013304804	-26,866903
45364	0,39116776	105,89355	-0,018150508	-28,958282
45364	0,39117005	106,09375	-0,021543099	-30,810049
45364	0,39117238	106,29395	-0,025266893	-32,940617
45364	0,3911747	106,49414	-0,030369205	-35,274139
45364	0,39117703	106,69434	-0,033908002	-37,720463
45364	0,39117932	106,89453	-0,037631795	-39,372108
45364	0,39118165	107,09473	-0,04130188	-41,928104
45364	0,39118397	107,29492	-0,046947248	-44,046154
45364	0,3911863	107,49512	-0,048510764	-46,00655
45364	0,39118859	107,69531	-0,053514611	-47,948025
45364	0,39119092	107,89551	-0,057077277	-50,419083
45364	0,39119324	108,0957	-0,060550433	-52,3312
45364	0,39119557	108,2959	-0,064924695	-54,701977
45364	0,39119786	108,49609	-0,067971162	-56,487732
45364	0,39120018	108,69629	-0,070632719	-58,906784
45364	0,39120251	108,89648	-0,0749861	-60,725918
45364	0,39120483	109,09668	-0,079700515	-62,886734
45364	0,39120713	109,29688	-0,082896173	-64,732544
45364	0,39120945	109,49707	-0,086861655	-66,91288
45364	0,39121178	109,69727	-0,090143844	-69,189178
45364	0,3912141	109,89746	-0,096466534	-71,31424
45364	0,3912164	110,09766	-0,09981437	-73,306969
45364	0,39121872	110,29785	-0,10429904	-75,442009
45364	0,39122105	110,49805	-0,11149001	-77,792519
45364	0,39122337	110,69824	-0,11593589	-79,677963
45364	0,39122567	110,89844	-0,12289115	-81,823578
45364	0,39122799	111,09863	-0,13068187	-84,084679
45364	0,39123031	111,29883	-0,13775052	-86,33699
45364	0,39123264	111,49902	-0,14707193	-88,354164
45364	0,39123493	111,69922	-0,15519087	-90,250633
45364	0,39123726	111,89941	-0,16451529	-92,612915
45364	0,39123958	112,09961	-0,17371735	-95,106621
45364	0,39124191	112,2998	-0,18466493	-97,293961
45364	0,3912442	112,5	-0,1940162	-99,75087
45364	0,39124653	112,7002	-0,20633933	-102,16769
45364	0,39124885	112,90039	-0,21940841	-104,72472
45364	0,39125118	113,10059	-0,23115566	-106,49603
45364	0,39125347	113,30078	-0,24301928	-108,82076
45364	0,3912558	113,50098	-0,25693876	-110,7205
45364	0,39125812	113,70117	-0,27686763	-111,35112
45364	0,39126045	113,90137	-0,29957142	-113,01051
45364	0,39126274	114,10156	-0,32347769	-115,70331
45364	0,39126506	114,30176	-0,34380341	-120,01436
45364	0,39126739	114,50195	-0,36157796	-123,99074
45364	0,39126971	114,70215	-0,37907201	-127,18972
45364	0,39127201	114,90234	-0,39434016	-130,37677
45364	0,39127433	115,10254	-0,40767181	-134,05185
45364	0,39127666	115,30273	-0,4214063	-137,37167
45364	0,39127898	115,50293	-0,4333266	-140,27666
45364	0,39128128	115,70313	-0,44342381	-143,62614
45364	0,3912836	115,90332	-0,45269451	-146,69414
45364	0,39128593	116,10352	-0,46236801	-149,47054
45364	0,39128825	116,30371	-0,46880707	-151,84294
45364	0,39129055	116,50391	-0,47614726	-154,3739
45364	0,39129287	116,7041	-0,48380968	-156,3501
45364	0,39129519	116,9043	-0,48799297	-158,42032
45364	0,39129752	117,10449	-0,49414259	-160,66101
45364	0,39129981	117,30469	-0,49959999	-162,41293
45364	0,39130214	117,50488	-0,50450838	-164,72485
45364	0,39130446	117,70508	-0,50943464	-166,38484
45364	0,39130679	117,90527	-0,51359403	-168,26387
45364	0,39130908	118,10547	-0,51969594	-170,30399
45364	0,39131141	118,30566	-0,52389115	-172,26408
45364	0,39131373	118,50586	-0,52906209	-174,08963
45364	0,39131606	118,70605	-0,53304547	-175,92218
45364	0,39131835	118,90625	-0,53796875	-178,23051
45364	0,39132068	119,10645	-0,54268616	-179,9677
45364	0,391323	119,30664	-0,54667556	-181,62828
45364	0,39132532	119,50684	-0,55141085	-183,62102
45364	0,39132762	119,70703	-0,5555464	-185,63699
45364	0,39132994	119,90723	-0,56053829	-187,32753
45364	0,39133227	120,10742	-0,56503195	-189,21684
45364	0,39133459	120,30762	-0,56887507	-191,3334
45364	0,39133689	120,50781	-0,57394755	-193,7988
45364	0,39133921	120,70801	-0,57753408	-195,83743
45364	0,39134154	120,9082	-0,58275574	-197,67281
45364	0,39134386	121,1084	-0,58725834	-199,53217
45364	0,39134616	121,30859	-0,59189218	-201,7137
45364	0,39134848	121,50879	-0,5964753	-203,71791
45364	0,39135081	121,70898	-0,6016522	-205,32156
45364	0,39135313	121,90918	-0,60368419	-207,48061
45364	0,39135543	122,10938	-0,6090312	-209,79326
45364	0,39135775	122,30957	-0,61401415	-211,80179
45364	0,39136007	122,50977	-0,61842418	-213,55893
45364	0,39136237	122,70996	-0,62254483	-215,47046
45364	0,39136469	122,91016	-0,62572259	-217,48538
45364	0,39136702	123,11035	-0,63181555	-219,82681
45364	0,39136934	123,31055	-0,6367448	-221,71851
45364	0,39137164	123,51074	-0,64017022	-223,84744
45364	0,39137396	123,71094	-0,64436245	-225,98978
45364	0,39137629	123,91113	-0,6493842	-228,37546
45364	0,39137861	124,11133	-0,65380025	-230,51944
45364	0,39138091	124,31152	-0,65838635	-232,77324
45364	0,39138323	124,51172	-0,66292471	-234,65451
45364	0,39138556	124,71191	-0,66636205	-237,05777
45364	0,39138788	124,91211	-0,67104369	-239,61481
45364	0,39139017	125,1123	-0,67559099	-241,75342
45364	0,3913925	125,3125	-0,68035913	-243,79086
45364	0,39139482	125,5127	-0,68505561	-246,01396
45364	0,39139715	125,71289	-0,68944782	-248,2688
45364	0,39139944	125,91309	-0,69218397	-250,74657
45364	0,39140177	126,11328	-0,69812769	-252,86417
45364	0,39140409	126,31348	-0,70155609	-255,07655
45364	0,39140642	126,51367	-0,7060318	-257,41574
45364	0,39140871	126,71387	-0,7103613	-260,01941
45364	0,39141104	126,91406	-0,71520704	-262,33685
45364	0,39141336	127,11426	-0,71895766	-264,50778
45364	0,39141569	127,31445	-0,72354972	-266,47473
45364	0,39141798	127,51465	-0,72823435	-269,00079
45364	0,3914203	127,71484	-0,73213118	-271,496
45364	0,39142263	127,91504	-0,73651439	-273,72894
45364	0,39142495	128,11523	-0,74118108	-275,76859
45364	0,39142725	128,31543	-0,74610436	-278,44693
45364	0,39142957	128,51563	-0,75010866	-280,94244
45364	0,3914319	128,71582	-0,75452167	-283,26953
45364	0,39143422	128,91602	-0,75940919	-285,1994
45364	0,39143652	129,11621	-0,76213038	-287,95923
45364	0,39143884	129,31641	-0,76676428	-290,28442
45364	0,39144117	129,5166	-0,77227235	-292,92609
45364	0,39144349	129,7168	-0,77685547	-294,90704
45364	0,39144579	129,91699	-0,78044504	-297,50641
45364	0,39144811	130,11719	-0,78354818	-300,08893
45364	0,39145043	130,31738	-0,78844762	-302,44958
45364	0,39145276	130,51758	-0,79287261	-304,93137
45364	0,39145505	130,71777	-0,79649788	-306,83231
45364	0,39145738	130,91797	-0,80141819	-308,94781
45364	0,3914597	131,11816	-0,80568504	-311,21951
45364	0,39146203	131,31836	-0,80917907	-313,53336
45364	0,39146432	131,51855	-0,81485134	-315,43713
45364	0,39146665	131,71875	-0,81687433	-317,86707
45364	0,39146897	131,91895	-0,82254654	-320,11459
45364	0,3914713	132,11914	-0,82746685	-322,27335
45364	0,39147359	132,31934	-0,83217233	-324,18964
45364	0,39147592	132,51953	-0,83643323	-326,20172
45364	0,39147824	132,71973	-0,83991235	-329,08377
45364	0,39148057	132,91992	-0,84530407	-331,41208
45364	0,39148286	133,12012	-0,85095841	-333,55679
45364	0,39148518	133,32031	-0,85470009	-335,27042
45364	0,39148751	133,52051	-0,86105561	-337,51291
45364	0,39148983	133,7207	-0,86523592	-339,80365
45364	0,39149213	133,9209	-0,86959523	-341,90637
45364	0,39149445	134,12109	-0,87515408	-343,793
45364	0,39149678	134,32129	-0,88033396	-346,41202
45364	0,3914991	134,52148	-0,88480371	-348,56943
45364	0,3915014	134,72168	-0,89016861	-350,95584
45364	0,39150372	134,92188	-0,89454287	-352,71954
45364	0,39150605	135,12207	-0,9010058	-354,56326
45364	0,39150837	135,32227	-0,90611112	-356,56015
45364	0,39151067	135,52246	-0,91298282	-358,41879
45364	0,39151299	135,72266	-0,91926372	-360,19263
45364	0,39151531	135,92285	-0,92710817	-362,67844
45364	0,39151764	136,12305	-0,93250889	-364,59622
45364	0,39151993	136,32324	-0,94130516	-366,31165
45364	0,39152226	136,52344	-0,94747269	-368,68509
45364	0,39152458	136,72363	-0,95503366	-371,16687
45364	0,39152691	136,92383	-0,95954514	-373,11877
45364	0,3915292	137,12402	-0,96656007	-375,20181
45364	0,39153153	137,32422	-0,97242028	-378,11887
45364	0,39153385	137,52441	-0,98036915	-380,06482
45364	0,39153618	137,72461	-0,9847852	-382,24945
45364	0,39153847	137,9248	-0,99138242	-384,59402
45364	0,3915408	138,125	-0,99720085	-387,32449
45364	0,39154312	138,3252	-1,0038488	-389,2901
45364	0,39154544	138,52539	-1,0078769	-391,51813
45364	0,39154774	138,72559	-1,0125525	-394,02243
45364	0,39155006	138,92578	-1,0175205	-396,70285
45364	0,39155239	139,12598	-1,0230705	-398,56848
45364	0,39155471	139,32617	-1,0285577	-400,40192
45364	0,39155701	139,52637	-1,0321323	-403,21213
45364	0,39155933	139,72656	-1,0378104	-405,63089
45364	0,39156166	139,92676	-1,0410867	-407,6376
45364	0,39156398	140,12695	-1,0466604	-409,98038
45364	0,39156628	140,32715	-1,0512943	-413,1904
45364	0,3915686	140,52734	-1,0573425	-415,11993
45364	0,39157093	140,72754	-1,060186	-416,73865
45364	0,39157325	140,92773	-1,0655241	-419,22937
45364	0,39157555	141,12793	-1,0693822	-422,02692
45364	0,39157787	141,32813	-1,0721272	-424,00864
45364	0,39158019	141,52832	-1,0768358	-425,87561
45364	0,39158252	141,72852	-1,0817679	-429,25546
45364	0,39158481	141,92871	-1,0877594	-431,68689
45364	0,39158714	142,12891	-1,0912355	-433,77469
45364	0,39158946	142,3291	-1,0958813	-435,99036
45364	0,39159179	142,5293	-1,1008613	-438,60968
45364	0,39159408	142,72949	-1,1039108	-441,21173
45364	0,39159641	142,92969	-1,1078674	-443,05975
45364	0,39159873	143,12988	-1,1118448	-445,65973
45364	0,39160106	143,33008	-1,1166308	-448,31674
45364	0,39160335	143,53027	-1,121008	-450,59976
45364	0,39160568	143,73047	-1,1252569	-452,40204
45364	0,391608	143,93066	-1,129482	-454,90738
45364	0,39161032	144,13086	-1,1324031	-457,43713
45364	0,39161262	144,33105	-1,138338	-459,11279
45364	0,39161494	144,53125	-1,1417216	-461,07288
45364	0,39161727	144,73145	-1,1452037	-463,88412
45364	0,39161959	144,93164	-1,151407	-466,40662
45364	0,39162189	145,13184	-1,1550682	-468,16299
45364	0,39162421	145,33203	-1,1568286	-470,28107
45364	0,39162654	145,53223	-1,1621428	-472,89413
45364	0,39162886	145,73242	-1,1668303	-475,50018
45364	0,39163116	145,93262	-1,1696769	-476,97855
45364	0,39163348	146,13281	-1,173717	-479,01984
45364	0,39163581	146,33301	-1,1799442	-481,82886
45364	0,39163813	146,5332	-1,1832622	-483,7532
45364	0,39164042	146,7334	-1,1867234	-485,0639
45364	0,39164275	146,93359	-1,1901935	-487,85147
45364	0,39164507	147,13379	-1,195081	-490,31046
45364	0,3916474	147,33398	-1,1993121	-491,81427
45364	0,39164969	147,53418	-1,203946	-493,92816
45364	0,39165202	147,73438	-1,2075951	-496,52737
45364	0,39165434	147,93457	-1,2122737	-498,50043
45364	0,39165667	148,13477	-1,2161348	-500,21765
45364	0,39165896	148,33496	-1,2201033	-502,09192
45364	0,39166129	148,53516	-1,223663	-504,79886
45364	0,39166361	148,73535	-1,2280402	-506,81079
45364	0,39166594	148,93555	-1,2336229	-508,40701
45364	0,39166823	149,13574	-1,2377526	-510,59363
45364	0,39167055	149,33594	-1,2421237	-513,05615
45364	0,39167288	149,53613	-1,2461102	-514,70636
45364	0,39167517	149,73633	-1,2500666	-516,65363
45364	0,3916775	149,93652	-1,2548826	-519,23627
