MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	38,210938	s	19.03.2024 09:02:34
Datum	19.03.2024
Probe	20240220_7188_M01_Z1
Prüfer: 	Be
Masse	5482
Länge	300,9
Durchmesser	98,5
Bediener Information Ende

Datenerfassung						Zeit:	156,8125	s	19.03.2024 09:04:33
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,96021742	0,29724276
-1,126708	-410,09866

Datenerfassung						Zeit:	156,81641	s	19.03.2024 09:04:33
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
45370	0,37659526	49,831055	-1,7617188	-1,418762	-0,0034555793
45370	0,37659758	50,03125	-2,5424805	-2,2434518	-0,0087082386
45370	0,37659991	50,231445	-3,3232422	-3,0173342	-0,014965236
45370	0,37660223	50,431641	-4,1040039	-3,4201593	-0,01796335
45370	0,37660453	50,631836	-4,8847656	-3,8147085	-0,019943714
45370	0,37660685	50,832031	-5,6655273	-4,8448706	-0,025078654
45370	0,37660918	51,032227	-6,4462891	-5,9088879	-0,031021237
45370	0,3766115	51,232422	-7,2270508	-6,7143049	-0,035710633
45370	0,3766138	51,432617	-8,0078125	-7,5365257	-0,039327145
45370	0,37661612	51,632813	-8,7885742	-8,4705095	-0,043267012
45370	0,37661844	51,833008	-9,5693359	-9,3451405	-0,04735589
45370	0,37662077	52,033203	-10,350098	-10,162606	-0,05017519
45370	0,37662306	52,233398	-11,130859	-11,076597	-0,055244565
45370	0,37662539	52,433594	-11,911621	-11,82998	-0,057278574
45370	0,37662771	52,633789	-12,692383	-12,631252	-0,060601532
45370	0,37663001	52,833984	-13,473145	-13,404655	-0,063106418
45370	0,37663233	53,03418	-14,253906	-14,224281	-0,066955388
45370	0,37663466	53,234375	-15,034668	-14,991552	-0,069007277
45370	0,37663698	53,43457	-15,81543	-15,777911	-0,072278082
45370	0,37663928	53,634766	-16,596191	-16,561144	-0,074729323
45370	0,3766416	53,834961	-17,376953	-17,357893	-0,077712536
45370	0,37664393	54,035156	-18,157715	-18,119308	-0,080342591
45370	0,37664625	54,235352	-18,938477	-18,930382	-0,083737075
45370	0,37664855	54,435547	-19,719238	-19,680544	-0,085513294
45370	0,37665087	54,635742	-20,5	-20,490942	-0,088185072
45370	0,37665319	54,835938	-21,280762	-21,258505	-0,090301037
45370	0,37665552	55,036133	-22,061523	-22,04875	-0,092586875
45370	0,37665781	55,236328	-22,842285	-22,80578	-0,095412135
45370	0,37666014	55,436523	-23,623047	-23,633896	-0,098571181
45370	0,37666246	55,636719	-24,403809	-24,394606	-0,10029823
45370	0,37666479	55,836914	-25,18457	-25,154779	-0,10316521
45370	0,37666708	56,037109	-25,965332	-25,967424	-0,10519773
45370	0,37666941	56,237305	-26,746094	-26,74176	-0,10721385
45370	0,37667173	56,4375	-27,526855	-27,534651	-0,10975599
45370	0,37667406	56,637695	-28,307617	-28,278498	-0,11177063
45370	0,37667635	56,837891	-29,088379	-29,096886	-0,1143083
45370	0,37667868	57,038086	-29,869141	-29,845512	-0,11622012
45370	0,376681	57,238281	-30,649902	-30,65884	-0,11928231
45370	0,37668332	57,438477	-31,430664	-31,391546	-0,12099892
45370	0,37668562	57,638672	-32,211426	-32,243191	-0,12343228
45370	0,37668794	57,838867	-32,992188	-32,983517	-0,12510568
45370	0,37669027	58,039063	-33,772949	-33,811062	-0,1280576
45370	0,37669259	58,239258	-34,553711	-34,520287	-0,12952834
45370	0,37669489	58,439453	-35,334473	-35,375553	-0,13150126
45370	0,37669721	58,639648	-36,115234	-36,051655	-0,13353825
45370	0,37669954	58,839844	-36,895996	-36,903687	-0,13569444
45370	0,37670186	59,040039	-37,676758	-37,626713	-0,13814718
45370	0,37670416	59,240234	-38,45752	-38,456596	-0,13971478
45370	0,37670648	59,44043	-39,238281	-39,222786	-0,14205277
45370	0,37670881	59,640625	-40,019043	-40,029518	-0,14479309
45370	0,37671113	59,84082	-40,799805	-40,806324	-0,14642328
45370	0,37671342	60,041016	-41,580566	-41,597172	-0,14791936
45370	0,37671575	60,241211	-42,361328	-42,403137	-0,15019327
45370	0,37671807	60,441406	-43,14209	-43,144249	-0,15246421
45370	0,3767204	60,641602	-43,922852	-43,948223	-0,15469939
45370	0,37672269	60,841797	-44,703613	-44,660793	-0,15643686
45370	0,37672502	61,041992	-45,484375	-45,5116	-0,15851855
45370	0,37672734	61,242188	-46,265137	-46,219505	-0,16035289
45370	0,37672967	61,442383	-47,045898	-47,059711	-0,16319305
45370	0,37673196	61,642578	-47,82666	-47,791946	-0,1641795
45370	0,37673429	61,842773	-48,607422	-48,629818	-0,16711205
45370	0,37673661	62,042969	-49,388184	-49,32111	-0,16812086
45370	0,37673894	62,243164	-50,168945	-50,184273	-0,17039329
45370	0,37674123	62,443359	-50,949707	-50,934399	-0,17199963
45370	0,37674356	62,643555	-51,730469	-51,718079	-0,17399937
45370	0,37674588	62,84375	-52,51123	-52,547691	-0,1760751
45370	0,3767482	63,043945	-53,291992	-53,242077	-0,17781407
45370	0,3767505	63,244141	-54,072754	-54,129738	-0,18012375
45370	0,37675282	63,444336	-54,853516	-54,774944	-0,18198192
45370	0,37675515	63,644531	-55,634277	-55,651379	-0,18447042
45370	0,37675747	63,844727	-56,415039	-56,423946	-0,18584132
45370	0,37675977	64,044922	-57,195801	-57,135506	-0,18775463
45370	0,37676209	64,245117	-57,976563	-58,018108	-0,19040257
45370	0,37676442	64,445313	-58,757324	-58,681953	-0,19111186
45370	0,37676674	64,645508	-59,538086	-59,547611	-0,19407868
45370	0,37676904	64,845703	-60,318848	-60,322681	-0,19568354
45370	0,37677136	65,045898	-61,099609	-61,044533	-0,19753724
45370	0,37677369	65,246094	-61,880371	-61,946777	-0,19917339
45370	0,37677601	65,446289	-62,661133	-62,581745	-0,20062774
45370	0,3767783	65,646484	-63,441895	-63,468414	-0,20267367
45370	0,37678063	65,84668	-64,222656	-64,212433	-0,20526946
45370	0,37678295	66,046875	-65,003418	-64,90358	-0,20646453
45370	0,37678528	66,24707	-65,78418	-65,821838	-0,20829439
45370	0,37678757	66,447266	-66,564941	-66,521767	-0,20998716
45370	0,3767899	66,647461	-67,345703	-67,321114	-0,21195561
45370	0,37679222	66,847656	-68,126465	-68,136925	-0,21416098
45370	0,37679455	67,047852	-68,907227	-68,816475	-0,21532476
45370	0,37679684	67,248047	-69,687988	-69,732895	-0,21781772
45370	0,37679917	67,448242	-70,46875	-70,432747	-0,21947473
45370	0,37680149	67,648438	-71,249512	-71,215797	-0,22144318
45370	0,37680382	67,848633	-72,030273	-72,105972	-0,22320151
45370	0,37680611	68,048828	-72,811035	-72,720932	-0,22441
45370	0,37680843	68,249023	-73,591797	-73,57975	-0,2269581
45370	0,37681076	68,449219	-74,372559	-74,390282	-0,22865683
45370	0,37681308	68,649414	-75,15332	-75,048317	-0,23003072
45370	0,37681538	68,849609	-75,934082	-75,960533	-0,23198575
45370	0,3768177	69,049805	-76,714844	-76,675781	-0,2338931
45370	0,37682003	69,25	-77,495605	-77,45755	-0,23491085
45370	0,37682235	69,450195	-78,276367	-78,303932	-0,23712963
45370	0,37682465	69,650391	-79,057129	-78,964828	-0,23904145
45370	0,37682697	69,850586	-79,837891	-79,882568	-0,24137944
45370	0,3768293	70,050781	-80,618652	-80,589691	-0,2426371
45370	0,37683162	70,250977	-81,399414	-81,347122	-0,24434626
45370	0,37683392	70,451172	-82,180176	-82,233917	-0,2464518
45370	0,37683624	70,651367	-82,960938	-82,869781	-0,24711639
45370	0,37683856	70,851563	-83,741699	-83,76442	-0,24961084
45370	0,37684089	71,051758	-84,522461	-84,505898	-0,25160015
45370	0,37684318	71,251953	-85,303223	-85,230141	-0,25254786
45370	0,37684551	71,452148	-86,083984	-86,135651	-0,25516897
45370	0,37684783	71,652344	-86,864746	-86,776917	-0,255768
45370	0,37685016	71,852539	-87,645508	-87,647537	-0,25854707
45370	0,37685245	72,052734	-88,42627	-88,469917	-0,25972128
45370	0,37685478	72,25293	-89,207031	-89,145554	-0,26176721
45370	0,3768571	72,453125	-89,987793	-90,03907	-0,26357174
45370	0,37685943	72,65332	-90,768555	-90,72583	-0,26493222
45370	0,37686172	72,853516	-91,549316	-91,516426	-0,26645958
45370	0,37686405	73,053711	-92,330078	-92,378693	-0,26839525
45370	0,37686637	73,253906	-93,11084	-93,019867	-0,26995391
45370	0,3768687	73,454102	-93,891602	-93,928749	-0,27168244
45370	0,37687099	73,654297	-94,672363	-94,651855	-0,27392507
45370	0,37687331	73,854492	-95,453125	-95,403351	-0,27479082
45370	0,37687564	74,054688	-96,233887	-96,289925	-0,27613044
45370	0,37687796	74,254883	-97,014648	-96,934319	-0,27830005
45370	0,37688026	74,455078	-97,79541	-97,862762	-0,28026402
45370	0,37688258	74,655273	-98,576172	-98,536072	-0,28150827
45370	0,37688491	74,855469	-99,356934	-99,337563	-0,28323382
45370	0,37688723	75,055664	-100,1377	-100,19809	-0,28489083
45370	0,37688953	75,255859	-100,91846	-100,81783	-0,28673559
45370	0,37689185	75,456055	-101,69922	-101,73827	-0,28843582
45370	0,37689418	75,65625	-102,47998	-102,44935	-0,2901271
45370	0,3768965	75,856445	-103,26074	-103,23941	-0,29180497
45370	0,3768988	76,056641	-104,0415	-104,08326	-0,29330254
45370	0,37690112	76,256836	-104,82227	-104,75603	-0,2942279
45370	0,37690344	76,457031	-105,60303	-105,66718	-0,29642731
45370	0,37690577	76,657227	-106,38379	-106,3501	-0,29786378
45370	0,37690806	76,857422	-107,16455	-107,15456	-0,29993504
45370	0,37691039	77,057617	-107,94531	-107,94713	-0,3013283
45370	0,37691271	77,257813	-108,72607	-108,631	-0,30308515
45370	0,37691504	77,458008	-109,50684	-109,55779	-0,30488074
45370	0,37691733	77,658203	-110,2876	-110,21027	-0,30624866
45370	0,37691966	77,858398	-111,06836	-111,07145	-0,30816197
45370	0,37692198	78,058594	-111,84912	-111,86971	-0,30948073
45370	0,37692431	78,258789	-112,62988	-112,59852	-0,3105849
45370	0,3769266	78,458984	-113,41064	-113,48508	-0,31273067
45370	0,37692893	78,65918	-114,19141	-114,10793	-0,31402409
45370	0,37693125	78,859375	-114,97217	-115,03603	-0,31602532
45370	0,37693357	79,05957	-115,75293	-115,72749	-0,31707734
45370	0,37693587	79,259766	-116,53369	-116,54413	-0,31882972
45370	0,37693819	79,459961	-117,31445	-117,34321	-0,32139868
45370	0,37694052	79,660156	-118,09521	-118,03921	-0,32200813
45370	0,37694281	79,860352	-118,87598	-118,94513	-0,32435209
45370	0,37694514	80,060547	-119,65674	-119,56849	-0,32544583
45370	0,37694746	80,260742	-120,4375	-120,46207	-0,3276363
45370	0,37694979	80,460938	-121,21826	-121,20884	-0,32898635
45370	0,37695208	80,661133	-121,99902	-121,97361	-0,33048838
45370	0,37695441	80,861328	-122,77979	-122,83768	-0,33209175
45370	0,37695673	81,061523	-123,56055	-123,49896	-0,33297986
45370	0,37695906	81,261719	-124,34131	-124,41785	-0,3352493
45370	0,37696135	81,461914	-125,12207	-125,03296	-0,33621788
45370	0,37696368	81,662109	-125,90283	-125,90549	-0,33818185
45370	0,376966	81,862305	-126,68359	-126,66166	-0,34009218
45370	0,37696832	82,0625	-127,46436	-127,42056	-0,34092367
45370	0,37697062	82,262695	-128,24512	-128,28571	-0,34328699
45370	0,37697294	82,462891	-129,02588	-128,90971	-0,34441501
45370	0,37697527	82,663086	-129,80664	-129,83736	-0,34605414
45370	0,37697759	82,863281	-130,5874	-130,50658	-0,34725815
45370	0,37697989	83,063477	-131,36816	-131,37581	-0,3488645
45370	0,37698221	83,263672	-132,14893	-132,16766	-0,3506884
45370	0,37698454	83,463867	-132,92969	-132,88293	-0,35186857
45370	0,37698686	83,664063	-133,71045	-133,76021	-0,3547281
45370	0,37698916	83,864258	-134,49121	-134,39091	-0,35496801
45370	0,37699148	84,064453	-135,27197	-135,31349	-0,35698563
45370	0,37699381	84,264648	-136,05273	-135,97482	-0,35836101
45370	0,37699613	84,464844	-136,8335	-136,82378	-0,35997778
45370	0,37699842	84,665039	-137,61426	-137,59267	-0,36133528
45370	0,37700075	84,865234	-138,39502	-138,31218	-0,36289394
45370	0,37700307	85,06543	-139,17578	-139,23309	-0,36485791
45370	0,3770054	85,265625	-139,95654	-139,87938	-0,366503
45370	0,37700769	85,46582	-140,7373	-140,78494	-0,36807656
45370	0,37701002	85,666016	-141,51807	-141,4539	-0,36894232
45370	0,37701234	85,866211	-142,29883	-142,261	-0,37093759
45370	0,37701467	86,066406	-143,07959	-143,08975	-0,37214756
45370	0,37701696	86,266602	-143,86035	-143,78149	-0,37315041
45370	0,37701929	86,466797	-144,64111	-144,68083	-0,37606508
45370	0,37702161	86,666992	-145,42188	-145,30809	-0,37671477
45370	0,37702394	86,867188	-146,20264	-146,22108	-0,37816614
45370	0,37702623	87,067383	-146,9834	-146,95226	-0,37938654
45370	0,37702855	87,267578	-147,76416	-147,73589	-0,38097352
45370	0,37703088	87,467773	-148,54492	-148,57465	-0,38334578
45370	0,3770332	87,667969	-149,32568	-149,22162	-0,38476735
45370	0,3770355	87,868164	-150,10645	-150,1443	-0,38650781
45370	0,37703782	88,068359	-150,88721	-150,80794	-0,38752407
45370	0,37704015	88,268555	-151,66797	-151,68001	-0,38940609
45370	0,37704247	88,46875	-152,44873	-152,40128	-0,3907457
45370	0,37704477	88,668945	-153,22949	-153,18297	-0,39274544
45370	0,37704709	88,869141	-154,01025	-154,02429	-0,39343983
45370	0,37704942	89,069336	-154,79102	-154,70483	-0,39496124
45370	0,37705174	89,269531	-155,57178	-155,62466	-0,39758384
45370	0,37705404	89,469727	-156,35254	-156,24031	-0,39836615
45370	0,37705636	89,669922	-157,1333	-157,16647	-0,40049553
45370	0,37705868	89,870117	-157,91406	-157,84999	-0,4012242
45370	0,37706101	90,070313	-158,69482	-158,63829	-0,40317774
45370	0,3770633	90,270508	-159,47559	-159,47456	-0,40456355
45370	0,37706563	90,470703	-160,25635	-160,16096	-0,40579587
45370	0,37706795	90,670898	-161,03711	-161,06949	-0,40740222
45370	0,37707028	90,871094	-161,81787	-161,69246	-0,40859729
45370	0,37707257	91,071289	-162,59863	-162,61394	-0,41039884
45370	0,3770749	91,271484	-163,37939	-163,31322	-0,4119426
45370	0,37707722	91,47168	-164,16016	-164,12917	-0,41359514
45370	0,37707955	91,671875	-164,94092	-164,94391	-0,41551143
45370	0,37708184	91,87207	-165,72168	-165,64952	-0,41649789
45370	0,37708417	92,072266	-166,50244	-166,52975	-0,41814595
45370	0,37708649	92,272461	-167,2832	-167,16713	-0,41885376
45370	0,37708881	92,472656	-168,06396	-168,10185	-0,42110682
45370	0,37709111	92,672852	-168,84473	-168,74211	-0,4224211
45370	0,37709343	92,873047	-169,62549	-169,64345	-0,4241541
45370	0,37709576	93,073242	-170,40625	-170,35298	-0,42558461
45370	0,37709808	93,273438	-171,18701	-171,15994	-0,42644292
45370	0,37710038	93,473633	-171,96777	-171,95941	-0,42815357
45370	0,3771027	93,673828	-172,74854	-172,68242	-0,43001622
45370	0,37710503	93,874023	-173,5293	-173,56819	-0,43147504
45370	0,37710735	94,074219	-174,31006	-174,21449	-0,4330337
45370	0,37710965	94,274414	-175,09082	-175,12888	-0,43470114
45370	0,37711197	94,474609	-175,87158	-175,79742	-0,43581277
45370	0,3771143	94,674805	-176,65234	-176,67842	-0,43739527
45370	0,37711662	94,875	-177,43311	-177,38684	-0,43827295
45370	0,37711892	95,075195	-178,21387	-178,20097	-0,43985695
45370	0,37712124	95,275391	-178,99463	-179,01811	-0,44232458
45370	0,37712356	95,475586	-179,77539	-179,72112	-0,44374913
45370	0,37712589	95,675781	-180,55615	-180,5887	-0,44501573
45370	0,37712818	95,875977	-181,33691	-181,23679	-0,44605583
45370	0,37713051	96,076172	-182,11768	-182,18208	-0,44807792
45370	0,37713283	96,276367	-182,89844	-182,80615	-0,44906437
45370	0,37713516	96,476563	-183,6792	-183,71722	-0,45042336
45370	0,37713745	96,676758	-184,45996	-184,41316	-0,45256168
45370	0,37713978	96,876953	-185,24072	-185,21191	-0,45373291
45370	0,3771421	97,077148	-186,02148	-186,06345	-0,45562238
45370	0,37714443	97,277344	-186,80225	-186,73785	-0,45653582
45370	0,37714672	97,477539	-187,58301	-187,63956	-0,45743883
45370	0,37714905	97,677734	-188,36377	-188,2672	-0,45954883
45370	0,37715137	97,87793	-189,14453	-189,1873	-0,46146661
45370	0,37715369	98,078125	-189,92529	-189,83022	-0,4630208
45370	0,37715599	98,27832	-190,70605	-190,7343	-0,46445131
45370	0,37715831	98,478516	-191,48682	-191,43015	-0,46584159
45370	0,37716064	98,678711	-192,26758	-192,26114	-0,46795309
45370	0,37716296	98,878906	-193,04834	-193,04427	-0,4687652
45370	0,37716526	99,079102	-193,8291	-193,78061	-0,47024935
45370	0,37716758	99,279297	-194,60986	-194,6371	-0,47211498
45370	0,37716991	99,479492	-195,39063	-195,29675	-0,47330409
45370	0,37717223	99,679688	-196,17139	-196,21181	-0,47475696
45370	0,37717453	99,879883	-196,95215	-196,84235	-0,47534108
45370	0,37717685	100,08008	-197,73291	-197,8131	-0,47789961
45370	0,37717918	100,28027	-198,51367	-198,3791	-0,47937781
45370	0,3771815	100,48047	-199,29443	-199,32777	-0,48111677
45370	0,37718379	100,68066	-200,0752	-199,99176	-0,48255026
45370	0,37718612	100,88086	-200,85596	-200,85767	-0,48405677
45370	0,37718844	101,08105	-201,63672	-201,62398	-0,48551708
45370	0,37719077	101,28125	-202,41748	-202,38309	-0,48703104
45370	0,37719306	101,48145	-203,19824	-203,2126	-0,48878193
45370	0,37719539	101,68164	-203,979	-203,9189	-0,49044788
45370	0,37719771	101,88184	-204,75977	-204,81798	-0,49218833
45370	0,37720004	102,08203	-205,54053	-205,45613	-0,49317628
45370	0,37720233	102,28223	-206,32129	-206,41179	-0,49548
45370	0,37720466	102,48242	-207,10205	-207,00955	-0,49577206
45370	0,37720698	102,68262	-207,88281	-207,98325	-0,49842745
45370	0,37720931	102,88281	-208,66357	-208,56149	-0,49897432
