MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	26,491211	s	19.03.2024 08:58:33
Datum	19.03.2024
Probe	20240220_7188_M01_Z01
Prüfer: 	Be
Masse	5482
Länge	300,9
Durchmesser	98,5
Bediener Information Ende

Datenerfassung						Zeit:	90,625977	s	19.03.2024 08:59:37
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,00032782555	-0,96192956
-0,54586083	-213,86862

Datenerfassung						Zeit:	90,629883	s	19.03.2024 08:59:37
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
45370	0,37379298	36,714844	-1,7655274	-1,4571826	-0,0031724572
45370	0,3737953	36,915039	-2,5462892	-2,1407921	-0,010064244
45370	0,37379763	37,115234	-3,3270509	-2,6965179	-0,015358627
45370	0,37379995	37,31543	-4,1078124	-3,0032544	-0,018183887
45370	0,37380224	37,515625	-4,8885741	-4,0855799	-0,025242567
45370	0,37380457	37,71582	-5,6693358	-5,2218456	-0,033269823
45370	0,37380689	37,916016	-6,4500976	-6,0270877	-0,038416684
45370	0,37380922	38,116211	-7,2308598	-6,7888136	-0,042527914
45370	0,37381151	38,316406	-8,0116215	-7,5258799	-0,046806037
45370	0,37381384	38,516602	-8,7923832	-8,3844776	-0,050982833
45370	0,37381616	38,716797	-9,5731449	-9,2628994	-0,055725873
45370	0,37381849	38,916992	-10,353907	-10,155701	-0,059387088
45370	0,37382078	39,117188	-11,134668	-10,971831	-0,063198805
45370	0,37382311	39,317383	-11,91543	-11,845052	-0,066782534
45370	0,37382543	39,517578	-12,696192	-12,60351	-0,070254505
45370	0,37382776	39,717773	-13,476954	-13,388822	-0,073944032
45370	0,37383005	39,917969	-14,257715	-14,175453	-0,076779723
45370	0,37383237	40,118164	-15,038477	-14,966079	-0,080028176
45370	0,3738347	40,318359	-15,819239	-15,736218	-0,083263218
45370	0,37383699	40,518555	-16,6	-16,523588	-0,085780025
45370	0,37383932	40,71875	-17,380762	-17,339035	-0,088448822
45370	0,37384164	40,918945	-18,161524	-18,113295	-0,091569126
45370	0,37384397	41,119141	-18,942286	-18,897232	-0,094634295
45370	0,37384626	41,319336	-19,723047	-19,661854	-0,097672641
45370	0,37384859	41,519531	-20,503809	-20,468788	-0,098823011
45370	0,37385091	41,719727	-21,284571	-21,242182	-0,10214895
45370	0,37385324	41,919922	-22,065332	-22,024782	-0,10497272
45370	0,37385553	42,120117	-22,846094	-22,821039	-0,10735542
45370	0,37385786	42,320313	-23,626856	-23,596087	-0,10950565
45370	0,37386018	42,520508	-24,407618	-24,364777	-0,11205226
45370	0,3738625	42,720703	-25,188379	-25,135895	-0,11461228
45370	0,3738648	42,920898	-25,969141	-25,910089	-0,11732131
45370	0,37386712	43,121094	-26,749903	-26,714596	-0,11986941
45370	0,37386945	43,321289	-27,530664	-27,473042	-0,1216054
45370	0,37387177	43,521484	-28,311426	-28,265703	-0,12380332
45370	0,37387407	43,72168	-29,092188	-29,04995	-0,12710392
45370	0,37387639	43,921875	-29,87295	-29,835957	-0,1295656
45370	0,37387872	44,12207	-30,653711	-30,616867	-0,13163388
45370	0,37388104	44,322266	-31,434473	-31,399813	-0,13356358
45370	0,37388334	44,522461	-32,215237	-32,19981	-0,1362741
45370	0,37388566	44,722656	-32,995998	-32,954784	-0,13805628
45370	0,37388799	44,922852	-33,77676	-33,752857	-0,1405254
45370	0,37389031	45,123047	-34,557522	-34,541199	-0,14228374
45370	0,37389261	45,323242	-35,338284	-35,308876	-0,14456511
45370	0,37389493	45,523438	-36,119045	-36,083771	-0,14668256
45370	0,37389725	45,723633	-36,899807	-36,875931	-0,14917552
45370	0,37389958	45,923828	-37,680569	-37,666908	-0,15046448
45370	0,37390187	46,124023	-38,46133	-38,457321	-0,15382171
45370	0,3739042	46,324219	-39,242092	-39,224976	-0,1555413
45370	0,37390652	46,524414	-40,022854	-40,018646	-0,15794337
45370	0,37390885	46,724609	-40,803616	-40,768715	-0,15963912
45370	0,37391114	46,924805	-41,584377	-41,579086	-0,16214848
45370	0,37391347	47,125	-42,365139	-42,341721	-0,16372651
45370	0,37391579	47,325195	-43,145901	-43,163849	-0,16635209
45370	0,37391812	47,525391	-43,926662	-43,905701	-0,16849935
45370	0,37392041	47,725586	-44,707424	-44,709595	-0,17021745
45370	0,37392274	47,925781	-45,488186	-45,47646	-0,17247498
45370	0,37392506	48,125977	-46,268948	-46,251926	-0,17423779
45370	0,37392738	48,326172	-47,049709	-47,062408	-0,17648488
45370	0,37392968	48,526367	-47,830471	-47,803493	-0,17841309
45370	0,373932	48,726563	-48,611233	-48,631565	-0,18137842
45370	0,37393433	48,926758	-49,391994	-49,342808	-0,18262118
45370	0,37393665	49,126953	-50,172756	-50,224628	-0,18487275
45370	0,37393895	49,327148	-50,953518	-50,899399	-0,18654615
45370	0,37394127	49,527344	-51,73428	-51,735577	-0,1891911
45370	0,3739436	49,727539	-52,515041	-52,510101	-0,19104183
45370	0,37394592	49,927734	-53,295803	-53,233437	-0,19330382
45370	0,37394822	50,12793	-54,076565	-54,113735	-0,19471943
45370	0,37395054	50,328125	-54,857327	-54,808739	-0,19694716
45370	0,37395287	50,52832	-55,638088	-55,591091	-0,19878
45370	0,37395519	50,728516	-56,41885	-56,432117	-0,20098835
45370	0,37395748	50,928711	-57,199612	-57,125347	-0,20272881
45370	0,37395981	51,128906	-57,980373	-58,002117	-0,20486712
45370	0,37396213	51,329102	-58,761135	-58,749554	-0,20643324
45370	0,37396446	51,529297	-59,541897	-59,47086	-0,2084747
45370	0,37396675	51,729492	-60,322659	-60,352829	-0,21035522
45370	0,37396908	51,929688	-61,10342	-61,073971	-0,21242648
45370	0,3739714	52,129883	-61,884182	-61,84589	-0,21430999
45370	0,37397373	52,330078	-62,664944	-62,700645	-0,21652132
45370	0,37397602	52,530273	-63,445705	-63,386585	-0,21816045
45370	0,37397835	52,730469	-64,226463	-64,190079	-0,22005886
45370	0,37398067	52,930664	-65,007225	-65,028465	-0,22214502
45370	0,373983	53,130859	-65,787987	-65,70636	-0,22419989
45370	0,37398529	53,331055	-66,568748	-66,554276	-0,22583306
45370	0,37398762	53,53125	-67,34951	-67,374825	-0,22852272
45370	0,37398994	53,731445	-68,130272	-68,052528	-0,22933334
45370	0,37399226	53,931641	-68,911034	-68,931641	-0,23209602
45370	0,37399456	54,131836	-69,691795	-69,653526	-0,23380071
45370	0,37399688	54,332031	-70,472557	-70,415459	-0,23521334
45370	0,37399921	54,532227	-71,253319	-71,297211	-0,23725778
45370	0,37400153	54,732422	-72,034081	-71,956253	-0,23920685
45370	0,37400383	54,932617	-72,814842	-72,802223	-0,24089068
45370	0,37400615	55,132813	-73,595604	-73,625595	-0,24283379
