MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	18,443359	s	19.03.2024 09:13:50
Datum	19.03.2024
Probe	20240220_7188_M02_Z01
Prüfer: 	Be
Masse	5539
Länge	300,8
Durchmesser	99,1
Bediener Information Ende

Datenerfassung						Zeit:	144,45605	s	19.03.2024 09:15:56
Ch 1 Weg	Ch 1 Kraft
mm	kN
0,95888972	0,32716805
-1,1858001	-443,55911

Datenerfassung						Zeit:	144,45996	s	19.03.2024 09:15:56
Datum	Tageszeit	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg
d	d	s	kN	kN	mm
45370	0,38440904	28,94043	-1,7655274	-1,5756618	-0,0028982759
45370	0,38441133	29,140625	-2,5462892	-2,2799578	-0,01104176
45370	0,38441366	29,34082	-3,3270509	-3,1047409	-0,01886338
45370	0,38441598	29,541016	-4,1078124	-3,8590784	-0,024686754
45370	0,38441831	29,741211	-4,8885741	-4,5983996	-0,029331446
45370	0,3844206	29,941406	-5,6693358	-5,4120889	-0,034971535
45370	0,38442293	30,141602	-6,4500976	-6,113061	-0,038817525
45370	0,38442525	30,341797	-7,2308598	-6,9285016	-0,043544173
45370	0,38442758	30,541992	-8,0116215	-7,8076944	-0,048223138
45370	0,38442987	30,742188	-8,7923832	-8,6251841	-0,053057075
45370	0,3844322	30,942383	-9,5731449	-9,5089417	-0,05697757
45370	0,38443452	31,142578	-10,353907	-10,340306	-0,060731173
45370	0,38443685	31,342773	-11,134668	-11,106395	-0,064788759
45370	0,38443914	31,542969	-11,91543	-11,975811	-0,068449974
45370	0,38444147	31,743164	-12,696192	-12,675474	-0,071905553
45370	0,38444379	31,943359	-13,476954	-13,48867	-0,07545352
45370	0,38444611	32,143555	-14,257715	-14,339774	-0,07853657
45370	0,38444841	32,34375	-15,038477	-15,007664	-0,080764294
45370	0,38445073	32,543945	-15,819239	-15,868914	-0,085392594
45370	0,38445306	32,744141	-16,6	-16,625763	-0,087533891
45370	0,38445538	32,944336	-17,380762	-17,384661	-0,08944422
45370	0,38445768	33,144531	-18,161524	-18,239697	-0,092981756
45370	0,38446	33,344727	-18,942286	-18,961851	-0,095976889
45370	0,38446233	33,544922	-19,723047	-19,749504	-0,099007785
45370	0,38446465	33,745117	-20,503809	-20,579004	-0,10132939
45370	0,38446695	33,945313	-21,284571	-21,261076	-0,10396689
45370	0,38446927	34,145508	-22,065332	-22,11804	-0,10688156
45370	0,3844716	34,345703	-22,846094	-22,879465	-0,10915846
45370	0,38447392	34,545898	-23,626856	-23,589293	-0,11126697
45370	0,38447621	34,746094	-24,407618	-24,499596	-0,11366606
45370	0,38447854	34,946289	-25,188379	-25,195641	-0,11624396
45370	0,38448086	35,146484	-25,969141	-26,000658	-0,11913329
45370	0,38448319	35,34668	-26,749903	-26,817541	-0,12185723
45370	0,38448548	35,546875	-27,530664	-27,513117	-0,12378842
45370	0,38448781	35,74707	-28,311426	-28,375435	-0,12682378
45370	0,38449013	35,947266	-29,092188	-29,118269	-0,12878031
45370	0,38449246	36,147461	-29,87295	-29,884626	-0,13050139
45370	0,38449475	36,347656	-30,653711	-30,754112	-0,13329685
45370	0,38449708	36,547852	-31,434473	-31,401245	-0,13563931
45370	0,3844994	36,748047	-32,215237	-32,26292	-0,13762265
45370	0,38450173	36,948242	-32,995998	-33,075676	-0,1404196
45370	0,38450402	37,148438	-33,77676	-33,756149	-0,14265031
45370	0,38450634	37,348633	-34,557522	-34,658501	-0,14496446
45370	0,38450867	37,548828	-35,338284	-35,357346	-0,14685988
45370	0,38451099	37,749023	-36,119045	-36,155304	-0,14907122
45370	0,38451329	37,949219	-36,899807	-36,990959	-0,15155673
45370	0,38451561	38,149414	-37,680569	-37,665627	-0,15307367
45370	0,38451794	38,349609	-38,46133	-38,566547	-0,15589893
45370	0,38452026	38,549805	-39,242092	-39,27953	-0,15733838
45370	0,38452256	38,75	-40,022854	-40,053673	-0,15991479
45370	0,38452488	38,950195	-40,803616	-40,912407	-0,16243607
45370	0,38452721	39,150391	-41,584377	-41,564014	-0,16435087
45370	0,38452953	39,350586	-42,365139	-42,433201	-0,16627908
45370	0,38453183	39,550781	-43,145901	-43,183884	-0,16839951
45370	0,38453415	39,750977	-43,926662	-43,913601	-0,16996413
45370	0,38453647	39,951172	-44,707424	-44,80566	-0,17298311
45370	0,3845388	40,151367	-45,488186	-45,479649	-0,17425567
45370	0,38454109	40,351563	-46,268948	-46,331249	-0,17695576
45370	0,38454342	40,551758	-47,049709	-47,10133	-0,17864257
45370	0,38454574	40,751953	-47,830471	-47,811165	-0,18049031
45370	0,38454807	40,952148	-48,611233	-48,719009	-0,18297583
45370	0,38455036	41,152344	-49,391994	-49,378384	-0,18536448
45370	0,38455269	41,352539	-50,172756	-50,221172	-0,18656105
45370	0,38455501	41,552734	-50,953518	-51,024464	-0,18979013
45370	0,38455734	41,75293	-51,73428	-51,717548	-0,19107014
45370	0,38455963	41,953125	-52,515041	-52,592697	-0,19310266
45370	0,38456196	42,15332	-53,295803	-53,283997	-0,194408
45370	0,38456428	42,353516	-54,076565	-54,110687	-0,19658357
45370	0,38456661	42,553711	-54,857327	-54,937759	-0,19875169
45370	0,3845689	42,753906	-55,638088	-55,632618	-0,2002269
45370	0,38457122	42,954102	-56,41885	-56,5056	-0,20280182
45370	0,38457355	43,154297	-57,199612	-57,196308	-0,20499676
45370	0,38457587	43,354492	-57,980373	-58,001095	-0,20670146
45370	0,38457817	43,554688	-58,761135	-58,832058	-0,20897388
45370	0,38458049	43,754883	-59,541897	-59,497494	-0,21147579
45370	0,38458282	43,955078	-60,322659	-60,397964	-0,21272898
45370	0,38458514	44,155273	-61,10342	-61,093437	-0,21495819
45370	0,38458744	44,355469	-61,884182	-61,902245	-0,21666139
45370	0,38458976	44,555664	-62,664944	-62,72525	-0,21848828
45370	0,38459209	44,755859	-63,445705	-63,394905	-0,22019446
45370	0,38459441	44,956055	-64,226463	-64,291031	-0,22203922
45370	0,38459671	45,15625	-65,007225	-64,981995	-0,22397041
45370	0,38459903	45,356445	-65,787987	-65,780182	-0,22625774
45370	0,38460135	45,556641	-66,568748	-66,624458	-0,22764802
45370	0,38460368	45,756836	-67,34951	-67,289413	-0,22908598
45370	0,38460597	45,957031	-68,130272	-68,208748	-0,23160875
45370	0,3846083	46,157227	-68,911034	-68,91552	-0,23280382
45370	0,38461062	46,357422	-69,691795	-69,705849	-0,23490041
45370	0,38461295	46,557617	-70,472557	-70,55677	-0,23750961
45370	0,38461524	46,757813	-71,253319	-71,183784	-0,23892671
45370	0,38461757	46,958008	-72,034081	-72,092003	-0,24088472
45370	0,38461989	47,158203	-72,814842	-72,804466	-0,24248213
45370	0,38462222	47,358398	-73,595604	-73,580704	-0,24466515
45370	0,38462451	47,558594	-74,376366	-74,434456	-0,24610907
45370	0,38462684	47,758789	-75,157127	-75,088142	-0,24780929
45370	0,38462916	47,958984	-75,937889	-76,004921	-0,24980307
45370	0,38463148	48,15918	-76,718651	-76,727562	-0,25105178
45370	0,38463378	48,359375	-77,499413	-77,485924	-0,25324821
45370	0,3846361	48,55957	-78,280174	-78,352295	-0,25503486
45370	0,38463843	48,759766	-79,060936	-78,983383	-0,25703907
45370	0,38464075	48,959961	-79,841698	-79,904655	-0,25867373
45370	0,38464305	49,160156	-80,622459	-80,602585	-0,26017129
45370	0,38464537	49,360352	-81,403221	-81,386086	-0,26186854
45370	0,3846477	49,560547	-82,183983	-82,242638	-0,26459843
45370	0,38465002	49,760742	-82,964745	-82,91378	-0,26592612
45370	0,38465232	49,960938	-83,745506	-83,844292	-0,26753694
45370	0,38465464	50,161133	-84,526268	-84,471832	-0,2690956
45370	0,38465697	50,361328	-85,30703	-85,380028	-0,27122945
45370	0,38465929	50,561523	-86,087791	-86,085648	-0,27198941
45370	0,38466159	50,761719	-86,868553	-86,89624	-0,27451515
45370	0,38466391	50,961914	-87,649315	-87,691711	-0,27649701
45370	0,38466623	51,162109	-88,430077	-88,414108	-0,27840286
45370	0,38466856	51,362305	-89,210838	-89,34259	-0,28026253
45370	0,38467085	51,5625	-89,9916	-89,953888	-0,28168708
45370	0,38467318	51,762695	-90,772362	-90,85421	-0,28303266
45370	0,3846755	51,962891	-91,553123	-91,540405	-0,2848193
45370	0,38467783	52,163086	-92,333885	-92,330482	-0,28622001
45370	0,38468012	52,363281	-93,114647	-93,170891	-0,28822422
45370	0,38468245	52,563477	-93,895409	-93,845016	-0,28953105
45370	0,38468477	52,763672	-94,676178	-94,792419	-0,29180646
