MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Zylinder Druckfestigkeit (100mm)			Zeit:	75,904297	s	26.03.2024 10:09:09
Datum	26.03.2024
Prüfer:	Glagow/Bindnagel
Probebezeichnung	20240227_7188_M03_Z02
Protokoll Seite	-
Durchmesser [mm]:	98,7
Höhe [mm]:	298,9
Masse [g]:	5375
Bediener Information Ende

Datenerfassung						Zeit:	184,53027	s	26.03.2024 10:10:58
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
1,9584229	2,2559254
-0,8390649	-365,94833

Datenerfassung						Zeit:	184,53613	s	26.03.2024 10:10:58
Laufzeit	Ch 1 Kraft dP Sollwert	Ch 1 Prüfkraft	Ch 1 Weg	Datum	Tageszeit
s	kN	kN	mm	d	d
91,849609	0	-15,78789	0,0012308211	45377	0,40468577
91,974609	0	-14,721117	0,00013874711	45377	0,4046872
92,099609	0	-15,525034	0,00024914803	45377	0,40468866
92,224609	0	-17,104706	-0,00032225135	45377	0,40469009
92,349609	0	-16,974024	-0,0015560563	45377	0,40469155
92,474609	0	-16,131809	-0,0024795451	45377	0,40469301
92,599609	0	-17,158201	-0,0043772473	45377	0,40469444
92,724609	0	-19,260159	-0,005681172	45377	0,4046959
92,849609	0	-19,064209	-0,0052142059	45377	0,40469733
92,974609	0	-18,011591	-0,0065688551	45377	0,40469879
93,099609	0	-18,951706	-0,0064554703	45377	0,40470022
93,224609	0	-21,488926	-0,0086634886	45377	0,40470168
93,349609	0	-21,38134	-0,009752579	45377	0,40470311
93,474609	0	-20,150206	-0,010198658	45377	0,40470457
93,599609	0	-21,129808	-0,011102753	45377	0,404706
93,724609	0	-23,26425	-0,012991503	45377	0,40470746
93,849609	0	-23,438295	-0,012478288	45377	0,40470892
93,974609	0	-21,911522	-0,013072066	45377	0,40471035
94,099609	0	-23,057869	-0,014447602	45377	0,40471181
94,224609	0	-25,288723	-0,01683614	45377	0,40471324
94,349609	0	-25,860628	-0,016785417	45377	0,4047147
94,474609	0	-24,155041	-0,017183755	45377	0,40471613
94,599609	0	-24,973116	-0,018014746	45377	0,40471759
94,724609	0	-27,206949	-0,020497274	45377	0,40471902
94,849609	0	-27,357599	-0,020203369	45377	0,40472049
94,974609	0	-26,314518	-0,021031376	45377	0,40472192
95,099609	0	-26,979111	-0,023035003	45377	0,40472338
95,224609	0	-29,123238	-0,024165867	45377	0,40472484
95,349609	0	-29,257498	-0,023691442	45377	0,40472627
95,474609	0	-28,088203	-0,024805894	45377	0,40472773
