MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Zylinder Druckfestigkeit (100mm)			Zeit:	38,060547	s	26.03.2024 10:14:04
Datum	26.03.2024
Prüfer:	Glagow/Bindnagel
Probebezeichnung	20240227_7188_M03_Z03
Protokoll Seite	-
Durchmesser [mm]:	99
Höhe [mm]:	298,9
Masse [g]:	5382
Bediener Information Ende

Datenerfassung						Zeit:	144,77344	s	26.03.2024 10:15:51
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
1,9583826	2,2414713
-0,8920902	-360,64532

Datenerfassung						Zeit:	144,78027	s	26.03.2024 10:15:51
Laufzeit	Ch 1 Kraft dP Sollwert	Ch 1 Prüfkraft	Ch 1 Weg	Datum	Tageszeit
s	kN	kN	mm	d	d
53,370117	0	-16,380957	0,0011084849	45377	0,40808299
53,495117	0	-15,325806	-6,4151885e-05	45377	0,40808442
53,620117	0	-15,621742	-0,00042668465	45377	0,40808588
53,745117	0	-17,64234	-0,0023079761	45377	0,40808731
53,870117	0	-17,92263	-0,0027316769	45377	0,40808877
53,995117	0	-16,992798	-0,0032419083	45377	0,40809023
54,120117	0	-17,533264	-0,0041847918	45377	0,40809166
54,245117	0	-19,0581	-0,0062689823	45377	0,40809312
54,370117	0	-19,879749	-0,0060884617	45377	0,40809456
54,495117	0	-18,72506	-0,0072402121	45377	0,40809602
54,620117	0	-18,992832	-0,0078414492	45377	0,40809745
54,745117	0	-20,626745	-0,010079306	45377	0,40809891
54,870117	0	-21,835974	-0,0106149	45377	0,40810034
54,995117	0	-20,732244	-0,011159445	45377	0,4081018
55,120117	0	-20,971706	-0,012367887	45377	0,40810323
55,245117	0	-22,858044	-0,013649433	45377	0,40810469
55,370117	0	-23,542456	-0,01545613	45377	0,40810615
55,495117	0	-22,958925	-0,016406473	45377	0,40810758
55,620117	0	-22,958479	-0,017283712	45377	0,40810904
55,745117	0	-24,723223	-0,018750254	45377	0,40811047
55,870117	0	-25,564989	-0,019451449	45377	0,40811193
55,995117	0	-24,884007	-0,019861722	45377	0,40811336
56,120117	0	-25,108269	-0,020795655	45377	0,40811482
56,245117	0	-26,816986	-0,023564629	45377	0,40811625
56,370117	0	-27,749052	-0,023780955	45377	0,40811771
56,495117	0	-26,901773	-0,024338927	45377	0,40811914
56,620117	0	-26,932917	-0,025800994	45377	0,4081206
56,745117	0	-28,382948	-0,027269028	45377	0,40812206
56,870117	0	-29,295794	-0,027867282	45377	0,40812349
56,995117	0	-29,205641	-0,02799111	45377	0,40812495
57,120117	0	-28,790049	-0,029360678	45377	0,40812638
