MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Zylinder Druckfestigkeit (100mm)			Zeit:	18,911133	s	26.03.2024 09:41:33
Datum	26.03.2024
Prüfer:	Glagow/Bindnagel
Probebezeichnung	20240227_7188_M04_Z01
Protokoll Seite	-
Durchmesser [mm]:	99
Höhe [mm]:	299
Masse [g]:	5400
Bediener Information Ende

Datenerfassung						Zeit:	122,02637	s	26.03.2024 09:43:16
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
0,0019916922	3,9090602
-5,2018037	-349,08319

Datenerfassung						Zeit:	122,03125	s	26.03.2024 09:43:16
Laufzeit	Ch 1 Kraft dP Sollwert	Ch 1 Prüfkraft	Ch 1 Weg	Datum	Tageszeit
s	kN	kN	mm	d	d
34,310547	0	-21,307877	-0,00031628372	45377	0,38550127
34,435547	0	-23,31119	-0,00016261758	45377	0,38550273
34,560547	0	-22,72006	0,00091752119	45377	0,38550419
34,685547	0	-21,116098	-9,1006164e-05	45377	0,38550562
34,810547	0	-21,662226	0,0004102737	45377	0,38550708
34,935547	0	-23,732594	-0,00044757131	45377	0,38550851
35,060547	0	-23,047438	1,4919044e-06	45377	0,38550997
35,185547	0	-21,684727	-0,0010547764	45377	0,3855114
35,310547	0	-22,612026	-0,00032821897	45377	0,38551286
35,435547	0	-24,28051	-0,0026376869	45377	0,38551429
35,560547	0	-23,911407	-0,00165303	45377	0,38551575
35,685547	0	-22,688023	-0,0020677794	45377	0,38551718
35,810547	0	-23,667177	-0,0029599383	45377	0,38551864
35,935547	0	-25,58004	-0,0036790362	45377	0,3855201
36,060547	0	-24,849585	-0,0040102392	45377	0,38552153
36,185547	0	-23,742727	-0,0043324903	45377	0,38552299
36,310547	0	-24,84586	-0,0049844524	45377	0,38552442
36,435547	0	-26,587954	-0,0066971588	45377	0,38552588
36,560547	0	-26,087126	-0,0059452388	45377	0,38552731
36,685547	0	-25,497934	-0,0062674903	45377	0,38552877
36,810547	0	-26,143303	-0,0080025755	45377	0,3855302
36,935547	0	-27,854404	-0,0089797722	45377	0,38553166
37,060547	0	-27,992687	-0,0089529185	45377	0,38553309
37,185547	0	-27,235708	-0,0084382109	45377	0,38553455
37,310547	0	-27,544609	-0,0098704398	45377	0,38553602
37,435547	0	-29,372534	-0,011501091	45377	0,38553745
37,560547	0	-29,784849	-0,012054588	45377	0,38553891
37,685547	0	-28,937271	-0,012807999	45377	0,38554034
37,810547	0	-28,807333	-0,013507702	45377	0,3855418
37,935547	0	-30,559114	-0,013182467	45377	0,38554323
38,060547	0	-31,801424	-0,014902633	45377	0,38554469
38,185547	0	-30,804237	-0,014868319	45377	0,38554612
