MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Zylinder Druckfestigkeit (100mm)			Zeit:	39,078125	s	26.03.2024 09:56:20
Datum	26.03.2024
Prüfer:	Glagow/Bindnagel
Probebezeichnung	20240227_7188_M04_Z03
Protokoll Seite	-
Durchmesser [mm]:	99
Höhe [mm]:	298,9
Masse [g]:	5382
Bediener Information Ende

Datenerfassung						Zeit:	140,125	s	26.03.2024 09:58:01
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
0,0028942944	-10,349712
-2,160531	-326,59811

Datenerfassung						Zeit:	140,12988	s	26.03.2024 09:58:01
Laufzeit	Ch 1 Kraft dP Sollwert	Ch 1 Prüfkraft	Ch 1 Weg	Datum	Tageszeit
s	kN	kN	mm	d	d
58,452148	0	-20,478626	0,001420293	45377	0,39581543
58,577148	0	-21,118931	0,0015545643	45377	0,39581686
58,702148	0	-22,512337	0,0016127486	45377	0,39581832
58,827148	0	-21,879784	0,00074744411	45377	0,39581975
58,952148	0	-20,548513	0,00081756362	45377	0,39582121
59,077148	0	-21,562984	0,00057289127	45377	0,39582264
59,202148	0	-23,19809	0,0004386199	45377	0,3958241
59,327148	0	-22,982618	-0,0003714842	45377	0,39582554
59,452148	0	-21,316221	0,00031329991	45377	0,395827
59,577148	0	-22,12595	-0,00011338473	45377	0,39582843
59,702148	0	-23,995451	-0,00069821125	45377	0,39582989
59,827148	0	-23,882797	-0,0011457825	45377	0,39583135
59,952148	0	-22,461376	-0,0021498343	45377	0,39583278
60,077148	0	-23,330412	-0,0035865381	45377	0,39583424
60,202148	0	-25,374554	-0,0043041441	45377	0,39583567
60,327148	0	-25,487354	-0,0043772473	45377	0,39583713
60,452148	0	-24,044327	-0,0040460448	45377	0,39583856
60,577148	0	-24,803839	-0,0054842406	45377	0,39584002
60,702148	0	-26,880911	-0,0062764417	45377	0,39584145
60,827148	0	-27,027836	-0,006630023	45377	0,39584291
60,952148	0	-25,654844	-0,007005983	45377	0,39584434
61,077148	0	-26,228687	-0,0076146801	45377	0,3958458
61,202148	0	-28,077326	-0,0078071356	45377	0,39584726
