MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	32,773438	s	02.04.2024 08:05:01
Datum	2.4.2024
Prüfer: 	Mac
Probe	20240305_7188_M05_Z01
Protokoll Seite	-
Breite [mm]:	-
Höhe [mm]:	-
Länge Einfüllseite [mm]:	298
Masse [g]:	5418
Bediener Information Ende

Datenerfassung						Zeit:	192,48535	s	02.04.2024 08:07:41
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
4,9098229	165,61929
-0,85720944	-430,72964

Datenerfassung						Zeit:	192,49121	s	02.04.2024 08:07:41
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Prüfkraft
d	d	s	mm	kN
45384	0,27707642	83,40332	0,00011636854	-15,227309
45384	0,27707875	83,603516	-0,0010443331	-15,697739
45384	0,27708107	83,803711	-0,003198643	-16,321352
45384	0,27708337	84,003906	-0,0049844524	-17,093531
45384	0,27708569	84,204102	-0,006774738	-17,878674
45384	0,27708802	84,404297	-0,0091722282	-18,561146
45384	0,27709034	84,604492	-0,010594013	-19,377878
45384	0,27709264	84,804688	-0,012716993	-20,130983
45384	0,27709496	85,004883	-0,014552035	-20,8671
45384	0,27709728	85,205078	-0,016215509	-21,469852
45384	0,27709961	85,405273	-0,017488103	-22,446325
45384	0,2771019	85,605469	-0,019293308	-23,049078
45384	0,27710423	85,805664	-0,021781804	-23,806355
45384	0,27710655	86,005859	-0,023669062	-24,688801
45384	0,27710888	86,206055	-0,025189314	-25,515369
45384	0,27711117	86,40625	-0,027506242	-26,251635
45384	0,2771135	86,606445	-0,029286083	-26,864222
45384	0,27711582	86,806641	-0,031034594	-27,835033
45384	0,27711815	87,006836	-0,032162476	-28,47176
45384	0,27712044	87,207031	-0,034922499	-29,594711
45384	0,27712277	87,407227	-0,036320411	-30,177494
45384	0,27712509	87,607422	-0,037318498	-30,819883
45384	0,27712741	87,807617	-0,039387766	-31,717829
45384	0,27712971	88,007813	-0,04107511	-32,360962
45384	0,27713203	88,208008	-0,042407382	-33,370068
45384	0,27713436	88,408203	-0,043309983	-34,13435
45384	0,27713668	88,608398	-0,045455344	-34,890137
45384	0,27713898	88,808594	-0,047083009	-35,742035
45384	0,2771413	89,008789	-0,048488386	-36,39843
45384	0,27714363	89,208984	-0,050411448	-37,236919
45384	0,27714595	89,40918	-0,051215585	-38,101189
45384	0,27714825	89,609375	-0,054132257	-39,006432
45384	0,27715057	89,80957	-0,054417212	-39,855202
45384	0,2771529	90,009766	-0,055958349	-40,384193
45384	0,27715522	90,209961	-0,057711337	-41,377209
45384	0,27715752	90,410156	-0,05892127	-41,770451
