MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	17,680664	s	02.04.2024 08:22:13
Datum	2.4.2024
Prüfer: 	Mac
Probe	20240305_7188_M06_Z02
Protokoll Seite	-
Breite [mm]:	-
Höhe [mm]:	99
Länge Einfüllseite [mm]:	299
Masse [g]:	5455
Bediener Information Ende

Datenerfassung						Zeit:	169,90625	s	02.04.2024 08:24:45
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
4,9102125	3,9597242
-0,83921862	-443,04993

Datenerfassung						Zeit:	169,91211	s	02.04.2024 08:24:45
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Prüfkraft
d	d	s	mm	kN
45384	0,28889695	57,697266	-0,00086828833	-15,579424
45384	0,28889927	57,897461	-0,00069970317	-16,418955
45384	0,2889016	58,097656	-0,0026182921	-17,047634
45384	0,28890392	58,297852	-0,002934576	-17,905346
45384	0,28890622	58,498047	-0,0047740941	-18,943361
45384	0,28890854	58,698242	-0,0063734157	-19,843838
45384	0,28891087	58,898438	-0,0077041942	-20,920149
45384	0,28891319	59,098633	-0,0081502739	-21,261087
45384	0,28891549	59,298828	-0,010300108	-22,432169
45384	0,28891781	59,499023	-0,012145594	-23,235044
45384	0,28892013	59,699219	-0,012341033	-24,050137
45384	0,28892246	59,899414	-0,014117891	-24,541727
45384	0,28892475	60,099609	-0,015251738	-25,057009
45384	0,28892708	60,299805	-0,01645123	-25,655888
45384	0,2889294	60,5	-0,017304599	-26,779434
45384	0,28893173	60,700195	-0,018322079	-27,574709
45384	0,28893402	60,900391	-0,021231292	-28,558334
45384	0,28893635	61,100586	-0,022071233	-29,158106
45384	0,28893867	61,300781	-0,023200605	-30,427238
45384	0,288941	61,500977	-0,023024561	-31,300745
45384	0,28894329	61,701172	-0,024823798	-31,995586
45384	0,28894562	61,901367	-0,02610385	-32,802631
45384	0,28894794	62,101563	-0,027773293	-33,433102
45384	0,28895026	62,301758	-0,029553134	-34,20364
45384	0,28895256	62,501953	-0,030537792	-34,983566
45384	0,28895488	62,702148	-0,031468738	-35,753212
45384	0,28895721	62,902344	-0,032533959	-36,714336
45384	0,28895953	63,102539	-0,034245174	-37,543438
45384	0,28896183	63,302734	-0,035938483	-38,386841
45384	0,28896415	63,50293	-0,036251783	-39,038918
45384	0,28896648	63,703125	-0,036893304	-39,494892
45384	0,2889688	63,90332	-0,039329585	-40,247551
45384	0,2889711	64,103516	-0,039848767	-40,516369
45384	0,28897342	64,303711	-0,041234747	-41,212997
45384	0,28897575	64,503906	-0,042144805	-41,992329
45384	0,28897807	64,704102	-0,043687437	-42,659302
45384	0,28898036	64,904297	-0,045588121	-43,379925
45384	0,28898269	65,104492	-0,046243068	-44,31229
45384	0,28898501	65,304688	-0,046541449	-44,983887
45384	0,28898734	65,504883	-0,048152708	-45,499763
45384	0,28898963	65,705078	-0,048940431	-46,177765
45384	0,28899196	65,905273	-0,051160384	-46,843552
45384	0,28899428	66,105469	-0,050921679	-47,503819
45384	0,28899661	66,305664	-0,053101353	-48,109253
45384	0,2889989	66,505859	-0,053892061	-49,089153
45384	0,28900123	66,706055	-0,054558944	-49,74704
45384	0,28900355	66,90625	-0,055694282	-50,489269
45384	0,28900588	67,106445	-0,058142498	-51,392578
45384	0,28900817	67,306641	-0,05856023	-52,215866
45384	0,28901049	67,506836	-0,059613515	-53,314232
45384	0,28901282	67,707031	-0,06140231	-54,165382
45384	0,28901514	67,907227	-0,063068762	-54,673515
45384	0,28901744	68,107422	-0,064845622	-55,428108
45384	0,28901976	68,307617	-0,064747155	-55,964996
45384	0,28902209	68,507813	-0,066045113	-56,702457
45384	0,28902441	68,708008	-0,069230333	-57,740173
45384	0,28902671	68,908203	-0,068488851	-58,317741
45384	0,28902903	69,108398	-0,069492906	-59,218071
45384	0,28903136	69,308594	-0,070347764	-60,037636
45384	0,28903368	69,508789	-0,071956038	-60,763767
45384	0,28903598	69,708984	-0,073328592	-61,690323
45384	0,2890383	69,90918	-0,074819006	-62,166561
45384	0,28904063	70,109375	-0,076686867	-62,825344
45384	0,28904295	70,30957	-0,077076256	-63,551476
45384	0,28904524	70,509766	-0,079284273	-64,708549
45384	0,28904757	70,709961	-0,080913432	-65,411736
45384	0,28904989	70,910156	-0,081538543	-66,393578
45384	0,28905219	71,110352	-0,082487389	-67,362
45384	0,28905451	71,310547	-0,08377938	-68,690437
45384	0,28905684	71,510742	-0,085615918	-69,259666
45384	0,28905916	71,710938	-0,086611018	-70,255508
45384	0,28906146	71,911133	-0,087725468	-71,341805
45384	0,28906378	72,111328	-0,089642569	-72,027107
45384	0,28906611	72,311523	-0,09154325	-72,929222
45384	0,28906843	72,511719	-0,091637246	-73,767715
45384	0,28907073	72,711914	-0,092520453	-74,695908
45384	0,28907305	72,912109	-0,094931364	-75,518005
45384	0,28907537	73,112305	-0,096112959	-76,168442
45384	0,2890777	73,3125	-0,096459076	-77,02153
45384	0,28907999	73,512695	-0,098993823	-77,905022
45384	0,28908232	73,712891	-0,10032012	-78,713707
45384	0,28908464	73,913086	-0,10131075	-79,485588
45384	0,28908697	74,113281	-0,10252218	-80,355667
45384	0,28908926	74,313477	-0,10255649	-81,204735
45384	0,28909159	74,513672	-0,10503902	-81,720909
45384	0,28909391	74,713867	-0,10567755	-82,274635
45384	0,28909624	74,914063	-0,10824811	-83,138008
45384	0,28909853	75,114258	-0,10944163	-83,917343
45384	0,28910086	75,314453	-0,11097232	-84,483887
45384	0,28910318	75,514648	-0,11198533	-85,435921
45384	0,2891055	75,714844	-0,11194206	-86,232086
45384	0,2891078	75,915039	-0,11334743	-86,832008
45384	0,28911012	76,115234	-0,11420976	-88,07238
45384	0,28911245	76,31543	-0,11501539	-88,830406
45384	0,28911477	76,515625	-0,11737408	-89,721344
45384	0,28911707	76,71582	-0,11895849	-90,489494
45384	0,28911939	76,916016	-0,11981633	-91,143509
45384	0,28912172	77,116211	-0,12098598	-92,135483
45384	0,28912404	77,316406	-0,12228394	-92,684586
45384	0,28912634	77,516602	-0,12357146	-93,657333
45384	0,28912866	77,716797	-0,12588391	-94,166809
45384	0,28913099	77,916992	-0,12613007	-94,979065
45384	0,28913331	78,117188	-0,12839627	-95,900108
45384	0,28913561	78,317383	-0,1281143	-96,716843
45384	0,28913793	78,517578	-0,12980762	-97,884644
45384	0,28914025	78,717773	-0,1309534	-98,530167
45384	0,28914258	78,917969	-0,1329809	-99,284462
45384	0,28914487	79,118164	-0,13374326	-99,903305
45384	0,2891472	79,318359	-0,13520682	-100,63435
45384	0,28914952	79,518555	-0,13720746	-101,12371
45384	0,28915185	79,71875	-0,13715674	-101,75001
45384	0,28915414	79,918945	-0,13976608	-102,17991
45384	0,28915647	80,119141	-0,13972281	-102,92392
45384	0,28915879	80,319336	-0,1406821	-103,74721
45384	0,28916112	80,519531	-0,14269319	-104,40077
45384	0,28916341	80,719727	-0,14390312	-105,01768
45384	0,28916574	80,919922	-0,1447013	-105,66856
45384	0,28916806	81,120117	-0,14596643	-106,49319
45384	0,28917038	81,320313	-0,14711371	-107,29354
45384	0,28917268	81,520508	-0,14807896	-107,75368
45384	0,289175	81,720703	-0,15064505	-108,73731
45384	0,28917733	81,920898	-0,15015122	-109,24603
45384	0,28917965	82,121094	-0,15279935	-110,1328
45384	0,28918195	82,321289	-0,15259944	-110,74658
45384	0,28918427	82,521484	-0,15455085	-111,36349
45384	0,2891866	82,72168	-0,15656492	-112,34503
45384	0,28918892	82,921875	-0,15747647	-113,05388
45384	0,28919122	83,12207	-0,158485	-113,66647
45384	0,28919354	83,322266	-0,15931898	-114,74934
45384	0,28919587	83,522461	-0,16180599	-115,53716
45384	0,28919819	83,722656	-0,16192831	-116,55699
45384	0,28920048	83,922852	-0,16493599	-117,21906
45384	0,28920281	84,123047	-0,16460031	-117,86099
45384	0,28920513	84,323242	-0,16503894	-118,94729
45384	0,28920746	84,523438	-0,16662483	-119,65971
45384	0,28920975	84,723633	-0,16717534	-120,32073
45384	0,28921208	84,923828	-0,1686762	-121,12495
45384	0,2892144	85,124023	-0,17045306	-121,73679
45384	0,28921673	85,324219	-0,17131388	-122,14359
45384	0,28921902	85,524414	-0,17268942	-122,99236
45384	0,28922135	85,724609	-0,17431112	-124,06927
45384	0,28922367	85,924805	-0,17550912	-124,88272
45384	0,289226	86,125	-0,17550017	-125,6169
45384	0,28922829	86,325195	-0,17652661	-126,16377
45384	0,28923061	86,525391	-0,17847653	-127,00643
45384	0,28923294	86,725586	-0,17956114	-127,89097
45384	0,28923526	86,925781	-0,18136038	-128,56644
45384	0,28923756	87,125977	-0,18234503	-129,28438
45384	0,28923988	87,326172	-0,18405624	-129,98756
45384	0,28924221	87,526367	-0,18605688	-130,88431
45384	0,28924453	87,726563	-0,18707436	-131,93216
45384	0,28924683	87,926758	-0,18812765	-132,862
45384	0,28924915	88,126953	-0,18892731	-134,01057
45384	0,28925148	88,327148	-0,19020438	-134,89571
45384	0,2892538	88,527344	-0,19188873	-135,88782
45384	0,2892561	88,727539	-0,19211252	-136,63481
45384	0,28925842	88,927734	-0,19252728	-137,65614
45384	0,28926075	89,12793	-0,19500533	-138,31969
45384	0,28926307	89,328125	-0,19525596	-139,27455
45384	0,28926536	89,52832	-0,19681799	-140,14926
45384	0,28926769	89,728516	-0,19855309	-140,99504
45384	0,28927001	89,928711	-0,19997337	-141,74681
45384	0,28927234	90,128906	-0,20170696	-142,53404
45384	0,28927463	90,329102	-0,20113854	-143,47311
45384	0,28927696	90,529297	-0,20285723	-144,34319
45384	0,28927928	90,729492	-0,20394184	-145,25768
45384	0,28928161	90,929688	-0,20471017	-146,05399
45384	0,2892839	91,129883	-0,20646465	-146,71918
45384	0,28928623	91,330078	-0,2077447	-147,34785
45384	0,28928855	91,530273	-0,20908593	-147,9612
45384	0,28929088	91,730469	-0,20964091	-148,76407
45384	0,28929317	91,930664	-0,21169825	-149,31004
45384	0,28929549	92,130859	-0,2129619	-150,30261
45384	0,28929782	92,331055	-0,21347213	-151,04633
45384	0,28930014	92,53125	-0,2155205	-152,17807
45384	0,28930244	92,731445	-0,21538624	-152,85533
45384	0,28930476	92,931641	-0,21700197	-153,67653
45384	0,28930709	93,131836	-0,21812686	-154,43678
45384	0,28930941	93,332031	-0,21946362	-155,30835
45384	0,28931171	93,532227	-0,22071084	-155,91885
45384	0,28931403	93,732422	-0,22169401	-156,99681
45384	0,28931636	93,932617	-0,22338434	-157,66602
45384	0,28931868	94,132813	-0,22300389	-158,26117
45384	0,28932098	94,333008	-0,22538349	-159,30232
45384	0,2893233	94,533203	-0,22799879	-160,1344
45384	0,28932562	94,733398	-0,22784513	-160,86261
45384	0,28932795	94,933594	-0,22906551	-161,3259
45384	0,28933024	95,133789	-0,23008448	-161,90346
45384	0,28933257	95,333984	-0,23174646	-162,50204
45384	0,28933489	95,53418	-0,23339799	-162,83299
45384	0,28933722	95,734375	-0,23372024	-163,46019
45384	0,28933951	95,93457	-0,23488542	-164,3252
45384	0,28934184	96,134766	-0,23557469	-165,08337
45384	0,28934416	96,334961	-0,23828548	-165,80489
45384	0,28934649	96,535156	-0,23851225	-166,3674
45384	0,28934878	96,735352	-0,23989524	-167,07521
45384	0,28935111	96,935547	-0,24059047	-167,70419
45384	0,28935343	97,135742	-0,24243446	-168,36252
45384	0,28935575	97,335938	-0,24322964	-169,28386
45384	0,28935805	97,536133	-0,24491252	-169,88914
45384	0,28936037	97,736328	-0,24606426	-170,62988
45384	0,2893627	97,936523	-0,24702655	-171,66774
45384	0,28936499	98,136719	-0,24802314	-172,81468
45384	0,28936732	98,336914	-0,24927036	-173,6131
45384	0,28936964	98,537109	-0,25094131	-174,2744
45384	0,28937197	98,737305	-0,25098756	-175,1196
45384	0,28937426	98,9375	-0,25269875	-175,89386
45384	0,28937659	99,137695	-0,25426227	-176,32645
45384	0,28937891	99,337891	-0,25508431	-177,05049
45384	0,28938124	99,538086	-0,25710884	-177,817
45384	0,28938353	99,738281	-0,25808752	-178,27298
45384	0,28938586	99,938477	-0,25858432	-179,3116
45384	0,28938818	100,13867	-0,25927806	-180,3143
45384	0,2893905	100,33887	-0,26214698	-181,38092
45384	0,2893928	100,53906	-0,2617591	-182,07666
45384	0,28939512	100,73926	-0,26364785	-182,75838
45384	0,28939745	100,93945	-0,26488614	-183,28082
