MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information			Würfeldruckfestigkeit (150mm)			Zeit:	18,871094	s	02.04.2024 08:25:33
Datum	2.4.2024
Prüfer: 	Mac
Probe	20240305_7188_M06_Z03
Protokoll Seite	-
Breite [mm]:	-
Höhe [mm]:	99
Länge Einfüllseite [mm]:	299
Masse [g]:	5460
Bediener Information Ende

Datenerfassung						Zeit:	149,31445	s	02.04.2024 08:27:43
Ch 1 Weg	Ch 1 Prüfkraft
mm	kN
4,9112	3,3234446
-0,80597299	-424,58322

Datenerfassung						Zeit:	149,31934	s	02.04.2024 08:27:43
Datum	Tageszeit	Laufzeit	Ch 1 Weg	Ch 1 Prüfkraft
d	d	s	mm	kN
45384	0,29101655	41,830078	0,00076385506	-14,791897
45384	0,29101887	42,030273	-0,0013218273	-15,446356
45384	0,2910212	42,230469	-0,0011666692	-16,045383
45384	0,29102349	42,430664	-0,0034925481	-16,996525
45384	0,29102582	42,630859	-0,004168381	-17,811916
45384	0,29102814	42,831055	-0,0057304045	-18,454155
45384	0,29103047	43,03125	-0,0071879951	-19,123367
45384	0,29103276	43,231445	-0,0079190284	-19,703468
45384	0,29103509	43,431641	-0,0096481452	-20,883194
45384	0,29103741	43,631836	-0,010917756	-21,314732
45384	0,29103974	43,832031	-0,012367887	-22,316984
45384	0,29104203	44,032227	-0,014714653	-22,918692
45384	0,29104435	44,232422	-0,016087204	-24,12211
45384	0,29104668	44,432617	-0,017429918	-24,885199
45384	0,291049	44,632813	-0,018251957	-25,675259
45384	0,2910513	44,833008	-0,019266453	-26,728621
45384	0,29105362	45,033203	-0,021353627	-27,854553
45384	0,29105595	45,233398	-0,02255461	-28,5634
45384	0,29105827	45,433594	-0,023722772	-29,573849
45384	0,29106057	45,633789	-0,02558616	-30,539593
45384	0,29106289	45,833984	-0,026097883	-31,427553
45384	0,29106522	46,03418	-0,028182074	-31,963549
45384	0,29106754	46,234375	-0,028919075	-32,907833
45384	0,29106984	46,43457	-0,029929094	-33,871643
45384	0,29107216	46,634766	-0,031953607	-34,878662
45384	0,29107448	46,834961	-0,031952117	-35,566051
45384	0,29107681	47,035156	-0,03407957	-36,515259
45384	0,2910791	47,235352	-0,034901612	-37,166439
45384	0,29108143	47,435547	-0,03504185	-38,244686
45384	0,29108375	47,635742	-0,037758607	-39,032509
45384	0,29108608	47,835938	-0,038077876	-39,577744
45384	0,29108837	48,036133	-0,041066159	-40,45438
45384	0,2910907	48,236328	-0,041471958	-41,237286
45384	0,29109302	48,436523	-0,043668043	-42,033009
45384	0,29109535	48,636719	-0,04451992	-42,767189
45384	0,29109764	48,836914	-0,045777593	-43,330898
45384	0,29109997	49,037109	-0,046256494	-44,031105
45384	0,29110229	49,237305	-0,047326192	-44,738312
45384	0,29110461	49,4375	-0,04757683	-45,54089
45384	0,29110691	49,637695	-0,049362641	-46,16346
45384	0,29110923	49,837891	-0,050163794	-47,376862
45384	0,29111156	50,038086	-0,051445339	-48,170944
45384	0,29111388	50,238281	-0,05342808	-48,97546
45384	0,29111618	50,438477	-0,054608177	-50,126572
45384	0,2911185	50,638672	-0,055870328	-50,753017
45384	0,29112083	50,838867	-0,056919135	-51,52758
45384	0,29112315	51,039063	-0,05856023	-52,230766
45384	0,29112545	51,239258	-0,058715388	-52,907429
45384	0,29112777	51,439453	-0,060577285	-53,504368
45384	0,2911301	51,639648	-0,06063696	-54,529865
45384	0,29113242	51,839844	-0,062084109	-55,118313
45384	0,29113472	52,040039	-0,063217953	-56,093296
45384	0,29113704	52,240234	-0,064668089	-57,001225
45384	0,29113936	52,44043	-0,065546818	-57,235321
45384	0,29114166	52,640625	-0,066762723	-58,412365
45384	0,29114398	52,84082	-0,067263998	-58,810673
45384	0,29114631	53,041016	-0,069651045	-59,229843
45384	0,29114863	53,241211	-0,071230978	-59,857777
45384	0,29115093	53,441406	-0,072500587	-60,597469
45384	0,29115325	53,641602	-0,072857149	-61,242989
45384	0,29115558	53,841797	-0,074569859	-62,039307
45384	0,2911579	54,041992	-0,075282983	-62,679161
45384	0,2911602	54,242188	-0,076470539	-63,366703
45384	0,29116252	54,442383	-0,077267222	-63,979141
45384	0,29116485	54,642578	-0,079239517	-64,973938
45384	0,29116717	54,842773	-0,080383807	-65,567154
45384	0,29116946	55,042969	-0,080995485	-66,261848
45384	0,29117179	55,243164	-0,083327338	-67,065018
45384	0,29117411	55,443359	-0,084764041	-67,887268
45384	0,29117644	55,643555	-0,085700952	-68,426544
45384	0,29117873	55,84375	-0,087049633	-69,14254
45384	0,29118106	56,043945	-0,088549003	-70,026924
45384	0,29118338	56,244141	-0,089714177	-71,124992
45384	0,29118571	56,444336	-0,092068404	-72,072258
45384	0,291188	56,644531	-0,092560731	-72,563255
45384	0,29119033	56,844727	-0,093109749	-73,598137
45384	0,29119265	57,044922	-0,094221219	-74,427238
45384	0,29119498	57,245117	-0,095866792	-75,226387
45384	0,29119727	57,445313	-0,096371055	-75,784584
45384	0,29119959	57,645508	-0,097877875	-76,410286
45384	0,29120192	57,845703	-0,09866859	-76,856873
45384	0,29120424	58,045898	-0,10147188	-77,70356
45384	0,29120654	58,246094	-0,10222827	-78,78553
45384	0,29120886	58,446289	-0,10330393	-79,705826
45384	0,29121119	58,646484	-0,10477197	-80,340614
45384	0,29121351	58,84668	-0,10556566	-81,220085
45384	0,29121581	59,046875	-0,1070516	-82,222038
45384	0,29121813	59,24707	-0,10977283	-82,676666
45384	0,29122046	59,447266	-0,10919695	-83,403694
45384	0,29122278	59,647461	-0,11083209	-83,971733
45384	0,29122508	59,847656	-0,1121375	-84,674171
45384	0,2912274	60,047852	-0,11370549	-85,807259
45384	0,29122972	60,248047	-0,1154734	-86,358154
45384	0,29123205	60,448242	-0,11600452	-87,568123
45384	0,29123434	60,648438	-0,11647297	-88,363106
45384	0,29123667	60,848633	-0,1182185	-89,64624
45384	0,29123899	61,048828	-0,12043249	-90,430038
45384	0,29124132	61,249023	-0,12180802	-91,511566
45384	0,29124361	61,449219	-0,12250922	-92,2155
45384	0,29124594	61,649414	-0,12399366	-93,231758
45384	0,29124826	61,849609	-0,12423237	-93,953125
45384	0,29125059	62,049805	-0,12548557	-94,609367
45384	0,29125288	62,25	-0,12702522	-95,603127
45384	0,29125521	62,450195	-0,12872151	-96,380966
45384	0,29125753	62,650391	-0,12970467	-97,386055
45384	0,29125986	62,850586	-0,13058043	-98,240189
45384	0,29126215	63,050781	-0,13209471	-99,278053
45384	0,29126447	63,250977	-0,13340609	-99,901817
45384	0,2912668	63,451172	-0,13443848	-100,98811
