MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	20,530273	s	11.09.2014 13:43:57
Datum : 	11.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	BA Los M V-6
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5439,0
Durchmesser :	98,6
Länge :	300,1
Bediener Information Ende

Datenerfassung						Zeit:	324,06641	s	11.09.2014 13:49:01
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41893	21,040039	-0,022683224	0,060759485	5,0030589	0,74978185	-0,045544297	-0,3609446
41893	21,540039	-0,130758	0,060321763	5,0039558	0,7498017	-0,044841371	-0,36100259
41893	22,040039	-0,23883277	0,047361478	5,0019026	0,74987465	-0,044219099	-0,36100399
41893	22,540039	-0,34690753	0,066233799	4,9905658	0,74986994	-0,043621026	-0,36101642
41893	23,040039	-0,45498231	0,0984855	4,9672871	0,74994457	-0,039838228	-0,36096156
41893	23,540039	-0,56305707	0,068455935	4,9277902	0,74993354	-0,040707108	-0,36099279
41893	24,040039	-0,67113185	0,059863552	4,8701735	0,7499274	-0,040854085	-0,3610813
41893	24,540039	-0,77920663	0,06098859	4,7883272	0,75005507	-0,040891323	-0,36098117
41893	25,040039	-0,88728142	0,090541318	4,6792059	0,75002992	-0,040855546	-0,3609626
41893	25,540039	-0,99535614	0,076502562	4,5409412	0,75012755	-0,040893149	-0,36093679
41893	26,040039	-1	0,03990531	4,3760242	0,75063103	-0,040849902	-0,36101326
41893	26,540039	-1	0,079248101	4,1900783	0,73802978	-0,040880356	-0,36088634
41893	27,040039	-1	0,08588098	3,9935946	0,73739451	-0,040774241	-0,36084872
41893	27,540039	-1	0,070352107	3,7767351	0,73729742	-0,040818214	-0,36088109
41893	28,040039	-1	0,079128891	3,5356669	0,73719043	-0,040939469	-0,36087555
41893	28,540039	-1	0,083053485	3,2716365	0,73721015	-0,040807579	-0,36091816
41893	29,040039	-1	0,074455515	2,989161	0,73723501	-0,040836681	-0,36093488
41893	29,540039	-1	0,07350184	2,6899667	0,73733163	-0,040846102	-0,36095956
41893	30,040039	-1	0,079432502	2,3749619	0,73735863	-0,040826365	-0,36087647
41893	30,540039	-1	0,076208264	2,0459085	0,73744279	-0,04092332	-0,36097527
41893	31,040039	-1	0,054148957	1,6999125	0,73742193	-0,040829729	-0,36094493
41893	31,540039	-1	0,087505206	1,3414025	0,73757219	-0,040922064	-0,36087978
41893	32,040039	-1	0,079786405	0,96777081	-2,5167527	-0,040927082	-0,36083636
41893	32,540039	-1	0,04418008	0,57661533	0,24002141	-0,040875837	-0,36084461
41893	33,040039	-1	0,084497035	0,17110705	0,0018859208	-0,04078877	-0,36082494
41893	33,540039	-1	-6,1991792	0,035870075	-0,86830646	-0,040826745	-0,36077824
41893	34,040039	-1	-6,0363355	0,03451407	-3,1093082	-0,040849641	-0,36098844
41893	34,540039	-1	-4,8636031	0,03913641	1,9192748	-0,040945433	-0,36084029
41893	35,040039	-1	-3,9443226	0,042364001	1,7636974	-0,040854525	-0,36069301
41893	35,540039	-1	-3,5628099	0,043031573	1,4316049	-0,040860403	-0,36102602
41893	36,040039	-1	-3,1764302	0,046736002	1,5365937	-0,040838547	-0,36084396
41893	36,540039	-1	-2,1352172	0,052157044	1,5341184	-0,040863141	-0,36077964
41893	37,040039	-1	-1,8283651	0,054255128	1,5473371	-0,040825661	-0,36095184
