MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	29,110352	s	11.09.2014 13:04:45
Datum : 	11.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	BA Los M VI-4
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5354,5
Durchmesser :	98,5
Länge :	300,2
Bediener Information Ende

Datenerfassung						Zeit:	475,99316	s	11.09.2014 13:12:12
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41893	29,625	-2,1315918	-2,1848307	-14,850348	-0,055590667	-0,0013576724	0,060074907
41893	30,125	-2,0065918	-2,0335391	-14,848965	-0,055657182	-0,0013264971	0,06004725
41893	30,625	-1,8815918	-1,8769503	-14,848192	-0,055582732	-0,0013546291	0,060164865
41893	31,125	-1,7565918	-1,7667599	-14,846786	-0,055580694	-0,001230952	0,060144443
41893	31,625	-1,6315918	-1,6108602	-14,845874	-0,055521134	-0,0011821728	0,060287613
41893	32,125	-1,5065918	-1,4994088	-14,845716	-0,055447888	-0,0011282847	0,060237382
41893	32,625	-1,3815918	-1,3600197	-14,843895	-0,055352256	-0,0011086228	0,060304459
41893	33,125	-1,2565918	-1,2567695	-14,842175	-0,05536845	-0,0011036869	0,060267057
41893	33,625	-1,1315918	-1,1335555	-14,841826	-0,055330232	-0,0010464431	0,060305398
41893	34,125	-1,0065918	-1,0053291	-14,839946	-0,055308238	-0,0010148736	0,060342271
41893	34,625	-1	-0,97013825	-14,839305	-0,055276591	-0,00092511228	0,060329724
41893	35,125	-1	-0,95666385	-14,839615	-0,055325106	-0,00095699966	0,060410272
41893	35,625	-1	-0,96082318	-14,839037	-0,055251535	-0,0010955384	0,060337219
41893	36,125	-1	-0,96427089	-14,83949	-0,055268034	-0,00097517244	0,060449969
41893	36,625	-1	-0,96902996	-14,839439	-0,055267468	-0,0010300402	0,06032474
41893	37,125	-1	-0,98002702	-14,83954	-0,05525855	-0,00094436709	0,06038728
41893	37,625	-1	-0,96739268	-14,838578	-0,055278901	-0,00094509957	0,060362618
41893	38,125	-1	-0,99287742	-14,839413	-0,055294167	-0,0009536756	0,060397487
41893	38,625	-1	-0,98634887	-14,840107	-0,055284213	-0,00091086223	0,060384247
41893	39,125	-1	-1,0218676	-14,840477	-0,05528383	-0,00099018845	0,060382392
41893	39,625	-2,7595704	-2,5098436	-0,010544062	-0,00058406219	-0,0004396005	-0,00027111918
41893	40,125	-4,7095704	-4,4138117	-0,023141503	-0,0011304803	-0,0010304467	-0,00085445493
41893	40,625	-6,6595702	-5,9373846	-0,029167533	-0,0015618466	-0,0016044681	-0,0011920184
41893	41,125	-8,6095705	-8,7168941	-0,042116642	-0,0024431422	-0,0022498213	-0,0020767301
41893	41,625	-10,55957	-10,670347	-0,049206614	-0,0029509701	-0,0029803999	-0,0026087612
41893	42,125	-12,50957	-12,817739	-0,057256222	-0,0035593882	-0,0037141836	-0,0032666326
41893	42,625	-14,459571	-14,919573	-0,064963102	-0,0041488111	-0,0043298099	-0,0038557574
41893	43,125	-16,409571	-16,721189	-0,070929527	-0,0046899617	-0,0050051208	-0,0044819117
41893	43,625	-18,359571	-18,673647	-0,076326728	-0,0052030832	-0,005533949	-0,0050439015
41893	44,125	-20,30957	-20,511381	-0,081932545	-0,0057474896	-0,0062222085	-0,0057022199
41893	44,625	-22,259571	-22,481134	-0,087401271	-0,0062951967	-0,0068765804	-0,0062760562
41893	45,125	-24,20957	-24,344803	-0,093850493	-0,0068240575	-0,0073428536	-0,0068954304
41893	45,625	-26,159571	-26,343733	-0,098535419	-0,0073952191	-0,0080564655	-0,0075811893
41893	46,125	-28,109571	-28,210535	-0,1038909	-0,0078917854	-0,0085680718	-0,0081715733
41893	46,625	-30,05957	-30,223867	-0,10926425	-0,0085158385	-0,0093169659	-0,0089027435
41893	47,125	-32,009571	-32,092365	-0,11382699	-0,0089928694	-0,0099810185	-0,0095279515
41893	47,625	-33,959572	-34,087528	-0,11900365	-0,0095519461	-0,01049582	-0,010273457
41893	48,125	-35,909573	-36,004059	-0,12390018	-0,0099918731	-0,011236378	-0,010880955
41893	48,625	-37,85957	-37,976521	-0,12925565	-0,010521948	-0,011815845	-0,01159744
41893	49,125	-39,80957	-39,851719	-0,13408065	-0,011193998	-0,012412742	-0,012258716
41893	49,625	-41,759571	-41,841564	-0,13903975	-0,011663008	-0,013204247	-0,012931719
41893	50,125	-43,709572	-43,833607	-0,14374852	-0,012273472	-0,013724063	-0,013580292
41893	50,625	-45,659573	-45,704266	-0,1476109	-0,012714237	-0,014385278	-0,014271982
41893	51,125	-47,60957	-47,739769	-0,15206635	-0,013304606	-0,015045264	-0,015020072
41893	51,625	-49,55957	-49,58902	-0,15693605	-0,013836574	-0,015648074	-0,01557681
41893	52,125	-51,509571	-51,622627	-0,16210973	-0,014427861	-0,016433412	-0,016331315
41893	52,625	-53,459572	-53,480686	-0,16672015	-0,014954498	-0,016896512	-0,017030679
41893	53,125	-55,409573	-55,495678	-0,17199814	-0,015504282	-0,01765193	-0,017722189
41893	53,625	-57,359573	-57,37315	-0,17568171	-0,016059587	-0,018261982	-0,018431112
41893	54,125	-59,30957	-59,40733	-0,18059611	-0,016666086	-0,018864579	-0,019111402
41893	54,625	-61,259571	-61,286648	-0,18480718	-0,017141117	-0,019526936	-0,019838341
41893	55,125	-63,209572	-63,347775	-0,18962324	-0,017784329	-0,020277141	-0,020469226
41893	55,625	-65,159569	-65,16967	-0,19374788	-0,018217556	-0,020793796	-0,021202914
41893	56,125	-67,109573	-67,275711	-0,19797981	-0,018863246	-0,021508113	-0,021941014
41893	56,625	-69,05957	-69,034653	-0,2020359	-0,019331358	-0,022095582	-0,022478528
41893	57,125	-71,009575	-71,139099	-0,20617843	-0,019953312	-0,022885337	-0,02325698
41893	57,625	-72,959572	-72,972298	-0,20996034	-0,020464212	-0,023510981	-0,023896135
41893	58,125	-74,909569	-75,022896	-0,21458566	-0,021109145	-0,024121743	-0,024605371
41893	58,625	-76,859573	-76,91713	-0,21918118	-0,021668561	-0,024685841	-0,025365092
41893	59,125	-78,80957	-78,887634	-0,22359788	-0,022135595	-0,025445307	-0,025923871
41893	59,625	-80,759575	-80,801514	-0,22802949	-0,022755222	-0,02593627	-0,026687741
41893	60,125	-82,709572	-82,788155	-0,23132861	-0,023291977	-0,026797196	-0,027387425
41893	60,625	-84,659569	-84,686844	-0,23654401	-0,023845132	-0,027434092	-0,02809944
41893	61,125	-86,609573	-86,714417	-0,24022758	-0,024410455	-0,028160816	-0,028804392
41893	61,625	-88,55957	-88,626213	-0,24435222	-0,024971751	-0,028642809	-0,029436097
41893	62,125	-90,509575	-90,607399	-0,24804473	-0,025567504	-0,029423315	-0,030197091
41893	62,625	-92,459572	-92,527275	-0,25235713	-0,026117407	-0,029979451	-0,030822687
41893	63,125	-94,409569	-94,487839	-0,25734901	-0,026677806	-0,030622078	-0,031525865
41893	63,625	-96,359573	-96,433113	-0,25999248	-0,027297253	-0,031383641	-0,032218106
41893	64,125	-98,30957	-98,381485	-0,26507676	-0,027812086	-0,032069366	-0,032852024
41893	64,625	-100,25957	-100,35786	-0,26896	-0,028425762	-0,032696683	-0,033611804
41893	65,125	-102,20957	-102,23074	-0,27300417	-0,028916424	-0,033384878	-0,034226798
41893	65,625	-104,15958	-104,27626	-0,27692914	-0,029612247	-0,033986971	-0,034948774
41893	66,125	-106,10957	-106,12921	-0,28134882	-0,030132864	-0,034644116	-0,035668306
41893	66,625	-108,05957	-108,18278	-0,28508306	-0,03074806	-0,035481624	-0,036398605
41893	67,125	-110,00957	-110,06319	-0,28931201	-0,031285856	-0,036065962	-0,037067607
41893	67,625	-111,95957	-112,09445	-0,29351413	-0,031877443	-0,036731716	-0,037699543
41893	68,125	-113,90958	-113,93486	-0,29756427	-0,032450587	-0,037343994	-0,038350277
41893	68,625	-115,85957	-115,96714	-0,30145049	-0,033059824	-0,038051017	-0,039078087
41893	69,125	-117,80957	-117,82845	-0,30474067	-0,033573285	-0,038754616	-0,039760306
41893	69,625	-119,75957	-119,99585	-0,30896068	-0,0342087	-0,039418563	-0,040558666
41893	70,125	-121,70957	-121,69742	-0,31244159	-0,03471642	-0,040045328	-0,041070104
41893	70,625	-123,65958	-123,81532	-0,31715333	-0,035374694	-0,040748622	-0,041868649
41893	71,125	-125,60957	-125,61367	-0,31994879	-0,035963982	-0,041341901	-0,042443551
41893	71,625	-127,55957	-127,75079	-0,3235966	-0,036611639	-0,042223081	-0,04323224
41893	72,125	-129,50957	-129,55225	-0,32764077	-0,03708582	-0,042729229	-0,043845654
41893	72,625	-131,45958	-131,61841	-0,33143163	-0,037695289	-0,043523561	-0,044565514
41893	73,125	-133,40958	-133,41542	-0,33475757	-0,038257569	-0,044179883	-0,045192197
41893	73,625	-135,35957	-135,52362	-0,33937693	-0,038895227	-0,044893496	-0,045887075
41893	74,125	-137,30957	-137,33655	-0,34241974	-0,039509412	-0,045543376	-0,046588168
41893	74,625	-139,25957	-139,39474	-0,3465265	-0,039996963	-0,046278615	-0,047177315
41893	75,125	-141,20958	-141,21671	-0,35020113	-0,040617581	-0,046832658	-0,047825128
41893	75,625	-143,15958	-143,35074	-0,35475791	-0,041271269	-0,047726557	-0,048625834
41893	76,125	-145,10957	-145,12512	-0,35816729	-0,041842956	-0,048274707	-0,049168319
41893	76,625	-147,05957	-147,23206	-0,36199689	-0,042482689	-0,049005102	-0,049978979
41893	77,125	-149,00957	-149,00229	-0,36433935	-0,043048393	-0,049708351	-0,050529525
41893	77,625	-150,95958	-151,12325	-0,36927462	-0,043588087	-0,050390664	-0,051318467
41893	78,125	-152,90958	-152,91333	-0,37276745	-0,044249497	-0,051070742	-0,051856466
41893	78,625	-154,85957	-154,99164	-0,37629306	-0,044821773	-0,051727656	-0,052606247
41893	79,125	-156,80957	-156,80246	-0,37990212	-0,045409489	-0,052427668	-0,05322925
