MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	33,796875	s	01.09.2014 13:25:39
Datum : 	01.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	BA-Losert E-Modul 28d v. 04.08.14 Probe 4
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5342
Durchmesser :	98,6
Länge :	300,3
Bediener Information Ende

Datenerfassung						Zeit:	320,02344	s	01.09.2014 13:30:25
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41883	34,306641	-1	-1,0232348	-5,6224585	0,085229494	0,037092578	-0,79244101
41883	34,806641	-1	-1,0453091	-5,6236596	0,085212208	0,037296478	-0,79241711
41883	35,306641	-1	-0,91094339	-5,6222143	0,085342363	0,037207074	-0,79233092
41883	35,806641	-1	-0,94377434	-5,6218681	0,085337736	0,037148945	-0,79230875
41883	36,306641	-1	-1,0764748	-5,6234002	0,085244186	0,037227105	-0,79235226
41883	36,806641	-1	-0,96552444	-5,6231589	0,085283622	0,037165865	-0,79239815
41883	37,306641	-1	-0,97854066	-5,6229234	0,085274197	0,037239604	-0,79238087
41883	37,806641	-1	-1,065297	-5,6224794	0,085280322	0,037168842	-0,79239917
41883	38,306641	-1	-0,95949322	-5,6230068	0,085301325	0,037149988	-0,7922827
41883	38,806641	-1	-0,95583129	-5,6234837	0,085370615	0,03731532	-0,79228735
41883	39,306641	-1	-1,0767653	-5,6221218	0,085269555	0,037259463	-0,79238957
41883	39,806641	-1	-1,0035355	-5,6225867	0,085327424	0,037296679	-0,79235232
41883	40,306641	-1	-0,96815264	-5,6225033	0,085364588	0,037263729	-0,79231107
41883	40,806641	-1	-1,0823067	-5,6227713	0,085270807	0,037246976	-0,79234833
41883	41,306641	-1	-0,96729583	-5,6227355	0,085345052	0,037285198	-0,79226923
41883	41,806641	-1	-0,93512797	-5,6229739	0,08538124	0,037221674	-0,79230845
41883	42,306641	-1	-1,0555423	-5,6226611	0,085302114	0,037335735	-0,79240739
41883	42,806641	-1	-1,0567046	-5,6231499	0,085336827	0,037222136	-0,79242349
41883	43,306641	-1	-0,93075633	-5,6224198	0,085403003	0,037222531	-0,79224002
41883	43,806641	-1	-1,021158	-5,6232481	0,085333757	0,037308075	-0,79225731
41883	44,306641	-2,7748048	-2,5771651	-0,008264184	-0,0006441921	-0,00034864375	-0,0006232392
41883	44,806641	-4,7248049	-4,2003951	-0,01642704	-0,0014577657	-0,0005855292	-0,0012726914
41883	45,306641	-6,6748047	-6,1250291	-0,025257468	-0,0022159144	-0,0010481008	-0,0019382965
41883	45,806641	-8,6248045	-8,6241064	-0,035321712	-0,0034185275	-0,0015572783	-0,0027597863
41883	46,306641	-10,574805	-10,508576	-0,043642521	-0,0042642057	-0,0020522412	-0,0034238808
41883	46,806641	-12,524805	-12,631419	-0,050801039	-0,0050876364	-0,002629187	-0,0041712113
41883	47,306641	-14,474805	-14,847228	-0,058802962	-0,0059407577	-0,0032203046	-0,0050323661
41883	47,806641	-16,424805	-16,639069	-0,0641644	-0,0067056492	-0,003858242	-0,0057914499
41883	48,306641	-18,374805	-18,455898	-0,071659684	-0,0074142143	-0,0043754769	-0,0064316746
41883	48,806641	-20,324804	-20,540012	-0,075635314	-0,0082429871	-0,0050171418	-0,0072098449
