MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	21,249023	s	01.09.2014 14:48:39
Datum : 	01.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	BA-Losert MII E-Modul 28d v. 04.08.14 Probe 6
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5359
Durchmesser :	98,6
Länge :	299,8
Bediener Information Ende

Datenerfassung						Zeit:	300,04297	s	01.09.2014 14:53:18
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41883	21,758789	-1	-1,0621753	-0,37356913	-0,00014391541	0,013019906	0,072915956
41883	22,258789	-1	-0,9835791	-0,37395358	-0,00017248094	0,013077771	0,07299275
41883	22,758789	-1	-1,003975	-0,37311614	-0,00016286969	0,012991109	0,072913572
41883	23,258789	-1	-1,0451227	-0,3749907	-0,00010956824	0,01307899	0,072960921
41883	23,758789	-1	-1,0076165	-0,37454069	-0,00013321638	0,012994786	0,072975971
41883	24,258789	-1	-1,020411	-0,37460625	-3,606081e-05	0,013090988	0,072967164
41883	24,758789	-1	-1,0274835	-0,37379861	-0,00011786819	0,013011831	0,072997108
41883	25,258789	-1	-1,0340884	-0,37391782	-9,2208385e-05	0,013077183	0,073012985
41883	25,758789	-1	-1,0120273	-0,37465692	-5,4419041e-05	0,013052464	0,072932184
41883	26,258789	-1	-1,0110792	-0,37402809	-7,8514218e-05	0,013005169	0,072990187
41883	26,758789	-1	-1,052238	-0,3739804	-6,096065e-05	0,013104598	0,073009051
41883	27,258789	-1	-1,0218601	-0,37355125	-7,0363283e-05	0,013030764	0,072994225
41883	27,758789	-1	-0,9810105	-0,37351251	-9,8019838e-05	0,012999089	0,073043749
41883	28,258789	-1	-1,0541155	-0,37468076	-7,7486038e-05	0,013101238	0,072998725
41883	28,758789	-1	-1,0457914	-0,37439167	-0,00012746453	0,013028644	0,072968327
41883	29,258789	-1	-0,97028542	-0,37477612	9,9688768e-06	0,013103364	0,073084898
41883	29,758789	-1	-1,0354184	-0,3739357	1,5377998e-05	0,013043392	0,073014617
41883	30,258789	-1	-1,0589659	-0,37501454	-2,1189451e-05	0,013085397	0,07295239
41883	30,758789	-1	-0,98229575	-0,37439764	9,6708536e-06	0,013172247	0,073107228
41883	31,258789	-1	-1,0205935	-0,37373006	-9,5546246e-05	0,013082774	0,073027819
41883	31,758789	-2,7900391	-2,7837343	-0,0083208084	-0,00095482171	-0,00026165662	-0,00055751204
41883	32,258789	-4,7400393	-3,9562657	-0,014635921	-0,0015549362	-0,00060507492	-0,00088614225
41883	32,758789	-6,6900392	-6,5875912	-0,025203824	-0,0027244091	-0,0011235609	-0,0017222688
