MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	78,494141	s	22.07.2014 07:20:41
Datum : 	18.7.2014
Prüfer : 	Kh
Probenbezeichnung :  	Maack 8.2 Drucklversuch Probe 11 B
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5645,2
Durchmesser :	100,3
Länge :	299,9
Bediener Information Ende

Datenerfassung						Zeit:	544,35547	s	22.07.2014 07:28:27
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41842	79,004883	-1,2784081	-1,2332071	-1,6889933	-0,095031589	0,0036575198	-0,052862138
41842	79,504883	-1,571108	-1,5996526	-1,6932663	-0,095408976	0,003507159	-0,052935213
41842	80,004883	-1,863808	-1,8086973	-1,6952757	-0,095643342	0,0034649647	-0,052910797
41842	80,504883	-2,156508	-2,1480675	-1,6987096	-0,095984101	0,0036748652	-0,052978076
41842	81,004883	-2,449208	-2,4534278	-1,7016735	-0,09616071	0,0035253114	-0,05309286
41842	81,504883	-2,7419081	-2,6801267	-1,7036918	-0,096390665	0,0035815381	-0,053140558
41842	82,004883	-3,0346081	-2,7599857	-1,7047722	-0,096469045	0,0035994675	-0,053166561
41842	82,504883	-3,3273079	-3,1607821	-1,7075959	-0,096857727	0,0035853866	-0,05333133
41842	83,004883	-3,620008	-3,7171524	-1,712006	-0,09723413	0,0036269822	-0,053557821
41842	83,504883	-3,912708	-3,9561615	-1,7144505	-0,097557992	0,0035523167	-0,053674035
41842	84,004883	-3,927	-4,0596743	-1,7149289	-0,0975537	0,003637698	-0,053785674
41842	84,504883	-3,927	-3,9791186	-1,7149787	-0,097527772	0,0036102093	-0,053717352
41842	85,004883	-3,927	-3,9891918	-1,7143991	-0,097508997	0,0035779316	-0,053698517
41842	85,504883	-3,927	-3,9705486	-1,7144803	-0,097446352	0,0036109455	-0,053713605
41842	86,004883	-3,927	-3,88908	-1,714478	-0,097413003	0,0035985266	-0,053641021
41842	86,504883	-3,927	-3,9473028	-1,7150041	-0,097514808	0,0034824219	-0,053684518
41842	87,004883	-3,927	-3,953265	-1,7144885	-0,097461075	0,0035314835	-0,053708963
41842	87,504883	-3,927	-3,9128196	-1,7144214	-0,09742716	0,0035760836	-0,053618751
41842	88,004883	-3,927	-3,933629	-1,7145607	-0,097509593	0,003501894	-0,05369895
41842	88,504883	-3,927	-3,9178674	-1,7144378	-0,097459465	0,003524486	-0,053678431
41842	89,004883	-5,7094221	-5,4972601	-0,0089392066	-0,0011925101	-1,3679302e-05	-0,00058093667
41842	89,504883	-7,6594219	-7,4885917	-0,020091981	-0,0026377141	-8,7794426e-05	-0,0016859844
41842	90,004883	-9,6094217	-9,3905449	-0,03079325	-0,0040227771	-0,00010111678	-0,0027196631
41842	90,504883	-11,559422	-11,574459	-0,041152537	-0,0055643916	-0,00039909058	-0,0038595051
41842	91,004883	-13,509422	-13,59409	-0,049807131	-0,0068793893	-0,00070483919	-0,0049007982
41842	91,504883	-15,459422	-15,463629	-0,058133155	-0,0080230534	-0,0011770261	-0,0058069676
