MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	18,459961	s	18.07.2014 10:50:53
Datum : 	18.7.2014
Prüfer : 	Kh
Probenbezeichnung :  	Maack 8.2 Drucklversuch Probe BK 07 B
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	3810,5
Durchmesser :	100,3
Länge :	200,3
Bediener Information Ende

Datenerfassung						Zeit:	530,47559	s	18.07.2014 10:59:25
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41838	18,969727	-1,2789797	-1,2034811	0,31593591	0,12075399	-0,088482395	0,014292656
41838	19,469727	-1,5716797	-1,4104098	0,31378418	0,12065832	-0,088709898	0,014116837
41838	19,969727	-1,8643796	-1,4280342	0,31276792	0,12073953	-0,088622078	0,014209749
41838	20,469727	-2,1570797	-2,2568145	0,30710399	0,1205184	-0,089034826	0,013908045
41838	20,969727	-2,4497797	-2,5589206	0,30440241	0,12048349	-0,08911036	0,013829125
41838	21,469727	-2,7424798	-2,7668328	0,30265599	0,12044372	-0,089191839	0,013814727
41838	21,969727	-3,0351796	-3,0948594	0,30056238	0,12026918	-0,089269027	0,013604729
41838	22,469727	-3,3278797	-3,3448582	0,29931068	0,12026787	-0,089327849	0,013540601
41838	22,969727	-3,6205797	-3,6457033	0,29739738	0,12017891	-0,089531064	0,013508974
41838	23,469727	-3,9132798	-3,917182	0,29515624	0,12007992	-0,089601576	0,013328226
41838	23,969727	-3,927	-4,0089078	0,29545575	0,12003519	-0,089662991	0,013362767
41838	24,469727	-3,927	-3,9949324	0,29438734	0,1200266	-0,089584149	0,01334518
41838	24,969727	-3,927	-3,9972682	0,29469281	0,12006949	-0,08960177	0,013346629
41838	25,469727	-3,927	-3,9582644	0,29500574	0,12005816	-0,089620881	0,01343477
41838	25,969727	-3,927	-3,9591155	0,29477924	0,12002854	-0,089503445	0,013321469
41838	26,469727	-3,927	-3,9398725	0,2946496	0,12009969	-0,089685127	0,013375985
41838	26,969727	-3,927	-3,9765742	0,29485524	0,12001891	-0,089670911	0,013386639
41838	27,469727	-3,927	-3,9195213	0,29461533	0,12003753	-0,089546494	0,013341656
41838	27,969727	-3,927	-3,9168894	0,29463321	0,12009387	-0,089678176	0,01343528
41838	28,469727	-3,927	-3,9333534	0,29483289	0,12008643	-0,089617148	0,013372695
41838	28,969727	-5,7056131	-5,5766664	-0,0077813864	-0,00048497319	-0,00069447025	-0,00049786642
41838	29,469727	-7,6556134	-7,57269	-0,018373132	-0,0010718852	-0,0013863768	-0,0011110269
41838	29,969727	-9,6056137	-9,6614971	-0,026643276	-0,0018361658	-0,0020298904	-0,0019042827
41838	30,469727	-11,555614	-11,609471	-0,034275651	-0,0025550425	-0,002718467	-0,0025354661
41838	30,969727	-13,505613	-13,553932	-0,041747093	-0,0031559467	-0,0032623278	-0,0031951852
41838	31,469727	-15,455613	-15,499871	-0,048477948	-0,0039110482	-0,0039942907	-0,0039424263
41838	31,969727	-17,405613	-17,410789	-0,054784119	-0,0045571029	-0,0046837935	-0,0045889132
41838	32,469727	-19,355614	-19,435339	-0,060479343	-0,0052957833	-0,0052620089	-0,0053508952
41838	32,969727	-21,305614	-21,301592	-0,066757202	-0,0059219003	-0,0059937937	-0,0059708692
41838	33,469727	-23,255613	-23,337284	-0,071252882	-0,0066675693	-0,006641414	-0,0067570806
41838	33,969727	-25,205614	-25,247688	-0,076512992	-0,0073804557	-0,0073193824	-0,0073483754
41838	34,469727	-27,155613	-27,219328	-0,082243979	-0,0080507845	-0,0079443986	-0,007971175
41838	34,969727	-29,105614	-29,168116	-0,08687973	-0,0087974519	-0,0086768148	-0,0087025799
41838	35,469727	-31,055614	-31,107903	-0,091744959	-0,0094508827	-0,0093988059	-0,009302903
41838	35,969727	-33,005615	-33,062527	-0,096522272	-0,010218233	-0,010056186	-0,0099950247
41838	36,469727	-34,955612	-34,980824	-0,10092407	-0,010778636	-0,01080831	-0,010646833
41838	36,969727	-36,905613	-36,94014	-0,10522455	-0,011594772	-0,011376447	-0,011308618
41838	37,469727	-38,855614	-38,913067	-0,11035949	-0,012336642	-0,012154262	-0,012003791
41838	37,969727	-40,805614	-40,878471	-0,11492074	-0,012979165	-0,012820872	-0,012694053
41838	38,469727	-42,755615	-42,82198	-0,11930466	-0,013646379	-0,013510034	-0,013363497
41838	38,969727	-44,705616	-44,732758	-0,12352318	-0,014326155	-0,014268783	-0,013961267
41838	39,469727	-46,655613	-46,718948	-0,12860447	-0,015037984	-0,014873969	-0,014639916
41838	39,969727	-48,605614	-48,656563	-0,13250709	-0,015744358	-0,015580206	-0,015309473
41838	40,469727	-50,555614	-50,620987	-0,13667345	-0,016494408	-0,016291706	-0,015932286
41838	40,969727	-52,505615	-52,572399	-0,14053881	-0,017162845	-0,01697048	-0,016638437
41838	41,469727	-54,455616	-54,483952	-0,14511198	-0,017780364	-0,01769848	-0,01728886
41838	41,969727	-56,405613	-56,452835	-0,14915913	-0,018521592	-0,018329468	-0,017907042
41838	42,469727	-58,355614	-58,385387	-0,15355498	-0,019159958	-0,019088678	-0,018561462
41838	42,969727	-60,305614	-60,38942	-0,15718043	-0,019933641	-0,019755287	-0,019246031
41838	43,469727	-62,255615	-62,304478	-0,16127527	-0,020612761	-0,020438973	-0,01988012
41838	43,969727	-64,205612	-64,267616	-0,16540736	-0,021275461	-0,021172082	-0,020490509
41838	44,469727	-66,155617	-66,235603	-0,16875565	-0,022040606	-0,021806149	-0,021253929
41838	44,969727	-68,105614	-68,226288	-0,1731202	-0,022718832	-0,022444706	-0,021902237
41838	45,469727	-70,055618	-70,116631	-0,17697662	-0,023292661	-0,023177098	-0,02249643
41838	45,969727	-72,005615	-72,076851	-0,18117577	-0,02407752	-0,023889601	-0,023255289
41838	46,469727	-73,955612	-73,992332	-0,18440336	-0,024693862	-0,02458778	-0,023838442
41838	46,969727	-75,905617	-75,949295	-0,18880814	-0,025379762	-0,025248421	-0,024481826
41838	47,469727	-77,855614	-77,917549	-0,19257665	-0,026126057	-0,025916977	-0,025158796
41838	47,969727	-79,805618	-79,84787	-0,19572973	-0,02674523	-0,026629917	-0,02576044
41838	48,469727	-81,755615	-81,860809	-0,20018667	-0,027408451	-0,027329793	-0,026534505
41838	48,969727	-83,705612	-83,784241	-0,20373911	-0,028095871	-0,027937578	-0,027165398
41838	49,469727	-85,655617	-85,751686	-0,20786673	-0,028808847	-0,028583692	-0,02783639
41838	49,969727	-87,605614	-87,677185	-0,21085739	-0,029413298	-0,029444583	-0,028516892
41838	50,469727	-89,555618	-89,570511	-0,21463633	-0,030116841	-0,02996153	-0,029096413
41838	50,969727	-91,505615	-91,595581	-0,21807104	-0,030866086	-0,030600488	-0,029775979
41838	51,469727	-93,455612	-93,48645	-0,22123605	-0,031522214	-0,031288672	-0,030445719
41838	51,969727	-95,405617	-95,452293	-0,22529364	-0,032171756	-0,032049596	-0,031094557
41838	52,469727	-97,355614	-97,434364	-0,22869557	-0,032943159	-0,032799669	-0,03186053
41838	52,969727	-99,305618	-99,331398	-0,23189932	-0,033564419	-0,033270437	-0,032420103
41838	53,469727	-101,25562	-101,33273	-0,23620427	-0,034229919	-0,034001961	-0,033142701
41838	53,969727	-103,20561	-103,26397	-0,23940206	-0,034921348	-0,03471408	-0,033778898
41838	54,469727	-105,15562	-105,23825	-0,24308115	-0,03557536	-0,035333507	-0,034373567
41838	54,969727	-107,10561	-107,19784	-0,2462551	-0,036299407	-0,03601791	-0,035117384
41838	55,469727	-109,05562	-109,06871	-0,24989992	-0,036922231	-0,036646709	-0,035764217
41838	55,969727	-111,00562	-111,03257	-0,25341213	-0,037598327	-0,03723323	-0,036430579
41838	56,469727	-112,95561	-112,96635	-0,25617778	-0,038230643	-0,038058143	-0,037084155
41838	56,969727	-114,90562	-114,90719	-0,25973469	-0,039008826	-0,038682114	-0,037690818
41838	57,469727	-116,85561	-116,91085	-0,26290864	-0,039637908	-0,039355248	-0,038451698
41838	57,969727	-118,80562	-118,86318	-0,26680976	-0,040400937	-0,039916832	-0,039124597
41838	58,469727	-120,75562	-120,75114	-0,27003735	-0,041026562	-0,040693052	-0,039727304
41838	58,969727	-122,70562	-122,77689	-0,27349591	-0,041744202	-0,041347764	-0,040496495
41838	59,469727	-124,65562	-124,63978	-0,27635843	-0,042389274	-0,041933525	-0,041084521
41838	59,969727	-126,60561	-126,62332	-0,28019696	-0,043069184	-0,042634748	-0,041715633
41838	60,469727	-128,55562	-128,64218	-0,28336048	-0,043777436	-0,043284062	-0,042500958
41838	60,969727	-130,50562	-130,5499	-0,28647631	-0,044432074	-0,044010859	-0,043132409
41838	61,469727	-132,45561	-132,48814	-0,29006004	-0,045089483	-0,044570997	-0,043704242
41838	61,969727	-134,40561	-134,45973	-0,29271841	-0,045788929	-0,045190703	-0,044413969
41838	62,469727	-136,35562	-136,37178	-0,29645711	-0,046515986	-0,04589336	-0,045138802
41838	62,969727	-138,30562	-138,35573	-0,29934496	-0,047177702	-0,04649096	-0,045740899
