MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	80,255859	s	08.04.2014 09:59:15
Datum : 	8.4.2014
Prüfer : 	Machura, Be
Probenbezeichnung :  	SL51 28d 11.03.14 Probe3
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	3906
Durchmesser :	98,6
Länge :	298,2
Bediener Information Ende

Datenerfassung						Zeit:	273,5293	s	08.04.2014 10:02:28
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
d	s	kN	kN	mm	mm	mm	mm
41737	80,764648	-0,12432792	-0,041782856	4,9974108	-0,014676526	-0,24161839	0,0068993606
41737	81,264648	-0,22109979	-0,038227066	4,9838443	-0,014601236	-0,24159388	0,0069171186
41737	81,764648	-0,31787166	-0,021873042	4,9567909	-0,014609013	-0,24155395	0,0068780384
41737	82,264648	-0,41464356	-0,0072531402	4,9152193	-0,01457499	-0,24159709	0,0069866106
41737	82,764648	-0,51141542	0,0016074628	4,8568783	-0,014561584	-0,24154606	0,0068932385
41737	83,264648	-0,60818732	-0,0069383532	4,7771788	-0,014562437	-0,24151142	0,0068576448
41737	83,764648	-0,70495915	-0,014482066	4,6747355	-0,014554089	-0,24151759	0,0069018407
41737	84,264648	-0,80173105	-0,023405999	4,5461559	-0,014641879	-0,24156453	0,0068871034
41737	84,764648	-0,89850295	-0,038303435	4,3884482	-0,014557894	-0,24163702	0,0069221645
41737	85,264648	-0,99527478	-0,037133694	4,2059865	-0,014612379	-0,24149787	0,0069233351
41737	85,764648	-1	-0,042261556	4,000741	-0,014659211	-0,24153516	0,0068521579
41737	86,264648	-1	-0,024300069	3,7707098	-0,014570398	-0,24147789	0,006840365
41737	86,764648	-1	-0,01526624	3,5204833	-0,014588656	-0,24154447	0,006904305
41737	87,264648	-1	-0,0026617199	3,2561886	-0,014561148	-0,24152629	0,0068812226
41737	87,764648	-1	-0,0038575381	2,9695156	-0,014550937	-0,24153656	0,0069489726
41737	88,264648	-1	-0,016961247	2,6585498	-0,014574835	-0,24151501	0,0069507211
41737	88,764648	-1	-0,0076629221	2,3240881	-0,01461325	-0,24143276	0,0068507856
41737	89,264648	-1	-0,025736168	1,964467	-0,014602603	-0,24152108	0,0067697214
41737	89,764648	-1	-0,015951693	1,5823746	-0,014634797	-0,24150349	0,006925826
41737	90,264648	-1	-0,026160851	1,1797212	-0,014580298	-0,24153204	0,0068104556
41737	90,764648	-2,7824218	-0,032577664	-0,45194533	2,3877248e-05	-1,8328428e-05	-1,9442125e-05
41737	91,264648	-4,7324219	-0,054903328	-1,0738382	6,0660765e-05	1,8581748e-05	2,8801156e-05
41737	91,764648	-6,6824222	-11,039357	-1,3021889	-0,0060249604	-0,010549009	-0,0038137261
41737	92,264648	-8,6324224	-12,38567	-1,3110938	-0,0070760362	-0,011545464	-0,0045679701
41737	92,764648	-10,582422	-13,692365	-1,3180366	-0,007851731	-0,012700766	-0,0055143363
41737	93,264648	-12,532422	-14,966609	-1,3248252	-0,0087169893	-0,013607383	-0,0065068328
41737	93,764648	-14,482422	-16,414412	-1,3323026	-0,0096745864	-0,01474756	-0,0074733193
41737	94,264648	-16,432423	-17,975044	-1,3391035	-0,010738257	-0,016045749	-0,0085529918
41737	94,764648	-18,382421	-19,578579	-1,3470528	-0,011729745	-0,017289758	-0,0096760783
41737	95,264648	-20,332422	-21,214903	-1,3544658	-0,012831606	-0,018520847	-0,010823939
41737	95,764648	-22,282423	-23,027296	-1,3625602	-0,014044215	-0,019905567	-0,012065661
41737	96,264648	-24,232422	-24,800442	-1,3702793	-0,015246357	-0,021331608	-0,013411598
41737	96,764648	-26,182423	-26,633463	-1,3783005	-0,016417522	-0,022671536	-0,014809406
41737	97,264648	-28,132423	-28,511011	-1,3866378	-0,017792644	-0,024013713	-0,016155809
41737	97,764648	-30,082422	-30,405487	-1,394554	-0,019079426	-0,025487274	-0,017543012
41737	98,264648	-32,032421	-32,320541	-1,4024159	-0,020455217	-0,026939929	-0,019106667
41737	98,764648	-33,982422	-34,222343	-1,4103091	-0,021749167	-0,028347611	-0,020413676
41737	99,264648	-35,932423	-36,129925	-1,4180934	-0,023108654	-0,029773906	-0,021852996
41737	99,764648	-37,882423	-38,037815	-1,4260596	-0,024392452	-0,031220436	-0,023521191
41737	100,26465	-39,832424	-39,931156	-1,43381	-0,025653467	-0,032543793	-0,025014672
41737	100,76465	-41,782421	-41,873199	-1,4413433	-0,026984369	-0,034009159	-0,026475687
41737	101,26465	-43,732422	-43,812733	-1,4491943	-0,028361263	-0,035409659	-0,028025562
41737	101,76465	-45,682423	-45,805901	-1,4573852	-0,029823823	-0,036882296	-0,029646771
41737	102,26465	-47,632423	-47,708996	-1,4648749	-0,031244934	-0,038297623	-0,031110248
41737	102,76465	-49,582424	-49,63118	-1,472296	-0,03261954	-0,039627329	-0,032719616
41737	103,26465	-51,532425	-51,610981	-1,4804548	-0,034102432	-0,041095704	-0,034347475
41737	103,76465	-53,482422	-53,589195	-1,4880034	-0,035521872	-0,042571247	-0,035843067
41737	104,26465	-55,432423	-55,499073	-1,4953593	-0,036912031	-0,043914303	-0,037506398
41737	104,76465	-57,382423	-57,496716	-1,5031638	-0,038447402	-0,045415834	-0,039002117
41737	105,26465	-59,332424	-59,444546	-1,510488	-0,039804004	-0,046807557	-0,040649541
41737	105,76465	-61,282425	-61,392719	-1,5173717	-0,0412746	-0,048243403	-0,042271879
41737	106,26465	-63,232422	-63,269531	-1,5251955	-0,042671315	-0,049590886	-0,043695062
41737	106,76465	-65,182426	-65,180305	-1,5322192	-0,043988518	-0,051053494	-0,045320716
41737	107,26465	-67,132423	-67,196907	-1,5397811	-0,045548573	-0,052486792	-0,046987183
41737	107,76465	-69,08242	-69,141266	-1,5471352	-0,047076669	-0,054013759	-0,04862133
41737	108,26465	-71,032425	-71,138786	-1,5549345	-0,048509799	-0,055449635	-0,050138105
41737	108,76465	-72,982422	-73,047447	-1,5620229	-0,050044321	-0,056883872	-0,051840883
41737	109,26465	-74,932426	-75,035858	-1,5694486	-0,051524892	-0,058382303	-0,053407509
41737	109,76465	-76,882423	-76,95285	-1,5760323	-0,052997306	-0,059774294	-0,054959722
41737	110,26465	-77,984863	-78,290703	-1,5815156	-0,054049231	-0,060812414	-0,056146096
41737	110,76465	-76,034866	-76,177979	-1,5757965	-0,052876011	-0,059657618	-0,054823395
41737	111,26465	-74,084862	-74,216423	-1,5705651	-0,051583774	-0,058421418	-0,053571474
41737	111,76465	-72,134865	-72,249352	-1,5647368	-0,05035558	-0,057256803	-0,052343298
41737	112,26465	-70,184868	-70,259453	-1,5584754	-0,049075194	-0,055998474	-0,05096852
41737	112,76465	-68,234863	-68,185249	-1,5518548	-0,047653481	-0,054624006	-0,049470223
41737	113,26465	-66,284866	-66,224937	-1,5461417	-0,046354279	-0,053441942	-0,048131529
41737	113,76465	-64,334862	-64,276909	-1,5399194	-0,044940419	-0,052203521	-0,046794735
41737	114,26465	-62,384865	-62,304672	-1,5336285	-0,043731213	-0,050986499	-0,04542999
41737	114,76465	-60,434864	-60,422981	-1,5279355	-0,042513445	-0,049763739	-0,043997549
41737	115,26465	-58,484863	-58,47065	-1,5211644	-0,041162252	-0,048536524	-0,042668588
41737	115,76465	-56,534863	-56,500969	-1,5147613	-0,039856695	-0,04720436	-0,041209403
41737	116,26465	-54,584866	-54,540325	-1,5080961	-0,038531005	-0,04594712	-0,039815746
41737	116,76465	-52,634865	-52,611759	-1,5015239	-0,037225842	-0,044746876	-0,038330421
41737	117,26465	-50,684864	-50,636139	-1,4945974	-0,03588881	-0,043447986	-0,036885727
41737	117,76465	-48,734863	-48,671513	-1,4877239	-0,034566663	-0,042109519	-0,035433646
41737	118,26465	-46,784863	-46,756565	-1,4807267	-0,03323938	-0,040885866	-0,03410745
41737	118,76465	-44,834866	-44,819035	-1,4739996	-0,031915423	-0,039516628	-0,032693628
41737	119,26465	-42,884865	-42,879742	-1,4665964	-0,030574458	-0,038319767	-0,031054746
41737	119,76465	-40,934864	-40,903961	-1,4595495	-0,02918027	-0,037042931	-0,029544067
41737	120,26465	-38,984863	-38,92979	-1,4519429	-0,027762013	-0,0356078	-0,028123448
41737	120,76465	-37,034863	-36,988926	-1,4446226	-0,026433855	-0,034343824	-0,026489807
41737	121,26465	-35,084866	-35,057522	-1,4371341	-0,025058925	-0,032998651	-0,024998017
41737	121,76465	-33,134865	-33,099831	-1,4292719	-0,023758736	-0,031636864	-0,023485688
41737	122,26465	-31,184864	-31,168741	-1,4215714	-0,022326447	-0,030222654	-0,021920875
41737	122,76465	-29,234863	-29,217901	-1,4134417	-0,020901825	-0,028896958	-0,020512391
41737	123,26465	-27,284864	-27,250736	-1,4050874	-0,019528408	-0,02741237	-0,018882234
41737	123,76465	-25,334864	-25,304989	-1,3968623	-0,018154494	-0,025993809	-0,017324727
