MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	18,990234	s	03.09.2014 08:55:26
Datum : 	03.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	Werner 7.0 M III E-Modul 28d v. 06.08.14 Probe 6
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5361,6
Durchmesser :	98,6
Länge :	300,4
Bediener Information Ende

Datenerfassung						Zeit:	531,00586	s	03.09.2014 09:03:58
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41885	19,5	-1	-1,0158364	0,01129508	-0,20604064	-0,11397417	-0,052929457
41885	20	-1	-1,0091887	0,011095405	-0,20603421	-0,11397046	-0,052948233
41885	20,5	-1	-0,95426476	0,010919571	-0,20598291	-0,11403999	-0,052946672
41885	21	-1	-0,97833204	0,011497736	-0,20604956	-0,11401915	-0,05300029
41885	21,5	-1	-1,0494571	0,010487437	-0,20599531	-0,11408579	-0,053013012
41885	22	-1	-1,0295789	0,011399388	-0,20600122	-0,11409996	-0,052974213
41885	22,5	-1	-0,95653534	0,010806322	-0,20603061	-0,11394191	-0,052970424
41885	23	-1	-0,94807708	0,011017919	-0,20601445	-0,11396112	-0,052893594
41885	23,5	-1	-0,99342877	0,011074543	-0,20601639	-0,11407369	-0,052942827
41885	24	-1	-1,03168	0,010955334	-0,20597005	-0,11400562	-0,052947331
41885	24,5	-1	-0,97959113	0,011312962	-0,20599517	-0,11405176	-0,052968975
41885	25	-1	-0,95649433	0,010967255	-0,20598462	-0,11406086	-0,05295464
41885	25,5	-1	-1,0170434	0,011432171	-0,20601767	-0,11410639	-0,052980974
41885	26	-1	-1,0284967	0,011506677	-0,20598204	-0,11410084	-0,052928574
41885	26,5	-1	-0,97113478	0,010934472	-0,20605235	-0,1140257	-0,052889302
41885	27	-1	-0,95281374	0,011140108	-0,20603335	-0,11394887	-0,052907594
41885	27,5	-1	-0,96688604	0,010824203	-0,20599766	-0,11404957	-0,052950457
