MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	12,391602	s	03.09.2014 09:21:10
Datum : 	03.09.2014
Prüfer : 	Kh
Probenbezeichnung :  	Werner 7.0 M IV E-Modul 28d v. 06.08.14 Probe 5
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5351,9
Durchmesser :	98,7
Länge :	300,2
Bediener Information Ende

Datenerfassung						Zeit:	351,94727	s	03.09.2014 09:26:49
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41885	12,901367	-1	-1,0178052	0,10226667	0,36919472	0,15022717	0,031046651
41885	13,401367	-1	-1,0255631	0,10307431	0,36927307	0,15020482	0,031088114
41885	13,901367	-1	-1,0172911	0,10124743	0,36920691	0,15030362	0,031054385
41885	14,401367	-1	-0,99940783	0,10256767	0,36926818	0,15029015	0,031025916
41885	14,901367	-1	-0,9867661	0,10241866	0,36922193	0,15025757	0,031071253
41885	15,401367	-1	-0,99224782	0,10212362	0,36921984	0,15023039	0,03108865
41885	15,901367	-1	-1,0363907	0,10154545	0,36914712	0,15023123	0,031074338
41885	16,401367	-1	-1,0100324	0,10213554	0,36917001	0,15023714	0,031045802
41885	16,901367	-1	-0,98060441	0,10214746	0,3691839	0,15017973	0,031048849
41885	17,401367	-1	-0,97313523	0,10170937	0,36923218	0,15029246	0,03108608
41885	17,901367	-1	-1,0285153	0,10234416	0,36921218	0,15019828	0,031084947
41885	18,401367	-1	-1,0323189	0,10140836	0,36914402	0,15018648	0,031003341
41885	18,901367	-1	-1,0152608	0,10264516	0,3691569	0,15021686	0,031014256
41885	19,401367	-1	-0,95144284	0,10153353	0,36922807	0,15022971	0,031055517
41885	19,901367	-1	-0,97592735	0,10192692	0,36923283	0,15021609	0,031056993
41885	20,401367	-1	-1,0371674	0,10180473	0,36923558	0,15023419	0,031044073
41885	20,901367	-1	-1,033064	0,10284185	0,36913198	0,15019371	0,031020865
41885	21,401367	-1	-0,98988044	0,10255575	0,36927962	0,15021589	0,031039603
41885	21,901367	-1	-0,95105916	0,1021564	0,36919498	0,15028808	0,031110264
41885	22,401367	-1	-0,9913277	0,10186136	0,36922193	0,15025151	0,031103328
41885	22,901367	-2,7748048	-2,7560108	-0,0086694956	-0,00029437244	-0,00059357542	-0,0006602034
41885	23,401367	-4,7248049	-4,4419503	-0,015839934	-0,00080344081	-0,0011013047	-0,0013498291
