MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	20,076172	s	28.01.2015 11:08:33
Datum : 	28.02.2014
Prüfer : 	Kh
Probenbezeichnung :  	Wolf 8.2 Probe 4
Bemerkungen	Kraftgeregelt 3,9 kN/s
Masse :	5352,4
Durchmesser :	98,6
Länge :	300,3
Bediener Information Ende

Datenerfassung						Zeit:	327,85742	s	28.01.2015 11:13:41
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
42032	20,585938	-1	-1,0023396	-0,99312663	-0,020967059	-0,014590735	-0,045519251
42032	21,085938	-1	-0,9939447	-0,99191666	-0,020930428	-0,014496737	-0,045534644
42032	21,585938	-1	-0,99444574	-0,99257827	-0,020975124	-0,014565047	-0,04552836
42032	22,085938	-1	-1,0101944	-0,9932667	-0,020938531	-0,014665943	-0,045491036
42032	22,585938	-1	-1,0228734	-0,99278092	-0,020982496	-0,01459669	-0,045543041
42032	23,085938	-1	-0,96621549	-0,99265873	-0,020987052	-0,014627149	-0,045486681
42032	23,585938	-1	-0,96712637	-0,99296272	-0,020918045	-0,014527351	-0,045439515
42032	24,085938	-1	-1,0374542	-0,99248886	-0,021004759	-0,014612563	-0,045556523
42032	24,585938	-1	-0,98595208	-0,99320412	-0,021004543	-0,014632936	-0,045506474
42032	25,085938	-1	-0,93402338	-0,99258423	-0,020969819	-0,014495946	-0,045470044
42032	25,585938	-1	-0,99468791	-0,99232495	-0,02088929	-0,014588765	-0,045587186
42032	26,085938	-1	-1,0210909	-0,99253953	-0,021034624	-0,014513094	-0,045489267
42032	26,585938	-1	-0,98396653	-0,99270344	-0,020899944	-0,014619561	-0,045484301
42032	27,085938	-1	-0,99198705	-0,99322498	-0,020968739	-0,014576634	-0,045517255
42032	27,585938	-1	-0,96816945	-0,99247396	-0,021026716	-0,0145167	-0,045536444
42032	28,085938	-1	-1,0097865	-0,99311173	-0,020969208	-0,014599614	-0,04548651
42032	28,585938	-1	-1,003474	-0,99193156	-0,02092047	-0,014551801	-0,045526385
42032	29,085938	-1	-0,9758305	-0,99267066	-0,020981885	-0,014689682	-0,045542613
42032	29,585938	-1	-0,95902944	-0,99293888	-0,020955421	-0,014602433	-0,045479737
42032	30,085938	-1	-1,0226015	-0,99176764	-0,020958658	-0,014519102	-0,045535095
42032	30,585938	-1	-1,0241587	-0,99224448	-0,021018539	-0,014695134	-0,045567535
42032	31,085938	-1	-0,96227974	-0,99233091	-0,020969983	-0,014568078	-0,045478143
42032	31,585938	-1	-1,00342	-0,9925127	-0,021002948	-0,014622052	-0,045588646
42032	32,085938	-1	-1,0168608	-0,99252462	-0,020992819	-0,014664054	-0,045506217
42032	32,585938	-1	-1,0129604	-0,99246502	-0,020978525	-0,014612583	-0,045519114
42032	33,085938	-1	-0,98854119	-0,9926796	-0,021014065	-0,014630555	-0,045516159
42032	33,585938	-1	-0,975227	-0,99259615	-0,020982478	-0,014580769	-0,045475177
42032	34,085938	-1	-1,0242555	-0,99337995	-0,02097749	-0,014605938	-0,045494892
42032	34,585938	-1	-1,015231	-0,99236667	-0,020984776	-0,014585486	-0,045577884
42032	35,085938	-1	-0,97372568	-0,99181831	-0,020890065	-0,014503577	-0,045459636
42032	35,585938	-1	-1,0095649	-0,99237859	-0,021005109	-0,014647895	-0,045538422
42032	36,085938	-1	-1,0030996	-0,99259913	-0,020956151	-0,014581933	-0,045486927
42032	36,585938	-1	-1,0115634	-0,99218786	-0,020909227	-0,014580715	-0,045527723
42032	37,085938	-1	-1,0048915	-0,99215508	-0,020941306	-0,014659005	-0,045494407
42032	37,585938	-1	-0,97182024	-0,99220872	-0,020959266	-0,014477504	-0,045509759
42032	38,085938	-1	-1,0234882	-0,99305212	-0,020909548	-0,014588618	-0,045473248
42032	38,585938	-1	-1,013387	-0,99290311	-0,021004103	-0,01456348	-0,045568887
42032	39,085938	-1	-0,97364002	-0,99228919	-0,020936761	-0,014537782	-0,04550571
42032	39,585938	-1	-0,99902225	-0,99254847	-0,020997971	-0,014639047	-0,045490533
42032	40,085938	-2,2416017	-2,1060035	-0,0068366528	-0,00037375838	-0,00034940691	-0,00024897442
42032	40,585938	-4,1916018	-3,8183107	-0,049942732	-0,00073511153	-0,0010490099	-0,00082380301
42032	41,085938	-6,1416016	-5,716866	-0,069391727	-0,0015307106	-0,0015221366	-0,0015556358
42032	41,585938	-8,0916014	-8,1952085	-0,084838271	-0,002413962	-0,002334513	-0,002269445
42032	42,085938	-10,041602	-10,073074	-0,094628334	-0,003131561	-0,0029260025	-0,0028256534
42032	42,585938	-11,991602	-12,088069	-0,10354519	-0,0039110743	-0,0037778008	-0,003598748
42032	43,085938	-13,941602	-14,087544	-0,11203289	-0,0045382939	-0,0044539762	-0,0041898969
42032	43,585938	-15,891602	-16,158581	-0,11926591	-0,0053254403	-0,0052781631	-0,0048876395
42032	44,085938	-17,841602	-18,092169	-0,12772083	-0,0060510077	-0,0059179077	-0,0055628987
42032	44,585938	-19,791601	-19,976223	-0,13474524	-0,006702181	-0,0065151621	-0,0061448961
42032	45,085938	-21,741602	-21,889883	-0,14027655	-0,0073677897	-0,0071900277	-0,0069287396
42032	45,585938	-23,691603	-23,849548	-0,1470983	-0,008052066	-0,0079916669	-0,0076255789
42032	46,085938	-25,641602	-25,834208	-0,1529634	-0,0087363161	-0,0086450912	-0,0083129294
42032	46,585938	-27,591602	-27,732529	-0,15927553	-0,0094322897	-0,0094108833	-0,0091283778
42032	47,085938	-29,541603	-29,631794	-0,16493797	-0,010051668	-0,0099534625	-0,0097951209
42032	47,585938	-31,491602	-31,607828	-0,17022192	-0,01070619	-0,010682494	-0,010546025
42032	48,085938	-33,441601	-33,617901	-0,17684698	-0,011451989	-0,011461261	-0,011407169
42032	48,585938	-35,391602	-35,448868	-0,18133819	-0,012130015	-0,012100142	-0,012048976
42032	49,085938	-37,341602	-37,390965	-0,18794537	-0,012717552	-0,012793767	-0,012779249
42032	49,585938	-39,291603	-39,438889	-0,1925081	-0,013526175	-0,013538706	-0,013657982
42032	50,085938	-41,241604	-41,353107	-0,19881427	-0,014147528	-0,014205508	-0,014435024
42032	50,585938	-43,191601	-43,211571	-0,2035588	-0,014809482	-0,014944291	-0,01511407
42032	51,085938	-45,141602	-45,245159	-0,20914376	-0,015522625	-0,015577429	-0,016029989
42032	51,585938	-47,091602	-47,204613	-0,21447539	-0,016299263	-0,016339932	-0,016737862
42032	52,085938	-49,041603	-49,102493	-0,21889508	-0,016992968	-0,017005527	-0,017540384
42032	52,585938	-50,991604	-51,023064	-0,22460222	-0,017705742	-0,017769393	-0,018309884
42032	53,085938	-52,941605	-53,05122	-0,22997558	-0,018464599	-0,018574532	-0,019172506
42032	53,585938	-54,891602	-55,000446	-0,2348572	-0,019209616	-0,019139167	-0,01992866
42032	54,085938	-56,841602	-56,889614	-0,24036467	-0,01992413	-0,019883677	-0,020752568
42032	54,585938	-58,791603	-58,837448	-0,24508238	-0,020692624	-0,02054085	-0,021578126
42032	55,085938	-60,741604	-60,804562	-0,25052428	-0,02146459	-0,021341184	-0,022358358
42032	55,585938	-62,691605	-62,797672	-0,25565624	-0,022195481	-0,022105824	-0,02312538
42032	56,085938	-64,641602	-64,741692	-0,26023984	-0,022821195	-0,022667196	-0,024025328
42032	56,585938	-66,591606	-66,636192	-0,26506484	-0,02364821	-0,023506936	-0,024715092
42032	57,085938	-68,541603	-68,66114	-0,27059615	-0,024368763	-0,024233853	-0,0255497
42032	57,585938	-70,4916	-70,60881	-0,27472973	-0,025200259	-0,024940364	-0,026450336
42032	58,085938	-72,441605	-72,462654	-0,28022528	-0,025956944	-0,025673626	-0,02720999
42032	58,585938	-74,391602	-74,467705	-0,28479993	-0,026689555	-0,026352491	-0,028035492
42032	59,085938	-76,341606	-76,476044	-0,29028058	-0,02749924	-0,027216071	-0,02897539
42032	59,585938	-78,291603	-78,350151	-0,29564202	-0,028228331	-0,027837075	-0,029703895
42032	60,085938	-80,2416	-80,284142	-0,29943585	-0,029058203	-0,028594481	-0,030570306
42032	60,585938	-82,191605	-82,237923	-0,30450225	-0,029785238	-0,029345633	-0,031396478
42032	61,085938	-84,141602	-84,249451	-0,3100574	-0,030609336	-0,030155547	-0,032220017
42032	61,585938	-86,091606	-86,189728	-0,31465888	-0,031415205	-0,03095104	-0,033118833
42032	62,085938	-88,041603	-88,050667	-0,31966269	-0,03215583	-0,031600643	-0,03388723
42032	62,585938	-89,9916	-90,029556	-0,32426119	-0,032994341	-0,032403085	-0,03474899
42032	63,085938	-91,941605	-92,059631	-0,32887459	-0,033724908	-0,033228882	-0,035636485
42032	63,585938	-93,891602	-93,934959	-0,33374131	-0,034514938	-0,033908516	-0,036442313
42032	64,085938	-95,841606	-95,826958	-0,33845305	-0,035360929	-0,034728196	-0,037295006
42032	64,585938	-97,791603	-97,91584	-0,34402609	-0,036243539	-0,035471879	-0,038188588
42032	65,085938	-99,741608	-99,835464	-0,34882426	-0,037051994	-0,036244784	-0,03905708
42032	65,585938	-101,6916	-101,69358	-0,35310686	-0,037789833	-0,037142918	-0,039847571
42032	66,085938	-103,6416	-103,65482	-0,35765767	-0,038593169	-0,037776906	-0,040760074
42032	66,585938	-105,59161	-105,70149	-0,36284626	-0,039426934	-0,038560249	-0,041714229
42032	67,085938	-107,5416	-107,62461	-0,36797822	-0,040208902	-0,039331466	-0,042507462
42032	67,585938	-109,49161	-109,50122	-0,37201941	-0,041109797	-0,04015227	-0,043327682
42032	68,085938	-111,4416	-111,51354	-0,37769377	-0,041897763	-0,040976718	-0,044321921
42032	68,585938	-113,3916	-113,52198	-0,38223267	-0,042789545	-0,04178527	-0,045115571
42032	69,085938	-115,34161	-115,4092	-0,3870815	-0,043594506	-0,042537011	-0,045922529
42032	69,585938	-117,2916	-117,32108	-0,39095879	-0,044431124	-0,043256506	-0,046806067
42032	70,085938	-119,24161	-119,33303	-0,39545894	-0,045269046	-0,044218507	-0,047814623
42032	70,585938	-117,69247	-117,89621	-0,39411783	-0,044964444	-0,043885268	-0,047480386
42032	71,085938	-115,74247	-115,769	-0,38995743	-0,044441607	-0,043268301	-0,046787128
42032	71,585938	-113,79247	-113,79567	-0,38651228	-0,043918412	-0,04264256	-0,046236861
42032	72,085938	-111,84247	-111,87405	-0,38340688	-0,04325987	-0,042072672	-0,045650709
42032	72,585938	-109,89247	-109,93172	-0,37972033	-0,042796317	-0,041544795	-0,045006063
42032	73,085938	-107,94247	-107,87484	-0,37559569	-0,042134847	-0,040929485	-0,044275425
42032	73,585938	-105,99247	-105,96354	-0,3716737	-0,041562755	-0,040429711	-0,043767352
42032	74,085938	-104,04247	-104,05135	-0,36844015	-0,04101764	-0,039691698	-0,043079507
42032	74,585938	-102,09247	-102,0495	-0,36418736	-0,040359136	-0,039089654	-0,042424653
42032	75,085938	-100,14247	-100,02664	-0,3605485	-0,039711054	-0,038421087	-0,041703787
42032	75,585938	-98,192474	-98,169884	-0,35594702	-0,03915957	-0,037872419	-0,041123364
42032	76,085938	-96,24247	-96,240936	-0,35223365	-0,038535405	-0,037360661	-0,040454663
42032	76,585938	-94,292473	-94,247101	-0,34858286	-0,037935767	-0,036695551	-0,03970788
42032	77,085938	-92,342468	-92,219208	-0,34413338	-0,037213344	-0,036059394	-0,038983863
42032	77,585938	-90,392471	-90,35965	-0,34100711	-0,036549915	-0,035444804	-0,038418632
42032	78,085938	-88,442474	-88,458443	-0,33663809	-0,036041822	-0,034732517	-0,037679505
42032	78,585938	-86,49247	-86,461555	-0,33234358	-0,035256062	-0,034224063	-0,036952861
42032	79,085938	-84,542473	-84,451942	-0,32812357	-0,034673844	-0,033503097	-0,036207832
42032	79,585938	-82,592468	-82,595421	-0,32450557	-0,034017827	-0,032873839	-0,0355248
