# Time;Temperature [Temperature];Heat flow [Signal  Ch 4];Heat [Signal  Ch 4];Normalized heat flow [Signal  Ch 4];Normalized heat [Signal  Ch 4]
1.436673427000000025e+01;2.000000000000000000e+01;nan;nan;nan;nan
1.043980671999999998e+02;2.000000000000000000e+01;nan;nan;nan;nan
1.063285134000000056e+02;2.000000000000000000e+01;nan;nan;nan;nan
1.267040092999999956e+02;2.000000000000000000e+01;nan;nan;nan;nan
1.424144464000000028e+02;2.000000000000000000e+01;-2.610000000000000210e-07;nan;-6.540000000000000329e-08;nan
1.432826223000000141e+02;2.000000000000000000e+01;-2.610000000000000210e-07;nan;-6.529999999999999577e-08;nan
1.503667345000000068e+02;2.000000000000000000e+01;-2.580000000000000074e-07;nan;-6.459999999999999612e-08;nan
1.534917342999999903e+02;2.000174549000000113e+01;-2.569999999999999852e-07;nan;-6.430000000000000005e-08;nan
1.563667342999999903e+02;2.000000000000000000e+01;-2.560000000000000159e-07;nan;-6.400000000000000399e-08;nan
1.572582754999999963e+02;2.000000000000000000e+01;-2.560000000000000159e-07;nan;-6.389999999999999647e-08;nan
2.394913578000000030e+02;2.000000000000000000e+01;-2.229999999999999984e-07;nan;-5.589999999999999763e-08;nan
3.074524812999999881e+02;2.000000000000000000e+01;-1.830000000000000108e-07;nan;-4.569999999999999894e-08;nan
3.626840091000000257e+02;2.000000000000000000e+01;-1.020000000000000001e-07;nan;-2.550000000000000004e-08;nan
4.179155369000000064e+02;2.000000000000000000e+01;-2.110000000000000034e-08;nan;-5.279999999999999965e-09;nan
4.637349687000000245e+02;2.000000000000000000e+01;-6.479999999999999791e-08;nan;-1.619999999999999948e-08;nan
5.095544004000000200e+02;2.000000000000000000e+01;-1.290000000000000037e-07;nan;-3.239999999999999896e-08;nan
5.701127238000000261e+02;2.000000000000000000e+01;-1.720000000000000049e-07;nan;-4.300000000000000123e-08;nan
6.191806487999999717e+02;2.000000000000000000e+01;-1.480000000000000018e-07;nan;-3.700000000000000044e-08;nan
6.682485738000000310e+02;2.000000000000000000e+01;-1.210000000000000115e-07;nan;-3.019999999999999911e-08;nan
7.073667345000000068e+02;2.000000000000000000e+01;-9.690000000000000080e-08;nan;-2.420000000000000163e-08;nan
7.097653123999999707e+02;2.000274076999999906e+01;-9.550000000000000150e-08;nan;-2.389999999999999894e-08;nan
7.115465622000000394e+02;2.000350442999999956e+01;-9.439999999999999827e-08;nan;-2.359999999999999957e-08;nan
7.153667342999999619e+02;2.000000000000000000e+01;-9.200000000000000325e-08;nan;-2.300000000000000081e-08;nan
7.738353822000000264e+02;2.000000001000000083e+01;-5.620000000000000032e-08;nan;-1.410000000000000053e-08;nan
8.323040302000000565e+02;2.000000001000000083e+01;-1.979999999999999863e-08;nan;-4.939999999999999898e-09;nan
8.793667345000000068e+02;2.000000001000000083e+01;9.829999999999999349e-09;nan;2.460000000000000190e-09;nan
8.826167342999999619e+02;2.000364021000000037e+01;1.190000000000000068e-08;nan;2.969999999999999877e-09;nan
8.843667342999999619e+02;2.000000000000000000e+01;1.300000000000000060e-08;nan;3.239999999999999978e-09;nan
9.293667345000000068e+02;2.000000000000000000e+01;4.070000000000000049e-08;nan;1.020000000000000035e-08;nan
9.743667345000000068e+02;2.000000000000000000e+01;4.820000000000000147e-08;nan;1.210000000000000082e-08;nan
