Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-1.0524206,0.2243298,1.1337345,-0.19217533
-1.0790397,0.22437036,1.1336513,-0.19221595
-1.0645893,0.22441573,1.1337566,-0.19218835
-0.97048283,0.22447936,1.1336619,-0.19217329
-0.96076912,0.22438458,1.1336806,-0.19210175
-1.0231081,0.22440848,1.1337403,-0.19214842
-1.0983832,0.22444685,1.1336569,-0.19217817
-1.0694395,0.22437274,1.1337749,-0.19207315
-0.9650197,0.22444348,1.1337839,-0.19212003
-0.94141626,0.22450466,1.133638,-0.19208896
-0.99358523,0.22444747,1.1337696,-0.19211234
-1.0605361,0.22440884,1.1336963,-0.19210139
-1.0724366,0.2244485,1.1335915,-0.19211127
-0.9958353,0.22450908,1.1337645,-0.19212285
-0.93616176,0.22439197,1.1337525,-0.19207361
-0.96056795,0.22442783,1.1338588,-0.19206688
-1.0407884,0.22437924,1.1337272,-0.19209132
-1.0571312,0.22443998,1.133718,-0.1921301
-0.99239314,0.22445107,1.1337787,-0.19209047
-0.90306252,0.22451109,1.1337794,-0.19207668
-0.9894557,0.22454244,1.1336247,-0.192066
-1.049215,0.22446388,1.1337386,-0.19213066
-1.0711886,0.22442661,1.1336875,-0.19210309
-1.0211542,0.22447489,1.1337733,-0.19210742
-0.95799005,0.22450455,1.1337171,-0.19207478
-0.9624567,0.22452672,1.1336653,-0.19208156
-1.0849555,0.22449452,1.1338128,-0.19218048
-1.0978765,0.22443414,1.1337472,-0.19218026
-1.0253787,0.22447135,1.1337045,-0.19208208
-0.94615668,0.22458208,1.1338351,-0.19203793
-0.94261396,0.22454664,1.1337931,-0.19205806
-1.0390506,0.22448105,1.1337092,-0.19208999
-1.0846108,0.22448282,1.1337267,-0.19213183
-1.0233335,0.22448374,1.1337031,-0.19210556
-0.92791766,0.22458096,1.1337223,-0.19210933
-0.94782561,0.22452027,1.1337429,-0.19212626
-1.0526124,0.22446826,1.1337675,-0.19215146
-1.0863655,0.22447114,1.1337209,-0.19210258
-1.017211,0.22452016,1.1337631,-0.1920896
-0.9413287,0.22449093,1.1337568,-0.19200987
-0.92016721,0.22458629,1.1337938,-0.19209646
-0.99348462,0.22450402,1.1338344,-0.19206591
-1.0562502,0.22448359,1.1338402,-0.19212487
-1.04459,0.22457041,1.1337097,-0.19209699
-0.9662751,0.22452359,1.1337751,-0.19209082
-0.94678068,0.22452699,1.133747,-0.19210754
-1.0020696,0.22447345,1.1337031,-0.19210602
-1.0803007,0.22450082,1.1337647,-0.19215731
-1.068417,0.22454181,1.1337274,-0.19216272
-0.96865743,0.22461756,1.1338018,-0.19212964
-0.96224618,0.22457142,1.133827,-0.19211876
-1.0050479,0.22459166,1.1336886,-0.19210936
-1.0458455,0.22453484,1.1338192,-0.19215004
