# Time;Temperature [Temperature];Heat flow [Signal  Ch 2];Heat [Signal  Ch 2];Normalized heat flow [Signal  Ch 2];Normalized heat [Signal  Ch 2]
1.436673427000000025e+01;2.000000000000000000e+01;nan;nan;nan;nan
1.043980671999999998e+02;2.000000000000000000e+01;nan;nan;nan;nan
1.063285134000000056e+02;2.000000000000000000e+01;nan;nan;nan;nan
1.267040092999999956e+02;2.000000000000000000e+01;nan;nan;nan;nan
1.424144464000000028e+02;2.000000000000000000e+01;nan;nan;nan;nan
1.432826223000000141e+02;2.000000000000000000e+01;nan;nan;nan;nan
1.503667345000000068e+02;2.000000000000000000e+01;nan;nan;nan;nan
1.534917342999999903e+02;2.000174549000000113e+01;nan;nan;nan;nan
1.563667342999999903e+02;2.000000000000000000e+01;nan;nan;nan;nan
1.572582754999999963e+02;2.000000000000000000e+01;-1.549999999999999983e-07;nan;-3.879999999999999671e-08;nan
2.394913578000000030e+02;2.000000000000000000e+01;-1.590000000000000076e-07;nan;-3.979999999999999905e-08;nan
3.074524812999999881e+02;2.000000000000000000e+01;-1.629999999999999905e-07;nan;-4.070000000000000049e-08;nan
3.626840091000000257e+02;2.000000000000000000e+01;-7.179999999999999442e-08;nan;-1.790000000000000147e-08;nan
4.179155369000000064e+02;2.000000000000000000e+01;7.009999999999999905e-08;nan;1.750000000000000119e-08;nan
4.637349687000000245e+02;2.000000000000000000e+01;8.839999999999999748e-08;nan;2.209999999999999937e-08;nan
5.095544004000000200e+02;2.000000000000000000e+01;2.440000000000000011e-08;nan;6.090000000000000270e-09;nan
5.701127238000000261e+02;2.000000000000000000e+01;-4.760000000000000272e-08;nan;-1.190000000000000068e-08;nan
6.191806487999999717e+02;2.000000000000000000e+01;-5.019999999999999953e-08;nan;-1.260000000000000033e-08;nan
6.682485738000000310e+02;2.000000000000000000e+01;-5.280000000000000296e-08;nan;-1.320000000000000074e-08;nan
7.073667345000000068e+02;2.000000000000000000e+01;-6.770000000000000403e-08;nan;-1.689999999999999913e-08;nan
7.097653123999999707e+02;2.000274076999999906e+01;-6.899999999999999582e-08;nan;-1.719999999999999851e-08;nan
7.115465622000000394e+02;2.000350442999999956e+01;-6.989999999999999726e-08;nan;-1.750000000000000119e-08;nan
7.153667342999999619e+02;2.000000000000000000e+01;-7.179999999999999442e-08;nan;-1.799999999999999905e-08;nan
7.738353822000000264e+02;2.000000001000000083e+01;-1.020000000000000001e-07;nan;-2.539999999999999914e-08;nan
8.323040302000000565e+02;2.000000001000000083e+01;-1.110000000000000013e-07;nan;-2.780000000000000078e-08;nan
8.793667345000000068e+02;2.000000001000000083e+01;-1.089999999999999967e-07;nan;-2.729999999999999961e-08;nan
8.826167342999999619e+02;2.000364021000000037e+01;-1.089999999999999967e-07;nan;-2.719999999999999872e-08;nan
8.843667342999999619e+02;2.000000000000000000e+01;-1.089999999999999967e-07;nan;-2.719999999999999872e-08;nan
9.293667345000000068e+02;2.000000000000000000e+01;-1.070000000000000052e-07;nan;-2.670000000000000086e-08;nan
9.743667345000000068e+02;2.000000000000000000e+01;-6.430000000000000005e-08;nan;-1.609999999999999858e-08;nan
9.779292342999999619e+02;1.999605787999999862e+01;-5.990000000000000036e-08;nan;-1.499999999999999866e-08;nan
9.801479842999999619e+02;1.999802894000000109e+01;-5.710000000000000176e-08;nan;-1.430000000000000066e-08;nan
