# Time;Temperature [Temperature];Heat flow [Signal  Ch 6];Heat [Signal  Ch 6];Normalized heat flow [Signal  Ch 6];Normalized heat [Signal  Ch 6]
# 
1.436673427000000025e+01;2.000000000000000000e+01;nan;nan;nan;nan
1.043980671999999998e+02;2.000000000000000000e+01;nan;nan;nan;nan
1.063285134000000056e+02;2.000000000000000000e+01;-1.710000000000000092e-07;nan;-4.279999999999999944e-08;nan
1.267040092999999956e+02;2.000000000000000000e+01;-1.549999999999999983e-07;nan;-3.870000000000000243e-08;nan
1.424144464000000028e+02;2.000000000000000000e+01;-1.420000000000000010e-07;nan;-3.539999999999999935e-08;nan
1.432826223000000141e+02;2.000000000000000000e+01;-1.410000000000000053e-07;nan;-3.529999999999999846e-08;nan
1.503667345000000068e+02;2.000000000000000000e+01;-1.350000000000000045e-07;nan;-3.379999999999999826e-08;nan
1.534917342999999903e+02;2.000174549000000113e+01;-1.330000000000000130e-07;nan;-3.319999999999999950e-08;nan
1.563667342999999903e+02;2.000000000000000000e+01;-1.299999999999999994e-07;nan;-3.260000000000000075e-08;nan
1.572582754999999963e+02;2.000000000000000000e+01;-1.299999999999999994e-07;nan;-3.239999999999999896e-08;nan
2.394913578000000030e+02;2.000000000000000000e+01;-6.199999999999999931e-08;nan;-1.549999999999999983e-08;nan
3.074524812999999881e+02;2.000000000000000000e+01;-1.160000000000000064e-07;nan;-2.890000000000000070e-08;nan
3.626840091000000257e+02;2.000000000000000000e+01;-1.590000000000000076e-07;nan;-3.979999999999999905e-08;nan
4.179155369000000064e+02;2.000000000000000000e+01;-2.560000000000000159e-07;nan;-6.400000000000000399e-08;nan
4.637349687000000245e+02;2.000000000000000000e+01;-3.499999999999999842e-07;nan;-8.740000000000000176e-08;nan
5.095544004000000200e+02;2.000000000000000000e+01;-4.390000000000000003e-07;nan;-1.100000000000000056e-07;nan
5.701127238000000261e+02;2.000000000000000000e+01;-3.289999999999999946e-07;nan;-8.219999999999999490e-08;nan
6.191806487999999717e+02;2.000000000000000000e+01;-2.390000000000000093e-07;nan;-5.969999999999999857e-08;nan
6.682485738000000310e+02;2.000000000000000000e+01;-7.900000000000000595e-08;nan;-1.970000000000000104e-08;nan
7.073667345000000068e+02;2.000000000000000000e+01;6.360000000000000040e-08;nan;1.590000000000000010e-08;nan
7.097653123999999707e+02;2.000274076999999906e+01;7.230000000000000552e-08;nan;1.809999999999999995e-08;nan
7.115465622000000394e+02;2.000350442999999956e+01;7.880000000000000416e-08;nan;1.970000000000000104e-08;nan
7.153667342999999619e+02;2.000000000000000000e+01;9.270000000000000290e-08;nan;2.319999999999999929e-08;nan
7.738353822000000264e+02;2.000000001000000083e+01;2.350000000000000000e-07;nan;5.879999999999999713e-08;nan
8.323040302000000565e+02;2.000000001000000083e+01;2.309999999999999906e-07;nan;5.770000000000000051e-08;nan
8.793667345000000068e+02;2.000000001000000083e+01;2.280000000000000034e-07;nan;5.689999999999999997e-08;nan
8.826167342999999619e+02;2.000364021000000037e+01;2.270000000000000077e-07;nan;5.679999999999999907e-08;nan
8.843667342999999619e+02;2.000000000000000000e+01;2.270000000000000077e-07;nan;5.679999999999999907e-08;nan
9.293667345000000068e+02;2.000000000000000000e+01;1.979999999999999995e-07;nan;4.949999999999999988e-08;nan
