# Time;Temperature [Temperature];Heat flow [Signal  Ch 1];Heat [Signal  Ch 1];Normalized heat flow [Signal  Ch 1];Normalized heat [Signal  Ch 1]
1.436673427000000025e+01;2.000000000000000000e+01;nan;nan;nan;nan
1.043980671999999998e+02;2.000000000000000000e+01;-3.879999999999999803e-07;nan;-9.690000000000000080e-08;nan
1.063285134000000056e+02;2.000000000000000000e+01;-3.909999999999999940e-07;nan;-9.769999999999999473e-08;nan
1.267040092999999956e+02;2.000000000000000000e+01;-4.230000000000000158e-07;nan;-1.059999999999999963e-07;nan
1.424144464000000028e+02;2.000000000000000000e+01;-4.479999999999999882e-07;nan;-1.119999999999999970e-07;nan
1.432826223000000141e+02;2.000000000000000000e+01;-4.490000000000000104e-07;nan;-1.119999999999999970e-07;nan
1.503667345000000068e+02;2.000000000000000000e+01;-4.599999999999999898e-07;nan;-1.149999999999999974e-07;nan
1.534917342999999903e+02;2.000174549000000113e+01;-4.649999999999999948e-07;nan;-1.160000000000000064e-07;nan
1.563667342999999903e+02;2.000000000000000000e+01;-4.689999999999999777e-07;nan;-1.170000000000000021e-07;nan
1.572582754999999963e+02;2.000000000000000000e+01;-4.710000000000000221e-07;nan;-1.179999999999999978e-07;nan
2.394913578000000030e+02;2.000000000000000000e+01;-5.999999999999999728e-07;nan;-1.499999999999999932e-07;nan
3.074524812999999881e+02;2.000000000000000000e+01;-4.669999999999999863e-07;nan;-1.170000000000000021e-07;nan
3.626840091000000257e+02;2.000000000000000000e+01;-3.490000000000000149e-07;nan;-8.729999999999999425e-08;nan
4.179155369000000064e+02;2.000000000000000000e+01;-2.580000000000000074e-07;nan;-6.459999999999999612e-08;nan
4.637349687000000245e+02;2.000000000000000000e+01;-2.030000000000000046e-07;nan;-5.079999999999999828e-08;nan
5.095544004000000200e+02;2.000000000000000000e+01;-1.480000000000000018e-07;nan;-3.710000000000000134e-08;nan
5.701127238000000261e+02;2.000000000000000000e+01;-1.160000000000000064e-07;nan;-2.890000000000000070e-08;nan
6.191806487999999717e+02;2.000000000000000000e+01;-1.040000000000000048e-07;nan;-2.600000000000000121e-08;nan
6.682485738000000310e+02;2.000000000000000000e+01;-9.250000000000000111e-08;nan;-2.309999999999999840e-08;nan
7.073667345000000068e+02;2.000000000000000000e+01;-8.160000000000000277e-08;nan;-2.040000000000000069e-08;nan
7.097653123999999707e+02;2.000274076999999906e+01;-8.040000000000000526e-08;nan;-2.010000000000000131e-08;nan
7.115465622000000394e+02;2.000350442999999956e+01;-7.950000000000000381e-08;nan;-1.989999999999999952e-08;nan
7.153667342999999619e+02;2.000000000000000000e+01;-7.759999999999999342e-08;nan;-1.939999999999999835e-08;nan
7.738353822000000264e+02;2.000000001000000083e+01;-4.869999999999999933e-08;nan;-1.220000000000000006e-08;nan
8.323040302000000565e+02;2.000000001000000083e+01;-1.989999999999999952e-08;nan;-4.970000000000000001e-09;nan
8.793667345000000068e+02;2.000000001000000083e+01;1.930000000000000077e-08;nan;4.809999999999999727e-09;nan
8.826167342999999619e+02;2.000364021000000037e+01;2.410000000000000074e-08;nan;6.030000000000000063e-09;nan
8.843667342999999619e+02;2.000000000000000000e+01;2.679999999999999844e-08;nan;6.689999999999999852e-09;nan
9.293667345000000068e+02;2.000000000000000000e+01;9.430000000000000399e-08;nan;2.359999999999999957e-08;nan
9.743667345000000068e+02;2.000000000000000000e+01;1.619999999999999948e-07;nan;4.039999999999999780e-08;nan
9.779292342999999619e+02;1.999605787999999862e+01;1.669999999999999999e-07;nan;4.179999999999999710e-08;nan
9.801479842999999619e+02;1.999802894000000109e+01;1.699999999999999870e-07;nan;4.259999999999999765e-08;nan
9.823667342999999619e+02;2.000000000000000000e+01;1.739999999999999964e-07;nan;4.339999999999999819e-08;nan
1.042049520000000030e+03;2.000000000000000000e+01;1.059999999999999963e-07;nan;2.659999999999999996e-08;nan
1.086186635000000024e+03;2.000000000000000000e+01;5.560000000000000156e-08;nan;1.390000000000000039e-08;nan
1.130323750999999902e+03;2.000000000000000000e+01;6.100000000000000359e-08;nan;1.530000000000000135e-08;nan
1.143366735000000062e+03;2.000000000000000000e+01;8.859999999999999927e-08;nan;2.220000000000000027e-08;nan
1.146241733999999951e+03;2.000285204000000050e+01;9.469999999999999434e-08;nan;2.370000000000000046e-08;nan
1.149366733999999951e+03;2.000000000000000000e+01;1.010000000000000044e-07;nan;2.530000000000000156e-08;nan
1.200262574000000086e+03;2.000000000000000000e+01;2.090000000000000054e-07;nan;5.229999999999999848e-08;nan
1.261927325999999994e+03;2.000000000000000000e+01;3.019999999999999779e-07;nan;7.540000000000000019e-08;nan
1.318748342000000093e+03;2.000000000000000000e+01;2.700000000000000090e-07;nan;6.759999999999999652e-08;nan
1.375569357000000082e+03;2.000000000000000000e+01;2.599999999999999988e-07;nan;6.499999999999999971e-08;nan
1.430366735000000062e+03;2.000000000000000000e+01;3.110000000000000187e-07;nan;7.770000000000000093e-08;nan
1.433241733999999951e+03;1.999698490000000106e+01;3.130000000000000102e-07;nan;7.830000000000000630e-08;nan
1.436366733999999951e+03;2.000000000000000000e+01;3.160000000000000238e-07;nan;7.900000000000000595e-08;nan
1.491819960000000037e+03;2.000000000000000000e+01;3.440000000000000098e-07;nan;8.609999999999999674e-08;nan
1.538823487999999998e+03;2.000000000000000000e+01;2.850000000000000242e-07;nan;7.120000000000000228e-08;nan
1.585827017000000069e+03;2.000000000000000000e+01;2.249999999999999898e-07;nan;5.630000000000000121e-08;nan
1.642031267999999955e+03;2.000000000000000000e+01;2.879999999999999848e-07;nan;7.190000000000000193e-08;nan
1.667064429000000018e+03;2.000000000000000000e+01;3.259999999999999810e-07;nan;8.140000000000000098e-08;nan
1.702702829999999949e+03;2.000000000000000000e+01;3.789999999999999924e-07;nan;9.489999999999999613e-08;nan
1.725045724000000064e+03;2.000000000000000000e+01;4.130000000000000057e-07;nan;1.029999999999999959e-07;nan
1.727366735000000062e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.730866733999999951e+03;1.999672409000000073e+01;nan;nan;nan;nan
1.733366733999999951e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.739345577999999932e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.765632155000000012e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.797788859000000002e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.919366735000000062e+03;2.000000000000000000e+01;nan;nan;nan;nan
1.922116733999999951e+03;2.000415680000000052e+01;nan;nan;nan;nan
1.924366733999999951e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.070429235000000062e+03;2.000000443000000061e+01;nan;nan;nan;nan
2.180366735000000062e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.183866734000000179e+03;1.999672415999999942e+01;nan;nan;nan;nan
2.186366734000000179e+03;2.000000000000000000e+01;nan;nan;nan;nan
2.330792957999999999e+03;2.000000000000000000e+01;1.020000000000000001e-07;3.509999999999999852e-06;2.560000000000000093e-08;8.780000000000000005e-07
2.334379258999999820e+03;2.000000000000000000e+01;1.144920000000000009e-04;9.114347999999999547e-03;2.860000000000000061e-05;2.278586999999999887e-03
2.344614961000000221e+03;2.000000000000000000e+01;4.409719999999999786e-04;3.511769099999999949e-02;1.102429999999999946e-04;8.779422999999999741e-03
2.369908000999999786e+03;2.000000000000000000e+01;1.247723000000000061e-03;9.937352200000000579e-02;3.119309999999999921e-04;2.484338100000000119e-02
2.373807761999999911e+03;2.000000000000000000e+01;1.372109999999999953e-03;1.092806899999999998e-01;3.430279999999999961e-04;2.732017200000000021e-02
2.378234105999999883e+03;2.000000000000000000e+01;1.513294000000000097e-03;1.205256190000000005e-01;3.783230000000000165e-04;3.013140499999999999e-02
2.443710970000000088e+03;2.000000000000000000e+01;3.601755999999999795e-03;2.868666539999999987e-01;9.004389999999999486e-04;7.171666299999999994e-02
2.481232508000000053e+03;2.000000000000000000e+01;4.798550000000000385e-03;3.821884349999999930e-01;1.199636999999999926e-03;9.554710900000000506e-02
2.534366735000000062e+03;2.000000000000000000e+01;2.028588099999999866e-02;1.824457318999999966e+00;5.071469999999999798e-03;4.561143300000000123e-01
2.539866734000000179e+03;1.999508618999999854e+01;2.217428499999999844e-02;2.000788818999999830e+00;5.543570999999999742e-03;5.001972049999999781e-01
2.544366734000000179e+03;2.000000000000000000e+01;2.371934300000000037e-02;2.145060052999999911e+00;5.929835999999999961e-03;5.362650129999999571e-01
2.598979562999999871e+03;2.000000000000000000e+01;4.247045399999999776e-02;3.895962320999999839e+00;1.061761299999999970e-02;9.739905800000000502e-01
2.657657427999999982e+03;2.000000000000000000e+01;5.464712800000000315e-02;5.728705736000000215e+00;1.366178200000000079e-02;1.432176434000000054e+00
2.716335292000000209e+03;2.000000000000000000e+01;2.991023500000000029e-02;7.336891989999999808e+00;7.477558999999999942e-03;1.834222997999999993e+00
2.774685640000000149e+03;2.000000000000000000e+01;5.311414000000000413e-03;8.936101973999999615e+00;1.327852999999999933e-03;2.234025492999999862e+00
2.833035987000000205e+03;2.000000000000000000e+01;-4.140559000000000253e-03;9.411136485000000107e+00;-1.035139999999999932e-03;2.352784121000000006e+00
2.888366735000000062e+03;2.000000000000000000e+01;-4.008748000000000346e-03;9.186597469000000515e+00;-1.002187000000000086e-03;2.296649367000000108e+00
2.892608921999999893e+03;1.999666621000000077e+01;-3.998642000000000168e-03;9.169382147000000316e+00;-9.996600000000000884e-04;2.292345537000000100e+00
2.896851110000000062e+03;1.999333241000000072e+01;-3.988535999999999991e-03;9.152166826000000199e+00;-9.971339999999999978e-04;2.288041706000000008e+00
2.901366734000000179e+03;2.000000000000000000e+01;-3.977778000000000390e-03;9.133841862000000589e+00;-9.944450000000000511e-04;2.283460465000000106e+00
2.949960485000000062e+03;2.000001469000000043e+01;-3.564943000000000105e-03;8.959610328000000123e+00;-8.912360000000000030e-04;2.239902582000000031e+00
2.998554235000000062e+03;2.000002938000000086e+01;-2.245060000000000111e-03;8.855506548999999339e+00;-5.612650000000000278e-04;2.213876636999999814e+00
3.051867055000000164e+03;2.000002300999999960e+01;-7.969989999999999497e-04;8.741292968999999857e+00;-1.992499999999999914e-04;2.185323241999999944e+00
3.099706994000000122e+03;2.000001728999999884e+01;1.090000000000000067e-05;8.721043067000000093e+00;2.719999999999999792e-06;2.180260767000000044e+00
3.147546933000000081e+03;2.000001157000000163e+01;5.978580000000000482e-04;8.737754511000000335e+00;1.494649999999999928e-04;2.184438628000000104e+00
3.197976496000000225e+03;2.000000554000000008e+01;1.129940000000000068e-03;8.765697879999999387e+00;2.824850000000000169e-04;2.191424469999999847e+00
3.244366735000000062e+03;2.000000000000000000e+01;1.300939999999999996e-03;8.829352031999999184e+00;3.252349999999999989e-04;2.207338007999999796e+00
3.250937046999999893e+03;2.000648426000000057e+01;1.325159000000000016e-03;8.838367456000000288e+00;3.312899999999999808e-04;2.209591864000000072e+00
3.255164166999999907e+03;2.000143612999999831e+01;1.340739999999999987e-03;8.844167678999999893e+00;3.351849999999999968e-04;2.211041919999999994e+00
3.257879010999999991e+03;2.000000000000000000e+01;1.350747999999999923e-03;8.847892839000000009e+00;3.376869999999999807e-04;2.211973210000000023e+00
3.282379010999999991e+03;2.000000000000000000e+01;1.441058000000000052e-03;8.881510400999999888e+00;3.602640000000000052e-04;2.220377599999999951e+00
